,2022-12-31NCLH,2021-12-31NCLH,2020-12-31NCLH
Basic EPS,-0.6033248117585491,-0.9506607288638923,-1.1223209653523711
Basic EPS,-0.6033248117585491,-0.9506607288638923,-1.1223209653523711
Net Income Common Stockholders,-0.6540194156584151,-0.9357029158681132,-0.873480185551498
Net Income Common Stockholders,-0.6540194156584151,-0.9357029158681132,-0.873480185551498
Total Liabilities Net Minority Interest,-0.18636458930061445,-0.19547975104798332,-0.2048446703131518
Net Income Including Noncontrolling Interests,-0.6557187862415377,-0.935147980714526,-0.8734232172926777
Net Income Including Noncontrolling Interests,-0.6557187862415377,-0.935147980714526,-0.8734232172926777
Net Income From Continuing Operation Net Minority Interest,-0.6507211098717348,-0.9318292335174363,-0.8697336015248103
Net Income From Continuing Operation Net Minority Interest,-0.6507211098717348,-0.9318292335174363,-0.8697336015248103
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,-1.0832062944112757
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,-1.0832062944112757
Total Equity Gross Minority Interest,-0.5247566118197559,-0.45358401457907577,-0.3957364977315305
Share Issued,-0.25322484236988074,-0.256036859243646,-0.3190079542120765
Invested Capital,-0.3127744669557862,-0.29299047194971845,-0.2716780708705559
Net Tangible Assets,-0.20338323080231654,-0.12272215360050158,-0.057162609572703055
Normalized Income,-0.692483965906819,-0.9809154408446675,-0.7658483350754237
Normalized Income,-0.692483965906819,-0.9809154408446675,-0.7658483350754237
Basic Average Shares,-0.19383320250320324,-0.231185710567581,-0.3073172017362162
Basic Average Shares,-0.19383320250320324,-0.231185710567581,-0.3073172017362162
Operating Revenue,-0.4223504272767083,-0.4967582378057443,-0.4855517399235587
Operating Revenue,-0.4223504272767083,-0.4967582378057443,-0.4855517399235587
Common Stock,-0.24445161783201605,-0.24445204256366937,-0.2444627670379159
Stockholders Equity,-0.5173754053562851,-0.44531575850737554,-0.38674726730809855
Total Assets,-0.23513230405595187,-0.23448203086328337,-0.23573057594290203
Net Income Continuous Operations,-0.6513531654436411,-0.9313496862539828,-0.8694996027702055
Net Income Continuous Operations,-0.6513531654436411,-0.9313496862539828,-0.8694996027702055
Pretax Income,-0.6130279934662702,-0.8457936460755523,-0.7933445561960752
Pretax Income,-0.6130279934662702,-0.8457936460755523,-0.7933445561960752
Diluted EPS,-0.6283236648935728,-0.9939163298671804,-1.1745994099552928
Diluted EPS,-0.6283236648935728,-0.9939163298671804,-1.1745994099552928
Common Stock Equity,-0.5276582468571147,-0.4525001889115977,-0.39141337752926614
Net Income From Continuing And Discontinued Operation,-0.6551364900532156,-0.9356872355793074,-0.8737147261280978
Net Income From Continuing And Discontinued Operation,-0.6551364900532156,-0.9356872355793074,-0.8737147261280978
Total Revenue,-0.42219542424742534,-0.4965987952138529,-0.48539296597046494
Total Revenue,-0.42219542424742534,-0.4965987952138529,-0.48539296597046494
Total Capitalization,-0.32021276679982114,-0.29779611345370616,-0.26283039825099125
Diluted Average Shares,-0.19731057921946066,-0.23422483515229905,-0.309463085411263
Diluted Average Shares,-0.19731057921946066,-0.23422483515229905,-0.309463085411263
Ordinary Shares Number,-0.1941208592279599,-0.19717021533693957,-0.26545618293641726
Net Income,-0.6551396006209981,-0.9356905387166772,-0.8737179867276351
Net Income,-0.6551396006209981,-0.9356905387166772,-0.8737179867276351
Capital Stock,-0.26699579746988367,-0.26699619609419356,-0.2670062613580186
Diluted NI Availto Com Stockholders,-0.6537896311580699,-0.935461938133599,-0.8732416803565204
Diluted NI Availto Com Stockholders,-0.6537896311580699,-0.935461938133599,-0.8732416803565204
Tangible Book Value,-0.1991567419894381,-0.11484976207569392,-0.046326908758512184
Tax Rate For Calcs,-2.555790882290484,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,-2.555790882290484,1.0593576975952699,1.0593576975952699
