,2022-12-31FIS,2021-12-31FIS,2020-12-31FIS
Basic EPS,-1.7211240709978544,-0.29764912748520517,-0.3187302091592289
Basic EPS,-1.7211240709978544,-0.29764912748520517,-0.3187302091592289
Net Income Common Stockholders,-2.4738397971476838,-0.3156345735555558,-0.34825260196836794
Net Income Common Stockholders,-2.4738397971476838,-0.3156345735555558,-0.34825260196836794
Total Liabilities Net Minority Interest,-0.11407718513327716,-0.11604417269416248,-0.12038568435074654
Net Income Including Noncontrolling Interests,-2.459476027050319,-0.3191675160750079,-0.3516494337059664
Net Income Including Noncontrolling Interests,-2.459476027050319,-0.3191675160750079,-0.3516494337059664
Net Income From Continuing Operation Net Minority Interest,-2.4668242626365218,-0.31302746447586294,-0.34557886616365024
Net Income From Continuing Operation Net Minority Interest,-2.4668242626365218,-0.31302746447586294,-0.34557886616365024
Tax Effect Of Unusual Items,-10.308420849928314,-0.01720942761634246,-0.0018827916631148414
Tax Effect Of Unusual Items,-10.308420849928314,-0.01720942761634246,-0.0018827916631148414
Total Equity Gross Minority Interest,0.2982661639911453,0.9041815375355143,0.9630389635158007
Share Issued,-0.12350481210249022,-0.1266143151309923,-0.12910191755379397
Invested Capital,0.2473257400175066,0.5858161504797466,0.6126857505238124
Net Tangible Assets,-0.8421706732557959,-0.8957045445042071,-0.9108878285740242
Normalized Income,-0.7518009522022923,-0.326977070775685,-0.36818379531020196
Normalized Income,-0.7518009522022923,-0.326977070775685,-0.36818379531020196
Basic Average Shares,-0.06715933806648285,-0.0589081697674905,-0.05684537769274241
Basic Average Shares,-0.06715933806648285,-0.0589081697674905,-0.05684537769274241
Operating Revenue,-0.2506102203356977,-0.2621550472626014,-0.28565258286651446
Operating Revenue,-0.2506102203356977,-0.2621550472626014,-0.28565258286651446
Common Stock,-0.24385922335853766,-0.24385922335853766,-0.24385922335853766
Stockholders Equity,0.3101745097247712,0.923733067874843,0.983263092419882
Total Assets,-0.0662005661419346,0.008038985019101316,0.011480303449249574
Net Income Continuous Operations,-2.458772582607448,-0.3141185937352115,-0.3466664595481219
Net Income Continuous Operations,-2.458772582607448,-0.3141185937352115,-0.3466664595481219
Pretax Income,-2.0835542068188047,-0.29225800946397495,-0.34698043418456936
Pretax Income,-2.0835542068188047,-0.29225800946397495,-0.34698043418456936
Diluted EPS,-1.804876937864995,-0.3071093002924841,-0.32929845047874357
Diluted EPS,-1.804876937864995,-0.3071093002924841,-0.32929845047874357
Common Stock Equity,0.3354745492399967,0.975414816545217,1.037504505156032
Net Income From Continuing And Discontinued Operation,-2.4676386933072694,-0.3181124199319169,-0.3505992790556968
Net Income From Continuing And Discontinued Operation,-2.4676386933072694,-0.3181124199319169,-0.3505992790556968
Total Revenue,-0.25046546423339305,-0.262009602335003,-0.285505735951951
Total Revenue,-0.25046546423339305,-0.262009602335003,-0.285505735951951
Total Capitalization,0.173850594916939,0.5306816910570193,0.5836379230431045
Diluted Average Shares,-0.07212296280132159,-0.060570955051372485,-0.05649377584550809
Diluted Average Shares,-0.07212296280132159,-0.060570955051372485,-0.05649377584550809
Ordinary Shares Number,-0.07975344211975167,-0.06761441986866333,-0.06019612849299823
Net Income,-2.467643047973692,-0.3181152991669119,-0.35060218058962045
Net Income,-2.467643047973692,-0.3181152991669119,-0.35060218058962045
Capital Stock,-0.2664398162136501,-0.2664398162136501,-0.2664398162136501
Diluted NI Availto Com Stockholders,-2.4735376985939417,-0.3154182354259563,-0.3480349676988459
Diluted NI Availto Com Stockholders,-2.4735376985939417,-0.3154182354259563,-0.3480349676988459
Tangible Book Value,-0.8668175512460956,-0.9227711680909648,-0.9386407407461381
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,2.2900863288712037
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,2.2900863288712037
