,2023-05-31PAYX,2022-05-31PAYX,2021-05-31PAYX,2020-05-31PAYX
Basic EPS,-0.11494641964366627,-0.13803522338188273,-0.17869159518178562,-0.17818966466573744
Basic EPS,-0.11494641964366627,-0.13803522338188273,-0.17869159518178562,-0.17818966466573744
Net Income Common Stockholders,-0.17202709170563438,-0.1927439475894475,-0.2299335375133989,-0.22985797451321477
Net Income Common Stockholders,-0.17202709170563438,-0.1927439475894475,-0.2299335375133989,-0.22985797451321477
Total Liabilities Net Minority Interest,-0.23392120441370318,-0.23601377976388813,-0.2371399113315155,-0.23926034887336628
Net Income Including Noncontrolling Interests,-0.1775838343397569,-0.19813489376395949,-0.23502685636558274,-0.23495189809412667
Net Income Including Noncontrolling Interests,-0.1775838343397569,-0.19813489376395949,-0.23502685636558274,-0.23495189809412667
Net Income From Continuing Operation Net Minority Interest,-0.1697133202882806,-0.19038785919809142,-0.22750148436567283,-0.22742607571311427
Net Income From Continuing Operation Net Minority Interest,-0.1697133202882806,-0.19038785919809142,-0.22750148436567283,-0.22742607571311427
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4216549899635297,-0.43393827886376335,-0.43806883581746936,-0.4430845121183981
Share Issued,-0.2911070253387524,-0.29148016570217267,-0.2915423557627427,-0.2921642563684431
Invested Capital,-0.46897620334916834,-0.47579758788047916,-0.47810853985950125,-0.48092693629755995
Net Tangible Assets,-0.13508001616349286,-0.15018482483249962,-0.15624449056463335,-0.16278865659742192
Normalized Income,-0.19894509407752214,-0.22015824037183723,-0.2582387394643068,-0.2581613662863336
Normalized Income,-0.19894509407752214,-0.22015824037183723,-0.2582387394643068,-0.2581613662863336
Basic Average Shares,-0.23465805453602748,-0.2345205350643776,-0.23500185321515216,-0.23596448951670126
Basic Average Shares,-0.23465805453602748,-0.2345205350643776,-0.23500185321515216,-0.23596448951670126
Operating Revenue,-0.42122360960706856,-0.4274890279684742,-0.4373579929221177,-0.43813651504514545
Operating Revenue,-0.42122360960706856,-0.4274890279684742,-0.4373579929221177,-0.43813651504514545
Common Stock,-0.2441140623505341,-0.2441140623505341,-0.2441140623505341,-0.2441140623505341
Stockholders Equity,-0.41298879100545993,-0.4254251709411363,-0.4296072085077412,-0.4346853969814757
Total Assets,-0.2653951072299762,-0.26883718116362176,-0.2703784082980899,-0.2729338988776676
Net Income Continuous Operations,-0.17224745402070618,-0.19284023835233605,-0.22980710286984546,-0.2297319924102772
Net Income Continuous Operations,-0.17224745402070618,-0.19284023835233605,-0.22980710286984546,-0.2297319924102772
Pretax Income,-0.16050566298563376,-0.18390133060996436,-0.2247495803440371,-0.22444614816107397
Pretax Income,-0.16050566298563376,-0.18390133060996436,-0.2247495803440371,-0.22444614816107397
Diluted EPS,-0.11533164511124205,-0.13963404769619284,-0.18242740876969316,-0.1818990956700203
Diluted EPS,-0.11533164511124205,-0.13963404769619284,-0.18242740876969316,-0.1818990956700203
Common Stock Equity,-0.4187832307671021,-0.4317543485106825,-0.43611620477151397,-0.4414127445168093
Net Income From Continuing And Discontinued Operation,-0.17508243746532912,-0.1957159831250272,-0.23275601980167662,-0.23268076066857135
Net Income From Continuing And Discontinued Operation,-0.17508243746532912,-0.1957159831250272,-0.23275601980167662,-0.23268076066857135
Total Revenue,-0.4192989272927142,-0.4263105282226321,-0.4361505316520996,-0.43643957842791564
Total Revenue,-0.4192989272927142,-0.4263105282226321,-0.4361505316520996,-0.43643957842791564
Total Capitalization,-0.4648163541179715,-0.47184221341200067,-0.47420881864788417,-0.4770827992795421
Diluted Average Shares,-0.23636533181089223,-0.23582170791677698,-0.23650123778442103,-0.2372487206388295
Diluted Average Shares,-0.23636533181089223,-0.23582170791677698,-0.23650123778442103,-0.2372487206388295
Ordinary Shares Number,-0.23520036594618862,-0.2356050000212249,-0.23567243903373095,-0.2363468291587914
Net Income,-0.17508521852477085,-0.19571877834730195,-0.23275884044817385,-0.23268358126341085
Net Income,-0.17508521852477085,-0.19571877834730195,-0.23275884044817385,-0.23268358126341085
Capital Stock,-0.26667899079959034,-0.26667899079959034,-0.26667899079959034,-0.26667899079959034
Diluted NI Availto Com Stockholders,-0.17181646009477503,-0.19253249275458326,-0.2297206048788469,-0.22964504488130352
Diluted NI Availto Com Stockholders,-0.17181646009477503,-0.19253249275458326,-0.2297206048788469,-0.22964504488130352
Tangible Book Value,-0.12776620340052502,-0.14355375354534566,-0.14988731782300582,-0.1567272819471906
Tax Rate For Calcs,0.6531855678480911,0.6125683548733732,0.5823085312072086,0.5990292838818007
Tax Rate For Calcs,0.6531855678480911,0.6125683548733732,0.5823085312072086,0.5990292838818007
