,2023-05-31GIS,2022-05-31GIS,2021-05-31GIS,2020-05-31GIS
Basic EPS,-0.11293869757947353,-0.10791939241899172,-0.14054487596212364,-0.1515873473151837
Basic EPS,-0.11293869757947353,-0.10791939241899172,-0.14054487596212364,-0.1515873473151837
Net Income Common Stockholders,-0.04147941505420181,-0.027198008019402996,-0.07348034563217694,-0.09345416534751284
Net Income Common Stockholders,-0.04147941505420181,-0.027198008019402996,-0.07348034563217694,-0.09345416534751284
Total Liabilities Net Minority Interest,-0.17695549806531546,-0.1788251758821739,-0.17399420453020675,-0.17212785354220395
Net Income Including Noncontrolling Interests,-0.04611951925107377,-0.03045324051675764,-0.0790511865107686,-0.09594178367886702
Net Income Including Noncontrolling Interests,-0.04611951925107377,-0.03045324051675764,-0.0790511865107686,-0.09594178367886702
Net Income From Continuing Operation Net Minority Interest,-0.0394323048845729,-0.025180069551001178,-0.07136786924313178,-0.09130088973611657
Net Income From Continuing Operation Net Minority Interest,-0.0394323048845729,-0.025180069551001178,-0.07136786924313178,-0.09130088973611657
Tax Effect Of Unusual Items,0.34867222715898166,0.2493417527701776,-0.00237509718048021,0.12342406911022229
Tax Effect Of Unusual Items,0.34867222715898166,0.2493417527701776,-0.00237509718048021,0.12342406911022229
Total Equity Gross Minority Interest,-0.20468634671302988,-0.20203700989141085,-0.21437750038211129,-0.25905495314668664
Share Issued,-0.04601599663221835,-0.04601599663221835,-0.04601599663221835,-0.04601599663221835
Invested Capital,-0.17193152704777803,-0.1718100731280742,-0.173147729997141,-0.18120694625803602
Net Tangible Assets,-0.5616108794371628,-0.5550189457690984,-0.5859519015841459,-0.6275063323001688
Normalized Income,-0.10558945455160194,-0.0738881418634876,-0.0755165635581706,-0.11591918646797142
Normalized Income,-0.10558945455160194,-0.0738881418634876,-0.0755165635581706,-0.11591918646797142
Basic Average Shares,-0.07348523376237698,-0.06475274731261008,-0.060214604748164285,-0.06434018889766045
Basic Average Shares,-0.07348523376237698,-0.06475274731261008,-0.060214604748164285,-0.06434018889766045
Operating Revenue,-0.15189929001230082,-0.17143150564562146,-0.18678559343872933,-0.1956596816018977
Operating Revenue,-0.15189929001230082,-0.17143150564562146,-0.18678559343872933,-0.1956596816018977
Common Stock,-0.23647951088197405,-0.23647951088197405,-0.23647951088197405,-0.23647951088197405
Stockholders Equity,-0.20094851310217818,-0.19811984629327922,-0.2307958249478014,-0.2738324054163834
Total Assets,-0.1864249709206695,-0.18779092124376678,-0.18495098359746,-0.18886146969942433
Net Income Continuous Operations,-0.040516226347915255,-0.02481814029815,-0.07351475491823521,-0.09043964514094863
Net Income Continuous Operations,-0.040516226347915255,-0.02481814029815,-0.07351475491823521,-0.09043964514094863
Pretax Income,-0.04621636179575756,-0.03898630529825647,-0.07583762076019403,-0.10274891643540794
Pretax Income,-0.04621636179575756,-0.03898630529825647,-0.07583762076019403,-0.10274891643540794
Diluted EPS,-0.11480333201156921,-0.10899188791516792,-0.1428039262942299,-0.15442681448703244
Diluted EPS,-0.11480333201156921,-0.10899188791516792,-0.1428039262942299,-0.15442681448703244
Common Stock Equity,-0.19762567323905628,-0.1946753797914968,-0.22875635582364923,-0.27364341744659326
Net Income From Continuing And Discontinued Operation,-0.0450597418371042,-0.03083576568020597,-0.07693198470719098,-0.09682548222468709
Net Income From Continuing And Discontinued Operation,-0.0450597418371042,-0.03083576568020597,-0.07693198470719098,-0.09682548222468709
Total Revenue,-0.15176042352497332,-0.1712914737632424,-0.18664464545045267,-0.1955182041386948
Total Revenue,-0.15176042352497332,-0.1712914737632424,-0.18664464545045267,-0.1955182041386948
Total Capitalization,-0.18750904162000276,-0.20019342651436384,-0.2074153563003194,-0.21205569127591076
Diluted Average Shares,-0.07402564643072498,-0.06627900593958264,-0.06186206179989621,-0.06580333503223179
Diluted Average Shares,-0.07402564643072498,-0.06627900593958264,-0.06186206179989621,-0.06580333503223179
Ordinary Shares Number,-0.08272075867001771,-0.07442576013177402,-0.06849112703124192,-0.06707490776861495
Net Income,-0.045062433649173714,-0.030838447728960793,-0.07693469839631749,-0.09682820956867877
Net Income,-0.045062433649173714,-0.030838447728960793,-0.07693469839631749,-0.09682820956867877
Capital Stock,-0.25951371882913066,-0.25951371882913066,-0.25951371882913066,-0.25951371882913066
Diluted NI Availto Com Stockholders,-0.04127397100567345,-0.02699313146997586,-0.07327362996529212,-0.0932466559825905
Diluted NI Availto Com Stockholders,-0.04127397100567345,-0.02699313146997586,-0.07327362996529212,-0.0932466559825905
Tangible Book Value,-0.5735763781473128,-0.566686487277696,-0.5990176211410219,-0.6424503234707645
Tax Rate For Calcs,0.043927373227323714,-0.1185414786715478,0.382404148016639,-0.1185414786715478
Tax Rate For Calcs,0.043927373227323714,-0.1185414786715478,0.382404148016639,-0.1185414786715478
