,2023-02-28STZ,2022-02-28STZ,2021-02-28STZ,2020-02-29STZ
Basic EPS,-0.33730163825301174,-0.3428228739295417,0.19223505617782216,-0.335293916188819
Basic EPS,-0.33730163825301174,-0.3428228739295417,0.19223505617782216,-0.335293916188819
Net Income Common Stockholders,-0.377092480371974,-0.3732387673625838,-0.11652606807039771,-0.36963693102047407
Net Income Common Stockholders,-0.377092480371974,-0.3732387673625838,-0.11652606807039771,-0.36963693102047407
Total Liabilities Net Minority Interest,-0.19701336508945522,-0.20583112497127595,-0.20846056732803658,-0.2015025047765074
Net Income Including Noncontrolling Interests,-0.376947850322386,-0.37201309745152883,-0.11830433466325767,-0.36946451622202287
Net Income Including Noncontrolling Interests,-0.376947850322386,-0.37201309745152883,-0.11830433466325767,-0.36946451622202287
Net Income From Continuing Operation Net Minority Interest,-0.3743598352235085,-0.37051399394302087,-0.11432566498400318,-0.36691951483772856
Net Income From Continuing Operation Net Minority Interest,-0.3743598352235085,-0.37051399394302087,-0.11432566498400318,-0.36691951483772856
Tax Effect Of Unusual Items,-0.5307210357599996,-1.2140382642772092,0.5814695484435605,-1.7627849177916215
Tax Effect Of Unusual Items,-0.5307210357599996,-1.2140382642772092,0.5814695484435605,-1.7627849177916215
Total Equity Gross Minority Interest,-0.2638779504060431,-0.16410934480191489,-0.10747073840973453,-0.15126909304713632
Share Issued,-0.38302553438963177,-0.381297415021629,-0.3812984293415169,-0.3819723314101642
Invested Capital,-0.19323753931801368,-0.17204965346283244,-0.14055814946072243,-0.13597950306312065
Net Tangible Assets,-0.26172225320156023,-0.1472778230285706,-0.08043725338189278,-0.1288019840986696
Normalized Income,-0.2937638603989153,-0.17178581905596774,-0.22342993941137407,-0.16556888420582228
Normalized Income,-0.2937638603989153,-0.17178581905596774,-0.22342993941137407,-0.16556888420582228
Basic Average Shares,-0.35007608429969067,-0.3513735805147072,-0.34940498927803926,-0.3506956095194733
Basic Average Shares,-0.35007608429969067,-0.3513735805147072,-0.34940498927803926,-0.3506956095194733
Operating Revenue,-0.3277672602643807,-0.3392606586227928,-0.34233573233880676,-0.34663977150187825
Operating Revenue,-0.3277672602643807,-0.3392606586227928,-0.34233573233880676,-0.34663977150187825
Common Stock,-0.24427333672053186,-0.24426271842919867,-0.24426271842919867,-0.24426271842919867
Stockholders Equity,-0.2630084874870729,-0.16186231214257576,-0.10495368140750774,-0.14967283092621061
Total Assets,-0.21207204814311584,-0.20756358102304784,-0.20284546168248233,-0.2020204518634435
Net Income Continuous Operations,-0.37201623965240793,-0.36707146773083116,-0.11284759891214464,-0.3645177121055105
Net Income Continuous Operations,-0.37201623965240793,-0.36707146773083116,-0.11284759891214464,-0.3645177121055105
Pretax Income,-0.33467573600647776,-0.3423347828316164,-0.10874431784361073,-0.47371045487593444
Pretax Income,-0.33467573600647776,-0.3423347828316164,-0.10874431784361073,-0.47371045487593444
Diluted EPS,-0.34831772206696593,-0.35412916616336715,0.197958022994754,-0.34620446966827456
Diluted EPS,-0.34831772206696593,-0.35412916616336715,0.197958022994754,-0.34620446966827456
Common Stock Equity,-0.2623540941359428,-0.15685884901701422,-0.09750326855803235,-0.1441452461109902
Net Income From Continuing And Discontinued Operation,-0.3793231815242126,-0.3754849657358433,-0.11980460419949976,-0.37189761372449154
Net Income From Continuing And Discontinued Operation,-0.3793231815242126,-0.3754849657358433,-0.11980460419949976,-0.37189761372449154
Total Revenue,-0.34046718239147455,-0.3516726215103798,-0.35532205871669525,-0.36013477619868745
Total Revenue,-0.34046718239147455,-0.3516726215103798,-0.35532205871669525,-0.36013477619868745
Total Capitalization,-0.1997995656139152,-0.17365683335706256,-0.1256384819176501,-0.13715160361024034
Diluted Average Shares,-0.35172028355254586,-0.3530025564127902,-0.34984138346851,-0.35233253996329317
Diluted Average Shares,-0.35172028355254586,-0.3530025564127902,-0.34984138346851,-0.35233253996329317
Ordinary Shares Number,-0.35477040816075367,-0.35177153689653606,-0.347892157606995,-0.34942295103113885
Net Income,-0.3793261027741774,-0.3754878843512628,-0.11980734731632434,-0.3719005298775583
Net Income,-0.3793261027741774,-0.3754878843512628,-0.11980734731632434,-0.3719005298775583
Capital Stock,-0.26682847491580297,-0.26681850930805545,-0.26681850930805545,-0.26681850930805545
Diluted NI Availto Com Stockholders,-0.3768737000945668,-0.3730201402198547,-0.11631764189916721,-0.3694184470036206
Diluted NI Availto Com Stockholders,-0.3768737000945668,-0.3730201402198547,-0.11631764189916721,-0.3694184470036206
Tangible Book Value,-0.2601327041290789,-0.1405153544661979,-0.07065357282241284,-0.12120440257231857
Tax Rate For Calcs,0.24701343810091272,0.24701343810091272,0.1251617991767595,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,0.24701343810091272,0.1251617991767595,1.0593576975952699
