,2022-12-31VRSK,2021-12-31VRSK,2020-12-31VRSK
Basic EPS,-0.028614370883378672,-0.12498502996462996,-0.11193483654737718
Basic EPS,-0.028614370883378672,-0.12498502996462996,-0.11193483654737718
Net Income Common Stockholders,-0.2480182822241318,-0.2842507408124177,-0.2783946082981483
Net Income Common Stockholders,-0.2480182822241318,-0.2842507408124177,-0.2783946082981483
Total Liabilities Net Minority Interest,-0.2416552497958057,-0.24260256431244348,-0.24302673499153502
Net Income Including Noncontrolling Interests,-0.25291689715309523,-0.2888968674520031,-0.2831000944594013
Net Income Including Noncontrolling Interests,-0.25291689715309523,-0.2888968674520031,-0.2831000944594013
Net Income From Continuing Operation Net Minority Interest,-0.23451448905362082,-0.28914805783231246,-0.2832661829327432
Net Income From Continuing Operation Net Minority Interest,-0.23451448905362082,-0.28914805783231246,-0.2832661829327432
Tax Effect Of Unusual Items,0.30744250584817595,0.05150480864040773,0.1361902433679382
Tax Effect Of Unusual Items,0.30744250584817595,0.05150480864040773,0.1361902433679382
Total Equity Gross Minority Interest,-0.4736030659374345,-0.4412450293933876,-0.4455893396588379
Share Issued,-0.1769863748586859,-0.1769863748586859,-0.1769863748586859
Invested Capital,-0.44935058092688973,-0.43876745238940973,-0.4425924189839179
Net Tangible Assets,-0.20002011632098232,-0.17551873139843033,-0.2806518846665816
Normalized Income,-0.30255325998372423,-0.3083602072593195,-0.315497418688278
Normalized Income,-0.30255325998372423,-0.3083602072593195,-0.315497418688278
Basic Average Shares,-0.3738925878998288,-0.3711863930994355,-0.3706575330921169
Basic Average Shares,-0.3738925878998288,-0.3711863930994355,-0.3706575330921169
Operating Revenue,-0.4639678436192283,-0.4645796662443868,-0.46800409954636085
Operating Revenue,-0.4639678436192283,-0.4645796662443868,-0.46800409954636085
Common Stock,-0.24448570254719557,-0.24448570254719557,-0.24448570254719557
Stockholders Equity,-0.46614517083346485,-0.4336155025311271,-0.4372214430860058
Total Assets,-0.2789386406741151,-0.2757390833630991,-0.2766694859200097
Net Income Continuous Operations,-0.23674230196998097,-0.2911973851569657,-0.2853512877205699
Net Income Continuous Operations,-0.23674230196998097,-0.2911973851569657,-0.2853512877205699
Pretax Income,-0.24272532138992262,-0.29251958893204666,-0.2891818349194521
Pretax Income,-0.24272532138992262,-0.29251958893204666,-0.2891818349194521
Diluted EPS,-0.02551841816685869,-0.12695453330404458,-0.11480333201156921
Diluted EPS,-0.02551841816685869,-0.12695453330404458,-0.11480333201156921
Common Stock Equity,-0.47422522153433216,-0.44029684688739834,-0.44405783519393155
Net Income From Continuing And Discontinued Operation,-0.2507680389915407,-0.28685479331552327,-0.2810222104998639
Net Income From Continuing And Discontinued Operation,-0.2507680389915407,-0.28685479331552327,-0.2810222104998639
Total Revenue,-0.46381035747528115,-0.4644221435958734,-0.4678463725780867
Total Revenue,-0.46381035747528115,-0.4644221435958734,-0.4678463725780867
Total Capitalization,-0.46825962714285435,-0.44991671664816135,-0.44596434831090825
Diluted Average Shares,-0.3745620399362658,-0.3715653336058515,-0.37021864335274407
Diluted Average Shares,-0.3745620399362658,-0.3715653336058515,-0.37021864335274407
Ordinary Shares Number,-0.37398908757645005,-0.3693017369890469,-0.36851547430931053
Net Income,-0.25077087200145937,-0.2868576510953329,-0.28102506427619794
Net Income,-0.25077087200145937,-0.2868576510953329,-0.28102506427619794
Capital Stock,-0.2670277870707532,-0.2670277870707532,-0.2670277870707532
Diluted NI Availto Com Stockholders,-0.24780463095756095,-0.28403564977960855,-0.2781797499699971
Diluted NI Availto Com Stockholders,-0.24780463095756095,-0.28403564977960855,-0.2781797499699971
Tangible Book Value,-0.19564161381533673,-0.17003275960482012,-0.27991796010456227
Tax Rate For Calcs,-0.2268540466041288,0.49071671594922,0.1251617991767595
Tax Rate For Calcs,-0.2268540466041288,0.49071671594922,0.1251617991767595
