,2022-12-31APTV,2021-12-31APTV,2020-12-31APTV
Basic EPS,-0.23340202143103767,-0.23390395194708583,0.0055169042078978105
Basic EPS,-0.23340202143103767,-0.23390395194708583,0.0055169042078978105
Net Income Common Stockholders,-0.30127760352057287,-0.3017813568551337,-0.14536594647400378
Net Income Common Stockholders,-0.30127760352057287,-0.3017813568551337,-0.14536594647400378
Total Liabilities Net Minority Interest,-0.21006451469005236,-0.22397065930654383,-0.22407046417221244
Net Income Including Noncontrolling Interests,-0.29842906097216515,-0.29605538237605666,-0.14451474358239264
Net Income Including Noncontrolling Interests,-0.29842906097216515,-0.29605538237605666,-0.14451474358239264
Net Income From Continuing Operation Net Minority Interest,-0.2907819119710817,-0.2912846363214722,-0.13870779597794422
Net Income From Continuing Operation Net Minority Interest,-0.2907819119710817,-0.2912846363214722,-0.13870779597794422
Tax Effect Of Unusual Items,0.06923523175810663,0.0893157812879088,0.12416887494732769
Tax Effect Of Unusual Items,0.06923523175810663,0.0893157812879088,0.12416887494732769
Total Equity Gross Minority Interest,-0.25303674370757706,-0.2690832951385196,-0.2829622073517738
Share Issued,-0.34679848639937966,-0.34706928617722527,-0.34737325004867103
Invested Capital,-0.28599006766826884,-0.3340059597593981,-0.34079406924421474
Net Tangible Assets,-0.1471515799924845,-0.01906607797429739,-0.0408344717642823
Normalized Income,-0.30069856043005866,-0.3063532501869323,-0.14961969311961626
Normalized Income,-0.30069856043005866,-0.3063532501869323,-0.14961969311961626
Basic Average Shares,-0.2961980180993454,-0.2965005609369751,-0.3013343703654681
Basic Average Shares,-0.2961980180993454,-0.2965005609369751,-0.3013343703654681
Operating Revenue,-0.19809987850687766,-0.2312801721785164,-0.2765373124511097
Operating Revenue,-0.19809987850687766,-0.2312801721785164,-0.2765373124511097
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.2509561722258807,-0.26503854362363183,-0.27851128855394786
Total Assets,-0.2225671249756964,-0.2372125602706303,-0.23904465625155447
Net Income Continuous Operations,-0.29333803325466096,-0.2909595353683329,-0.13911122294117775
Net Income Continuous Operations,-0.29333803325466096,-0.2909595353683329,-0.13911122294117775
Pretax Income,-0.2712270202310123,-0.2795975632093059,-0.17036197734257447
Pretax Income,-0.2712270202310123,-0.2795975632093059,-0.17036197734257447
Diluted EPS,-0.23895691043468736,-0.24001353663403302,0.009350246411548972
Diluted EPS,-0.23895691043468736,-0.24001353663403302,0.009350246411548972
Common Stock Equity,-0.24978355502856117,-0.26447143835585074,-0.27852348257806286
Net Income From Continuing And Discontinued Operation,-0.29591097566585883,-0.29641270321989405,-0.1441383905702075
Net Income From Continuing And Discontinued Operation,-0.29591097566585883,-0.29641270321989405,-0.1441383905702075
Total Revenue,-0.19795825544865106,-0.23113656940888486,-0.2763910094016783
Total Revenue,-0.19795825544865106,-0.23113656940888486,-0.2763910094016783
Total Capitalization,-0.2760107898924283,-0.3252520020314869,-0.33367959335113023
Diluted Average Shares,-0.2982840933506195,-0.2982569121559137,-0.29861026768708865
Diluted Average Shares,-0.2982840933506195,-0.2982569121559137,-0.29861026768708865
Ordinary Shares Number,-0.2955922855635958,-0.295885941325262,-0.2962155602891273
Net Income,-0.29591383966181767,-0.29641556756023785,-0.14414115038970446
Net Income,-0.29591383966181767,-0.29641556756023785,-0.14414115038970446
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.30106183589271535,-0.3015655692096712,-0.14074870777152462
Diluted NI Availto Com Stockholders,-0.30106183589271535,-0.3015655692096712,-0.14074870777152462
Tangible Book Value,-0.14038340521041331,-0.006508403530592435,-0.02926073466317787
Tax Rate For Calcs,-0.9715029511406225,-1.1068936610563487,-2.190019340382158
Tax Rate For Calcs,-0.9715029511406225,-1.1068936610563487,-2.190019340382158
