,2022-12-31PEG,2021-12-31PEG,2020-12-31PEG
Basic EPS,-0.22838271627055579,-0.39652943914669736,-0.14305452854236458
Basic EPS,-0.22838271627055579,-0.39652943914669736,-0.14305452854236458
Net Income Common Stockholders,-0.23830843670047228,-0.4497588988823701,-0.12823833309893642
Net Income Common Stockholders,-0.23830843670047228,-0.4497588988823701,-0.12823833309893642
Total Liabilities Net Minority Interest,-0.11774917248266771,-0.1195290259204244,-0.12158750127483925
Net Income Including Noncontrolling Interests,-0.2433347314519625,-0.45309296107649827,-0.13414551603097127
Net Income Including Noncontrolling Interests,-0.2433347314519625,-0.45309296107649827,-0.13414551603097127
Net Income From Continuing Operation Net Minority Interest,-0.23585927669091553,-0.44687782276734345,-0.12601400613058317
Net Income From Continuing Operation Net Minority Interest,-0.23585927669091553,-0.44687782276734345,-0.12601400613058317
Tax Effect Of Unusual Items,-0.0934593464602766,-2.967954905795637,0.31614454538916786
Tax Effect Of Unusual Items,-0.0934593464602766,-2.967954905795637,0.31614454538916786
Total Equity Gross Minority Interest,-0.11349496906889325,-0.09214974399471271,-0.045605713014905756
Share Issued,-0.1832072702497302,-0.1832072702497302,-0.1832072702497302
Invested Capital,0.02511497952924527,0.02306856416985203,0.012270811582484433
Net Tangible Assets,0.28265477827152796,0.30664095512789064,0.3546815483195815
Normalized Income,-0.22718501448476872,-0.26954811897805414,-0.19393440707197865
Normalized Income,-0.22718501448476872,-0.26954811897805414,-0.19393440707197865
Basic Average Shares,-0.14004465804091523,-0.13591907389141905,-0.13591907389141905
Basic Average Shares,-0.14004465804091523,-0.13591907389141905,-0.13591907389141905
Operating Revenue,-0.3344565209661135,-0.33583977211864574,-0.3379501168257142
Operating Revenue,-0.3344565209661135,-0.33583977211864574,-0.3379501168257142
Common Stock,0.2933201351872917,0.2911964769206547,0.2897099161340088
Stockholders Equity,-0.10098806123684233,-0.07937680296626749,-0.03225267703353308
Total Assets,-0.12120122074452366,-0.12013973833083359,-0.11616956745258351
Net Income Continuous Operations,-0.2381318454719937,-0.44831594816382675,-0.1287209427009025
Net Income Continuous Operations,-0.2381318454719937,-0.44831594816382675,-0.1287209427009025
Pretax Income,-0.26997143878426827,-0.4887565058794172,-0.134054747174226
Pretax Income,-0.26997143878426827,-0.4887565058794172,-0.134054747174226
Diluted EPS,-0.2337855704898497,-0.4106586678283614,-0.1438605524935756
Diluted EPS,-0.2337855704898497,-0.4106586678283614,-0.1438605524935756
Common Stock Equity,-0.0933671351795034,-0.07082663890450706,-0.021676276082018577
Net Income From Continuing And Discontinued Operation,-0.241097240387512,-0.4516973811937918,-0.1314697698308184
Net Income From Continuing And Discontinued Operation,-0.241097240387512,-0.4516973811937918,-0.1314697698308184
Total Revenue,-0.3343067621510763,-0.3356899307715457,-0.3378001495643131
Total Revenue,-0.3343067621510763,-0.3356899307715457,-0.3378001495643131
Total Capitalization,-0.018797262983723292,-0.028549190082167674,-0.014394276498358633
Diluted Average Shares,-0.14211453916866035,-0.14007594956572814,-0.13803735996279595
Diluted Average Shares,-0.14211453916866035,-0.14007594956572814,-0.13803735996279595
Ordinary Shares Number,-0.1431461138754353,-0.13842538300001203,-0.13842538300001203
Net Income,-0.24110006675940984,-0.4517003521212925,-0.1314725209545942
Net Income,-0.24110006675940984,-0.4517003521212925,-0.1314725209545942
Capital Stock,0.23772027973288126,0.23572715818337925,0.23433197309872786
Diluted NI Availto Com Stockholders,-0.23809517127323745,-0.44953723106544424,-0.1280294415183901
Diluted NI Availto Com Stockholders,-0.23809517127323745,-0.44953723106544424,-0.1280294415183901
Tangible Book Value,0.30885031779456895,0.33392067639364037,0.38413271751382894
Tax Rate For Calcs,0.24701343810091272,2.81943692649971,-0.2674712595788467
Tax Rate For Calcs,0.24701343810091272,2.81943692649971,-0.2674712595788467
