,2022-12-31BAX,2021-12-31BAX,2020-12-31BAX
Basic EPS,-0.5742128418277544,-0.2032861904681466,-0.2228614805940258
Basic EPS,-0.5742128418277544,-0.2032861904681466,-0.2228614805940258
Net Income Common Stockholders,-0.6745588244301293,-0.20644603828950137,-0.229366815012018
Net Income Common Stockholders,-0.6745588244301293,-0.20644603828950137,-0.229366815012018
Total Liabilities Net Minority Interest,-0.17013425135047366,-0.16178391092286754,-0.21628984318613123
Net Income Including Noncontrolling Interests,-0.6745946532291498,-0.21035309201129695,-0.2334652257102482
Net Income Including Noncontrolling Interests,-0.6745946532291498,-0.21035309201129695,-0.2334652257102482
Net Income From Continuing Operation Net Minority Interest,-0.6712185641291206,-0.20406196152871406,-0.22693591947148348
Net Income From Continuing Operation Net Minority Interest,-0.6712185641291206,-0.20406196152871406,-0.22693591947148348
Tax Effect Of Unusual Items,-1.5755724098676196,0.1273284019712476,0.08690754131593718
Tax Effect Of Unusual Items,-1.5755724098676196,0.1273284019712476,0.08690754131593718
Total Equity Gross Minority Interest,-0.3493461583934777,-0.25222387900094395,-0.2641157885979839
Share Issued,-0.09023627402698037,-0.09023627402698037,-0.09023627402698037
Invested Capital,-0.16671566350981232,-0.09570671429119153,-0.29296118990880354
Net Tangible Assets,-0.4515337759179632,-0.47705534105104896,-0.055608318960306546
Normalized Income,-0.41787508025858355,-0.23136123176587142,-0.24392050949402122
Normalized Income,-0.41787508025858355,-0.23136123176587142,-0.24392050949402122
Basic Average Shares,-0.13591907389141905,-0.1372942686079178,-0.13248108710017226
Basic Average Shares,-0.13591907389141905,-0.1372942686079178,-0.13248108710017226
Operating Revenue,-0.2402358366917059,-0.28153829738718783,-0.3012407593162047
Operating Revenue,-0.2402358366917059,-0.28153829738718783,-0.3012407593162047
Common Stock,-0.17197339103287518,-0.17197339103287518,-0.17197339103287518
Stockholders Equity,-0.3416685905802258,-0.24278717756225013,-0.25461393103049135
Total Assets,-0.19837968051001112,-0.17860815398597601,-0.22961219508790992
Net Income Continuous Operations,-0.6702673561880198,-0.20508324326196156,-0.22824230162884013
Net Income Continuous Operations,-0.6702673561880198,-0.20508324326196156,-0.22824230162884013
Pretax Income,-0.6210110849364561,-0.22027133985065003,-0.23962822048795399
Pretax Income,-0.6210110849364561,-0.22027133985065003,-0.23962822048795399
Diluted EPS,-0.597681505112548,-0.2088430637533353,-0.22997558774024904
Diluted EPS,-0.597681505112548,-0.2088430637533353,-0.22997558774024904
Common Stock Equity,-0.3443964138640888,-0.24126331102052306,-0.253598589659026
Net Income From Continuing And Discontinued Operation,-0.6755933021820048,-0.20936297259478492,-0.23219157630338702
Net Income From Continuing And Discontinued Operation,-0.6755933021820048,-0.20936297259478492,-0.23219157630338702
Total Revenue,-0.2400916995798726,-0.28139169595260616,-0.3010929823287792
Total Revenue,-0.2400916995798726,-0.28139169595260616,-0.3010929823287792
Total Capitalization,-0.17632442399721904,-0.08755952848562917,-0.2896669276634421
Diluted Average Shares,-0.14007594956572814,-0.13735783009515187,-0.1312420612863553
Diluted Average Shares,-0.14007594956572814,-0.13735783009515187,-0.1312420612863553
Ordinary Shares Number,-0.13813381042944214,-0.14003351480930773,-0.13780849407457474
Net Income,-0.6755964267913107,-0.20936577718433164,-0.23219439656245114
Net Income,-0.6755964267913107,-0.20936577718433164,-0.23219439656245114
Capital Stock,-0.19897265176300732,-0.19897265176300732,-0.19897265176300732
Diluted NI Availto Com Stockholders,-0.6743282237569804,-0.20623403897578166,-0.2291539048972716
Diluted NI Availto Com Stockholders,-0.6743282237569804,-0.20623403897578166,-0.2291539048972716
Tangible Book Value,-0.45852375949535795,-0.48519890634045815,-0.04470236378607676
Tax Rate For Calcs,0.24701343810091272,-0.9308857381659046,-0.6889831567594769
Tax Rate For Calcs,0.24701343810091272,-0.9308857381659046,-0.6889831567594769
