,2022-12-31IQV,2021-12-31IQV,2020-12-31IQV
Basic EPS,-0.0396568422364387,-0.07830549197214888,-0.25849854723344684
Basic EPS,-0.0396568422364387,-0.07830549197214888,-0.25849854723344684
Net Income Common Stockholders,-0.2307521366820602,-0.24649442838708535,-0.3330140635979036
Net Income Common Stockholders,-0.2307521366820602,-0.24649442838708535,-0.3330140635979036
Total Liabilities Net Minority Interest,-0.18186132306653408,-0.18570796893084465,-0.18721751752408222
Net Income Including Noncontrolling Interests,-0.2358389043063567,-0.2508305585975683,-0.3336594485565125
Net Income Including Noncontrolling Interests,-0.2358389043063567,-0.2508305585975683,-0.3336594485565125
Net Income From Continuing Operation Net Minority Interest,-0.22831841143505746,-0.24402854738476173,-0.3303714545643365
Net Income From Continuing Operation Net Minority Interest,-0.22831841143505746,-0.24402854738476173,-0.3303714545643365
Tax Effect Of Unusual Items,0.1209447531486965,0.11723195783703239,0.10073220560100613
Tax Effect Of Unusual Items,0.1209447531486965,0.11723195783703239,0.10073220560100613
Total Equity Gross Minority Interest,-0.35325995142541494,-0.3449205616573641,-0.3377553097988945
Share Issued,-0.3558468783921657,-0.35622001875558595,-0.3569041094218564
Invested Capital,-0.23255034299858515,-0.2382902885188345,-0.232184317487149
Net Tangible Assets,-0.6280351882621512,-0.6016265099025143,-0.5898893195204535
Normalized Income,-0.25615585351326864,-0.27012454915395434,-0.3570242996650886
Normalized Income,-0.25615585351326864,-0.27012454915395434,-0.3570242996650886
Basic Average Shares,-0.3534748780415173,-0.35086200808016965,-0.35093076781599464
Basic Average Shares,-0.3534748780415173,-0.35086200808016965,-0.35093076781599464
Operating Revenue,-0.2527028310536311,-0.2622082492300065,-0.30680923190460374
Operating Revenue,-0.2527028310536311,-0.2622082492300065,-0.30680923190460374
Common Stock,-0.2441777720985332,-0.2441777720985332,0.9336031025783474
Stockholders Equity,-0.34374132056950524,-0.33529799399552884,-0.33654772825377083
Total Assets,-0.2095233570950137,-0.21197118842622784,-0.21244337811203304
Net Income Continuous Operations,-0.2306207995151682,-0.24564289142881918,-0.3286399492517407
Net Income Continuous Operations,-0.2306207995151682,-0.24564289142881918,-0.3286399492517407
Pretax Income,-0.2321993635947184,-0.25678783359345586,-0.3357848329511017
Pretax Income,-0.2321993635947184,-0.25678783359345586,-0.3357848329511017
Diluted EPS,-0.040311184957698316,-0.08099129363250722,-0.2669575047173481
Diluted EPS,-0.040311184957698316,-0.08099129363250722,-0.2669575047173481
Common Stock Equity,-0.3465582668213522,-0.3377518952160293,-0.33905536538143805
Net Income From Continuing And Discontinued Operation,-0.23357132707698386,-0.24925031314058418,-0.3354220205461317
Net Income From Continuing And Discontinued Operation,-0.23357132707698386,-0.24925031314058418,-0.3354220205461317
Total Revenue,-0.25255795009512877,-0.26206280112809793,-0.30666112267272005
Total Revenue,-0.25255795009512877,-0.26206280112809793,-0.30666112267272005
Total Capitalization,-0.2228481679148417,-0.2277327310470431,-0.2224181887658803
Diluted Average Shares,-0.3530406100853783,-0.35005067866774436,-0.35005067866774436
Diluted Average Shares,-0.3530406100853783,-0.35005067866774436,-0.35005067866774436
Ordinary Shares Number,-0.3530837598067577,-0.34977924819396145,-0.3493746141189252
Net Income,-0.23357414828310671,-0.24925314510873822,-0.3354249116624091
Net Income,-0.23357414828310671,-0.24925314510873822,-0.3354249116624091
Capital Stock,-0.2667387844460754,-0.2667387844460754,0.8386464269077347
Diluted NI Availto Com Stockholders,-0.2305391715189001,-0.2462808376737696,-0.3327970348609322
Diluted NI Availto Com Stockholders,-0.2305391715189001,-0.2462808376737696,-0.3327970348609322
Tangible Book Value,-0.6430030838666189,-0.6154007260349244,-0.6031330114430601
Tax Rate For Calcs,-0.010228910738966788,-0.6330261763513072,0.016849231244178465
Tax Rate For Calcs,-0.010228910738966788,-0.6330261763513072,0.016849231244178465
