,2022-12-31DXCM,2021-12-31DXCM,2020-12-31DXCM
Basic EPS,-0.2876105171642415,-0.30367229367778337,-0.2661529876031816
Basic EPS,-0.2876105171642415,-0.30367229367778337,-0.2661529876031816
Net Income Common Stockholders,-0.3251806992454831,-0.3408348341169601,-0.3059876971987164
Net Income Common Stockholders,-0.3251806992454831,-0.3408348341169601,-0.3059876971987164
Total Liabilities Net Minority Interest,-0.2496957792862322,-0.25122903153506604,-0.25300555814396714
Net Income Including Noncontrolling Interests,-0.3295117575359439,-0.3450406127725906,-0.31047235658610517
Net Income Including Noncontrolling Interests,-0.3295117575359439,-0.3450406127725906,-0.31047235658610517
Net Income From Continuing Operation Net Minority Interest,-0.32255409091576365,-0.3381762501041496,-0.3034002931658842
Net Income From Continuing Operation Net Minority Interest,-0.32255409091576365,-0.3381762501041496,-0.3034002931658842
Tax Effect Of Unusual Items,0.1359644425032954,0.13592080625260036,0.13149055223742478
Tax Effect Of Unusual Items,0.1359644425032954,0.13592080625260036,0.13149055223742478
Total Equity Gross Minority Interest,-0.4626414348379858,-0.4653419520300225,-0.4718328272429891
Share Issued,-0.2707708755323488,-0.27201467674374963,-0.27425351892427113
Invested Capital,-0.4722953892369647,-0.4735964435548879,-0.48241765838050005
Net Tangible Assets,-0.11935081626195203,-0.11760047362648772,-0.12436641796591406
Normalized Income,-0.3557676302995074,-0.37178588176781324,-0.33555943263176735
Normalized Income,-0.3557676302995074,-0.37178588176781324,-0.33555943263176735
Basic Average Shares,-0.21471773114679596,-0.21643672454241938,-0.22283137997413843
Basic Average Shares,-0.21471773114679596,-0.21643672454241938,-0.22283137997413843
Operating Revenue,-0.4566472529042885,-0.4648279420922772,-0.4740815376229352
Operating Revenue,-0.4566472529042885,-0.4648279420922772,-0.4740815376229352
Common Stock,-0.244453847673196,-0.244453847673196,-0.24448570254719557
Stockholders Equity,-0.45448606464376823,-0.4572202393502147,-0.4637920126691653
Total Assets,-0.2848670766173365,-0.2865986906331213,-0.28902687887340595
Net Income Continuous Operations,-0.32448383715563067,-0.34004422069618745,-0.3054057804252939
Net Income Continuous Operations,-0.32448383715563067,-0.34004422069618745,-0.3054057804252939
Pretax Income,-0.33392238713843136,-0.3479430466270731,-0.3512703374609448
Pretax Income,-0.33392238713843136,-0.3479430466270731,-0.3512703374609448
Diluted EPS,-0.2991846037973915,-0.31450568368790394,-0.27567467086194997
Diluted EPS,-0.2991846037973915,-0.31450568368790394,-0.27567467086194997
Common Stock Equity,-0.46206479864972555,-0.464916537035998,-0.4717708825887331
Net Income From Continuing And Discontinued Operation,-0.32762015708088416,-0.34321134082252835,-0.3085043372721426
Net Income From Continuing And Discontinued Operation,-0.32762015708088416,-0.34321134082252835,-0.3085043372721426
Total Revenue,-0.45649020354541237,-0.4646704046303166,-0.47392344804263625
Total Revenue,-0.45649020354541237,-0.4646704046303166,-0.47392344804263625
Total Capitalization,-0.48136023185341004,-0.46941713101185845,-0.47853612880303165
Diluted Average Shares,-0.19205998444049915,-0.19117659561256187,-0.21754235447715162
Diluted Average Shares,-0.19205998444049915,-0.19117659561256187,-0.21754235447715162
Ordinary Shares Number,-0.21780110071962866,-0.21665463750702585,-0.21908244195724352
Net Income,-0.32762304284197485,-0.34321423728538286,-0.3085072099121649
Net Income,-0.32762304284197485,-0.34321423728538286,-0.3085072099121649
Capital Stock,-0.26699789024751064,-0.26699789024751064,-0.2670277870707532
Diluted NI Availto Com Stockholders,-0.3235787151606407,-0.33918185465334727,-0.3057717424062523
Diluted NI Availto Com Stockholders,-0.3235787151606407,-0.33918185465334727,-0.3057717424062523
Tangible Book Value,-0.11132603936898602,-0.10949658076851325,-0.11656834763934662
Tax Rate For Calcs,-0.8778261189499315,-0.4925718538847326,1.0593576975952699
Tax Rate For Calcs,-0.8778261189499315,-0.4925718538847326,1.0593576975952699
