,2022-12-31ENPH,2021-12-31ENPH,2020-12-31ENPH
Basic EPS,-0.18421283085831563,-0.27706997632722963,-0.278073837359326
Basic EPS,-0.18421283085831563,-0.27706997632722963,-0.278073837359326
Net Income Common Stockholders,-0.3181077505515821,-0.3498332539938861,-0.35127575166740094
Net Income Common Stockholders,-0.3181077505515821,-0.3498332539938861,-0.35127575166740094
Total Liabilities Net Minority Interest,-0.25385927648928813,-0.2563943990894558,-0.2602742259130652
Net Income Including Noncontrolling Interests,-0.32249541346675203,-0.35396701852893525,-0.3553979719310314
Net Income Including Noncontrolling Interests,-0.32249541346675203,-0.35396701852893525,-0.3553979719310314
Net Income From Continuing Operation Net Minority Interest,-0.3154955896741053,-0.34715628949408817,-0.34859584067143146
Net Income From Continuing Operation Net Minority Interest,-0.3154955896741053,-0.34715628949408817,-0.34859584067143146
Tax Effect Of Unusual Items,0.13515447534685845,0.09312353091839846,0.10003303737646846
Tax Effect Of Unusual Items,0.13515447534685845,0.09312353091839846,0.10003303737646846
Total Equity Gross Minority Interest,-0.5019668358435876,-0.513870938411227,-0.5122504775655038
Share Issued,-0.43044945315138194,-0.43203343399410093,-0.4351006477814154
Invested Capital,-0.5053403387846563,-0.5161233838014735,-0.5269869544308067
Net Tangible Assets,-0.16781200348224654,-0.18014004539292988,-0.1706122446213341
Normalized Income,-0.348255004433761,-0.37569227977148206,-0.3780271134228484
Normalized Income,-0.348255004433761,-0.37569227977148206,-0.3780271134228484
Basic Average Shares,-0.3894025276074047,-0.39031290650972683,-0.3961327305499494
Basic Average Shares,-0.3894025276074047,-0.39031290650972683,-0.3961327305499494
Operating Revenue,-0.46691429271204593,-0.48374037253931773,-0.49451596995350044
Operating Revenue,-0.46691429271204593,-0.48374037253931773,-0.49451596995350044
Common Stock,-0.2444962146556154,-0.2444962146556154,-0.2444962146556154
Stockholders Equity,-0.49430159222768666,-0.5063540598954958,-0.504713402665011
Total Assets,-0.29358339601590144,-0.2973798917501949,-0.30070091135846994
Net Income Continuous Operations,-0.3174532477718434,-0.34898874977387306,-0.35042260844703105
Net Income Continuous Operations,-0.3174532477718434,-0.34898874977387306,-0.35042260844703105
Pretax Income,-0.32751389943424974,-0.362159576821407,-0.3623184078744201
Pretax Income,-0.32751389943424974,-0.362159576821407,-0.3623184078744201
Diluted EPS,-0.19616354936118705,-0.2886183418039346,-0.2923165335016445
Diluted EPS,-0.19616354936118705,-0.2886183418039346,-0.2923165335016445
Common Stock Equity,-0.503592308985127,-0.5161630070522849,-0.5144518050607452
Net Income From Continuing And Discontinued Operation,-0.3205756513584528,-0.3521735746883708,-0.3536102715393506
Net Income From Continuing And Discontinued Operation,-0.3205756513584528,-0.3521735746883708,-0.3536102715393506
Total Revenue,-0.4667566307673982,-0.48358170666196026,-0.494356661147141
Total Revenue,-0.4667566307673982,-0.48358170666196026,-0.494356661147141
Total Capitalization,-0.503795890277909,-0.5148597009590007,-0.530216337467493
Diluted Average Shares,-0.3844416852692105,-0.38546913442908837,-0.38612148310202665
Diluted Average Shares,-0.3844416852692105,-0.38546913442908837,-0.38612148310202665
Ordinary Shares Number,-0.3863035429771111,-0.3880212146256401,-0.39134730672243834
Net Income,-0.3205785322842059,-0.3521764773028884,-0.3536131751400147
Net Income,-0.3205785322842059,-0.3521764773028884,-0.3536131751400147
Capital Stock,-0.2670376530224232,-0.2670376530224232,-0.2670376530224232
Diluted NI Availto Com Stockholders,-0.31756023542298173,-0.3495932667148487,-0.35105799726722703
Diluted NI Availto Com Stockholders,-0.31756023542298173,-0.3495932667148487,-0.35105799726722703
Tangible Book Value,-0.1619776854827034,-0.17486295825360051,-0.16490449828581064
Tax Rate For Calcs,-0.9583158959948308,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,-0.9583158959948308,1.0593576975952699,1.0593576975952699
