,2023-07-31CSCO,2022-07-31CSCO,2021-07-31CSCO,2020-07-31CSCO
Basic EPS,-0.17718580363364106,-0.18973406653484567,-0.20579584304838755,-0.19876881582371297
Basic EPS,-0.17718580363364106,-0.18973406653484567,-0.20579584304838755,-0.19876881582371297
Net Income Common Stockholders,1.220309343520338,1.1194327382745368,0.9656620328998513,1.0441216147576966
Net Income Common Stockholders,1.220309343520338,1.1194327382745368,0.9656620328998513,1.0441216147576966
Total Liabilities Net Minority Interest,-0.024140525557660802,-0.03773893850500743,-0.02945097611844418,-0.026494256973011932
Net Income Including Noncontrolling Interests,1.2036097685548115,1.103540476160974,0.9510003937478958,1.0288320656097694
Net Income Including Noncontrolling Interests,1.2036097685548115,1.103540476160974,0.9510003937478958,1.0288320656097694
Net Income From Continuing Operation Net Minority Interest,1.2197790798648847,1.1191085286991798,0.9656519207424682,1.0439512383157945
Net Income From Continuing Operation Net Minority Interest,1.2197790798648847,1.1191085286991798,0.9656519207424682,1.0439512383157945
Tax Effect Of Unusual Items,-0.21598159174519266,0.3690223896614917,-0.1807212701582463,-0.05712618991943034
Tax Effect Of Unusual Items,-0.21598159174519266,0.3690223896614917,-0.1807212701582463,-0.05712618991943034
Total Equity Gross Minority Interest,0.8084742448545271,0.6705883057293552,0.7158076682983526,0.6148017019741273
Share Issued,2.01334566908414,2.0407092957349584,2.1072526605449027,2.119690672658911
Invested Capital,0.33698535279612596,0.27948607245415,0.3379336916212107,0.332975709693575
Net Tangible Assets,-0.048818490803242284,-0.22282916216519064,-0.2027667553493425,-0.09870154992700082
Normalized Income,1.3018861668429396,1.075995173750224,1.0238011622189622,1.0824768538243343
Normalized Income,1.3018861668429396,1.075995173750224,1.0238011622189622,1.0824768538243343
Basic Average Shares,2.331867844865542,2.3848128414507426,2.4205679040797095,2.430194267095201
Basic Average Shares,2.331867844865542,2.3848128414507426,2.4205679040797095,2.430194267095201
Operating Revenue,0.5025522982289723,0.406061663345281,0.37522225623946603,0.3660537838566562
Operating Revenue,0.5025522982289723,0.406061663345281,0.37522225623946603,0.3660537838566562
Common Stock,4.458238727715778,4.291000639218114,4.2519253271119934,4.130452074260357
Stockholders Equity,0.8324719856998062,0.6928675246571648,0.7386504723615419,0.6363856324493014
Total Assets,0.07951339338006201,0.049859881111495793,0.06306230472660904,0.05307454849245755
Net Income Continuous Operations,1.211750392393885,1.111477928870265,0.9586281436488665,1.036617837500571
Net Income Continuous Operations,1.211750392393885,1.111477928870265,0.9586281436488665,1.036617837500571
Pretax Income,1.2279372271813709,1.1399418941220594,1.0128142726392253,1.0868935779971236
Pretax Income,1.2279372271813709,1.1399418941220594,1.0128142726392253,1.0868935779971236
Diluted EPS,-0.18031415637100176,-0.19352198386282285,-0.21042800305235382,-0.203031619656934
Diluted EPS,-0.18031415637100176,-0.19352198386282285,-0.21042800305235382,-0.203031619656934
Common Stock Equity,0.8802297025151197,0.7346225474523789,0.7823740642436969,0.6757120543669513
Net Income From Continuing And Discontinued Operation,1.2116548923214414,1.1111839496258904,0.9580316137566423,1.0361756802976263
Net Income From Continuing And Discontinued Operation,1.2116548923214414,1.1111839496258904,0.9580316137566423,1.0361756802976263
Total Revenue,0.50265211668116,0.4061672389379041,0.37532967187384925,0.3661617465304816
Total Revenue,0.50265211668116,0.4061672389379041,0.37532967187384925,0.3661617465304816
Total Capitalization,0.3387217997946953,0.2901857534599333,0.32637279863652413,0.3126994616995518
Diluted Average Shares,2.3069111038205516,2.3660302023055855,2.395929516481924,2.4081610540995175
Diluted Average Shares,2.3069111038205516,2.3660302023055855,2.395929516481924,2.4081610540995175
Ordinary Shares Number,2.2637522424653604,2.293425407968021,2.3655851513494905,2.3790729538507
Net Income,1.2116530631163052,1.1111820514576582,0.9580296104648895,1.036173730643837
Net Income,1.2116530631163052,1.1111820514576582,0.9580296104648895,1.036173730643837
Capital Stock,4.146630262616207,3.9896719405929244,3.9529985040820876,3.838991951450573
Diluted NI Availto Com Stockholders,1.2204646479723484,1.1195920512519448,0.9658274562511799,1.0442839203670493
Diluted NI Availto Com Stockholders,1.2204646479723484,1.1195920512519448,0.9658274562511799,1.0442839203670493
Tangible Book Value,-0.037605633542527384,-0.21948163475911942,-0.19851240167767706,-0.08974342055795044
Tax Rate For Calcs,-0.19977590462098355,-0.10500240767997518,0.1251617991767595,0.07100551521046897
Tax Rate For Calcs,-0.19977590462098355,-0.10500240767997518,0.1251617991767595,0.07100551521046897
