,2022-12-31WHR,2021-12-31WHR,2020-12-31WHR
Basic EPS,-1.6960275451954452,1.1102659700299502,0.5290304324461534
Basic EPS,-1.6960275451954452,1.1102659700299502,0.5290304324461534
Net Income Common Stockholders,-0.5594511874829854,-0.14360280980304096,-0.23276715002030343
Net Income Common Stockholders,-0.5594511874829854,-0.14360280980304096,-0.23276715002030343
Total Liabilities Net Minority Interest,-0.20246271075496072,-0.19974302816549142,-0.1982085283558367
Net Income Including Noncontrolling Interests,-0.560907941520795,-0.14651363082122085,-0.23908709606945255
Net Income Including Noncontrolling Interests,-0.560907941520795,-0.14651363082122085,-0.23908709606945255
Net Income From Continuing Operation Net Minority Interest,-0.5563460500648829,-0.14134709881749455,-0.23032930883661962
Net Income From Continuing Operation Net Minority Interest,-0.5563460500648829,-0.14134709881749455,-0.23032930883661962
Tax Effect Of Unusual Items,-1.2051915886102333,0.18018377849584577,-0.07676019296318516
Tax Effect Of Unusual Items,-1.2051915886102333,0.18018377849584577,-0.07676019296318516
Total Equity Gross Minority Interest,-0.4513757321260558,-0.3758997388101593,-0.38246286866371554
Share Issued,-0.444405524643905,-0.444405524643905,-0.4450274252496054
Invested Capital,-0.37498417951700425,-0.3727880264483871,-0.3865805332202326
Net Tangible Assets,-0.32662140967167047,-0.1723319477307429,-0.21276383901778384
Normalized Income,-0.36398724090619217,-0.17644948735830152,-0.2337686981985071
Normalized Income,-0.36398724090619217,-0.17644948735830152,-0.2337686981985071
Basic Average Shares,-0.44403145012295825,-0.43976834650181224,-0.4393557880868626
Basic Average Shares,-0.44403145012295825,-0.43976834650181224,-0.4393557880868626
Operating Revenue,-0.15846441279008844,-0.1183678633557885,-0.16321712187827614
Operating Revenue,-0.15846441279008844,-0.1183678633557885,-0.16321712187827614
Common Stock,-0.23239146871869784,-0.23239146871869784,-0.23249765163202968
Stockholders Equity,-0.4482617784112557,-0.37175365674814875,-0.40104620850840605
Total Assets,-0.2405481082111582,-0.22860737543651646,-0.2280369702960638
Net Income Continuous Operations,-0.5563498258428333,-0.14111416852966455,-0.23387558609645925
Net Income Continuous Operations,-0.5563498258428333,-0.14111416852966455,-0.23387558609645925
Pretax Income,-0.5031956925169736,-0.1308111617701372,-0.22341029346751012
Pretax Income,-0.5031956925169736,-0.1308111617701372,-0.22341029346751012
Diluted EPS,-1.7784612828813526,1.1557896727016188,0.5545693652739233
Diluted EPS,-1.7784612828813526,1.1557896727016188,0.5545693652739233
Common Stock Equity,-0.45557288138688457,-0.375775073699662,-0.40632714269863446
Net Income From Continuing And Discontinued Operation,-0.560948556084959,-0.14677246022889234,-0.2355782372931247
Net Income From Continuing And Discontinued Operation,-0.560948556084959,-0.14677246022889234,-0.2355782372931247
Total Revenue,-0.15832515459289342,-0.11823099753031267,-0.163077580109378
Total Revenue,-0.15832515459289342,-0.11823099753031267,-0.163077580109378
Total Capitalization,-0.3718101442810265,-0.37050300766818384,-0.38479551457966055
Diluted Average Shares,-0.4445732832570339,-0.43981657418352543,-0.4395447622364678
Diluted Average Shares,-0.4445732832570339,-0.43981657418352543,-0.4395447622364678
Ordinary Shares Number,-0.4419009392772208,-0.43852898865191847,-0.43583142815167664
Net Income,-0.560951602002293,-0.14677522185641056,-0.23558105987678754
Net Income,-0.560951602002293,-0.14677522185641056,-0.23558105987678754
Capital Stock,-0.25567695984633926,-0.25567695984633926,-0.2557766159238144
Diluted NI Availto Com Stockholders,-0.5592251608325748,-0.1433933076855427,-0.23255410478672342
Diluted NI Availto Com Stockholders,-0.5592251608325748,-0.1433933076855427,-0.23255410478672342
Tangible Book Value,-0.32796532019066316,-0.16670193244528486,-0.20896135625737539
Tax Rate For Calcs,0.24701343810091272,0.5854902128902281,0.9645842006542615
Tax Rate For Calcs,0.24701343810091272,0.5854902128902281,0.9645842006542615
