,2022-12-31APH,2021-12-31APH,2020-12-31APH
Basic EPS,-0.17166456795711105,-0.1982668853076648,-0.23039043833474857
Basic EPS,-0.17166456795711105,-0.1982668853076648,-0.23039043833474857
Net Income Common Stockholders,-0.12857836659976496,-0.16780815752868763,-0.2165966679809016
Net Income Common Stockholders,-0.12857836659976496,-0.16780815752868763,-0.2165966679809016
Total Liabilities Net Minority Interest,-0.2290187062413402,-0.2287392526174681,-0.23466059212686471
Net Income Including Noncontrolling Interests,-0.13267133669233547,-0.17206190834249396,-0.22055990997456354
Net Income Including Noncontrolling Interests,-0.13267133669233547,-0.17206190834249396,-0.22055990997456354
Net Income From Continuing Operation Net Minority Interest,-0.12635334506709678,-0.16819257912834923,-0.21419185718908337
Net Income From Continuing Operation Net Minority Interest,-0.12635334506709678,-0.16819257912834923,-0.21419185718908337
Tax Effect Of Unusual Items,0.12249924044446511,0.09523490942623203,0.1293434780953921
Tax Effect Of Unusual Items,0.12249924044446511,0.09523490942623203,0.1293434780953921
Total Equity Gross Minority Interest,-0.31324593358889397,-0.33477179526454853,-0.36268617141233445
Share Issued,-0.14464943269630437,-0.1417264998495124,-0.14178868991008245
Invested Capital,-0.3476603750882927,-0.3558360540119174,-0.3866237907806751
Net Tangible Assets,-0.19091355785304034,-0.21367483606197285,-0.18682260108906043
Normalized Income,-0.15230125403522193,-0.19017644339993967,-0.2434033997526731
Normalized Income,-0.15230125403522193,-0.19017644339993967,-0.2434033997526731
Basic Average Shares,-0.07252259746082787,-0.07135368195180396,-0.0725913571966528
Basic Average Shares,-0.07252259746082787,-0.07135368195180396,-0.0725913571966528
Operating Revenue,-0.28439346963792744,-0.3153694284600821,-0.3557568153161965
Operating Revenue,-0.28439346963792744,-0.3153694284600821,-0.3557568153161965
Common Stock,-0.24443261109052963,-0.24443261109052963,-0.24443261109052963
Stockholders Equity,-0.30562137756078744,-0.3273728499188724,-0.35532727158310956
Total Assets,-0.24733932914828285,-0.2497864049759997,-0.25866772633837243
Net Income Continuous Operations,-0.1272437703293935,-0.1693932565571125,-0.21531078417317226
Net Income Continuous Operations,-0.1272437703293935,-0.1693932565571125,-0.21531078417317226
Pretax Income,-0.11664401777937532,-0.16667893843212528,-0.21508160320410802
Pretax Income,-0.11664401777937532,-0.16667893843212528,-0.21508160320410802
Diluted EPS,-0.1808424694706746,-0.20831475065366245,-0.23895691043468736
Diluted EPS,-0.1808424694706746,-0.20831475065366245,-0.23895691043468736
Common Stock Equity,-0.30679924758085797,-0.3294859868500221,-0.35864238901334955
Net Income From Continuing And Discontinued Operation,-0.1318084359297922,-0.17088046920028424,-0.21947278280859442
Net Income From Continuing And Discontinued Operation,-0.1318084359297922,-0.17088046920028424,-0.21947278280859442
Total Revenue,-0.2842466978487032,-0.3152208084817018,-0.3556057856132018
Total Revenue,-0.2842466978487032,-0.3152208084817018,-0.3556057856132018
Total Capitalization,-0.3392762019540117,-0.3477502310217428,-0.3834694588842636
Diluted Average Shares,-0.060570955051372485,-0.05751307064697419,-0.06464813425723688
Diluted Average Shares,-0.060570955051372485,-0.05751307064697419,-0.06464813425723688
Ordinary Shares Number,-0.07719075964452192,-0.07429088210676192,-0.07462807716929215
Net Income,-0.13181118728602784,-0.1708832473755016,-0.21947559433749883
Net Income,-0.13181118728602784,-0.1708832473755016,-0.21947559433749883
Capital Stock,-0.26697795903201565,-0.26697795903201565,-0.26697795903201565
Diluted NI Availto Com Stockholders,-0.12836946150733528,-0.16759769356527002,-0.21638426531244148
Diluted NI Availto Com Stockholders,-0.12836946150733528,-0.16759769356527002,-0.21638426531244148
Tangible Book Value,-0.18612343641833506,-0.20991353061668577,-0.18184756729169402
Tax Rate For Calcs,0.4230213609913569,0.19285715413462223,0.17931808314304962
Tax Rate For Calcs,0.4230213609913569,0.19285715413462223,0.17931808314304962
