,2022-12-31F,2021-12-31F,2020-12-31F
Basic EPS,-0.3563749978628427,-0.10641360087084716,-0.3478421790900236
Basic EPS,-0.3563749978628427,-0.10641360087084716,-0.3478421790900236
Net Income Common Stockholders,-0.6176346976247583,1.8908050318207694,-0.529225987409337
Net Income Common Stockholders,-0.6176346976247583,1.8908050318207694,-0.529225987409337
Total Liabilities Net Minority Interest,0.6213391260818649,0.6034407868386295,0.7200336626199009
Net Income Including Noncontrolling Interests,-0.6409883615263504,1.8653663750593772,-0.5315492852005057
Net Income Including Noncontrolling Interests,-0.6409883615263504,1.8653663750593772,-0.5315492852005057
Net Income From Continuing Operation Net Minority Interest,-0.6144107125349899,1.8889051902346896,-0.5261825890414507
Net Income From Continuing Operation Net Minority Interest,-0.6144107125349899,1.8889051902346896,-0.5261825890414507
Tax Effect Of Unusual Items,-5.9998482718230575,5.790506766672302,0.38164926388330855
Tax Effect Of Unusual Items,-5.9998482718230575,5.790506766672302,0.38164926388330855
Total Equity Gross Minority Interest,0.7727684099631617,0.9369971868032955,0.40077743532765414
Share Issued,2.0587444133002704,2.047550202397663,2.032002687255152
Invested Capital,2.4909955750283608,2.5642006773155988,2.6600827237886335
Net Tangible Assets,1.2901083259782435,1.4701581912286361,0.8481212207188946
Normalized Income,0.04812629066416667,1.2113216357571055,-0.595201508643463
Normalized Income,0.04812629066416667,1.2113216357571055,-0.595201508643463
Basic Average Shares,2.2775476535638424,2.261732914324107,2.2493561618756184
Basic Average Shares,2.2775476535638424,2.261732914324107,2.2493561618756184
Operating Revenue,2.2947315062258404,1.9096201981695566,1.7465207000946974
Operating Revenue,2.2947315062258404,1.9096201981695566,1.7465207000946974
Common Stock,-0.24003663847859105,-0.2401428213919229,-0.2401428213919229
Stockholders Equity,0.7986072354337855,0.9594571788665407,0.41600566447150716
Total Assets,0.6613719668516279,0.6657198894785221,0.7043487832948735
Net Income Continuous Operations,-0.6365928334815855,1.8748505662822947,-0.5269315625119335
Net Income Continuous Operations,-0.6365928334815855,1.8748505662822947,-0.5269315625119335
Pretax Income,-0.6903819598690643,1.4855406873383563,-0.4915815641345913
Pretax Income,-0.6903819598690643,1.4855406873383563,-0.4915815641345913
Diluted EPS,-0.36839361985453395,-0.10740694861614938,-0.35941229716009565
Diluted EPS,-0.36839361985453395,-0.10740694861614938,-0.35941229716009565
Common Stock Equity,0.8449088402280661,1.0126749881027568,0.44585621788144564
Net Income From Continuing And Discontinued Operation,-0.6188980885760259,1.8794542667423073,-0.5308449028428464
Net Income From Continuing And Discontinued Operation,-0.6188980885760259,1.8794542667423073,-0.5308449028428464
Total Revenue,2.294724393809576,1.9096360635260714,1.7465462968279046
Total Revenue,2.294724393809576,1.9096360635260714,1.7465462968279046
Total Capitalization,1.7324734124041115,1.8162677489537076,1.8869907193748774
Diluted Average Shares,2.2450738858649415,2.258664483217823,2.217213161291535
Diluted Average Shares,2.2450738858649415,2.258664483217823,2.217213161291535
Ordinary Shares Number,2.3129827215947745,2.300843699343686,2.2839839462171745
Net Income,-0.618901174269827,1.8794528959136032,-0.5308479280970805
Net Income,-0.618901174269827,1.8794528959136032,-0.5308479280970805
Capital Stock,-0.26285219742454646,-0.2629518535020216,-0.2629518535020216
Diluted NI Availto Com Stockholders,-0.6174063589409724,1.8909336928405491,-0.5290011618152254
Diluted NI Availto Com Stockholders,-0.6174063589409724,1.8909336928405491,-0.5290011618152254
Tangible Book Value,1.361841040916591,1.5500292092342296,0.8998759978264473
Tax Rate For Calcs,1.2759828334604313,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,1.2759828334604313,1.0593576975952699,1.0593576975952699
