,2022-12-31ISRG,2021-12-31ISRG,2020-12-31ISRG
Basic EPS,-0.1450622506065573,-0.09135568538940164,-0.1801973867299302
Basic EPS,-0.1450622506065573,-0.09135568538940164,-0.1801973867299302
Net Income Common Stockholders,-0.20162260011108166,-0.15347637516043275,-0.23458066202472233
Net Income Common Stockholders,-0.20162260011108166,-0.15347637516043275,-0.23458066202472233
Total Liabilities Net Minority Interest,-0.2555114919794629,-0.25658397843179337,-0.25738948686846036
Net Income Including Noncontrolling Interests,-0.20418152766141484,-0.15624571306526572,-0.23886222125508438
Net Income Including Noncontrolling Interests,-0.20418152766141484,-0.15624571306526572,-0.23886222125508438
Net Income From Continuing Operation Net Minority Interest,-0.19924837587372465,-0.15120049608514907,-0.23213911649802554
Net Income From Continuing Operation Net Minority Interest,-0.19924837587372465,-0.15120049608514907,-0.23213911649802554
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.19226456975166614,-0.16700856225557298,-0.23301317643418148
Share Issued,-0.29763698169860675,-0.2928483470347136,-0.29570908982093547
Invested Capital,-0.3568343054067434,-0.34253934543283543,-0.3786361158697426
Net Tangible Assets,0.15533014644380588,0.1874368212970595,0.11806797895471101
Normalized Income,-0.22924958878368656,-0.17994997888510506,-0.2629971899096577
Normalized Income,-0.22924958878368656,-0.17994997888510506,-0.2629971899096577
Basic Average Shares,-0.23788976211979948,-0.23761472317649973,-0.24112146970357148
Basic Average Shares,-0.23788976211979948,-0.23761472317649973,-0.24112146970357148
Operating Revenue,-0.3979051872934193,-0.4069867631294675,-0.43095779624328584
Operating Revenue,-0.3979051872934193,-0.4069867631294675,-0.43095779624328584
Common Stock,-0.244453847673196,-0.244453847673196,-0.244453847673196
Stockholders Equity,-0.18289442526908722,-0.1567048722280747,-0.22283715141543597
Total Assets,-0.25622480577989065,-0.2540300681202681,-0.2630436025946663
Net Income Continuous Operations,-0.19889914875750858,-0.15086600986360962,-0.2336502547177545
Net Income Continuous Operations,-0.19889914875750858,-0.15086600986360962,-0.2336502547177545
Pretax Income,-0.20669013386836868,-0.17702702218904073,-0.24852192240239093
Pretax Income,-0.20669013386836868,-0.17702702218904073,-0.24852192240239093
Diluted EPS,-0.14967199658997685,-0.09631237352301968,-0.18718222666674872
Diluted EPS,-0.14967199658997685,-0.09631237352301968,-0.18718222666674872
Common Stock Equity,-0.17879529814218698,-0.15147965018805884,-0.22045547630686285
Net Income From Continuing And Discontinued Operation,-0.20455893126489777,-0.1566063202879825,-0.23738445648765144
Net Income From Continuing And Discontinued Operation,-0.20455893126489777,-0.1566063202879825,-0.23738445648765144
Total Revenue,-0.39775164279614544,-0.406832676777458,-0.4308022796529513
Total Revenue,-0.39775164279614544,-0.406832676777458,-0.4308022796529513
Total Capitalization,-0.3487133843154163,-0.3339358609239112,-0.3712511713873767
Diluted Average Shares,-0.23656919077118546,-0.233986977274138,-0.23731667362559392
Diluted Average Shares,-0.23656919077118546,-0.233986977274138,-0.23731667362559392
Ordinary Shares Number,-0.24228146225932348,-0.23708865829635792,-0.24019085287163605
Net Income,-0.20456173255695811,-0.15660908866544665,-0.2373872803111003
Net Income,-0.20456173255695811,-0.15660908866544665,-0.2373872803111003
Capital Stock,-0.26699789024751064,-0.26699789024751064,-0.26699789024751064
Diluted NI Availto Com Stockholders,-0.20141079246592963,-0.15326648069787685,-0.23436754472776436
Diluted NI Availto Com Stockholders,-0.20141079246592963,-0.15326648069787685,-0.23436754472776436
Tangible Book Value,0.17577057784555794,0.20932848316807032,0.13682415021249122
Tax Rate For Calcs,-0.38517994277957873,-1.4344579446264565,-1.0235471400322276
Tax Rate For Calcs,-0.38517994277957873,-1.4344579446264565,-1.0235471400322276
