,2023-09-30J,2022-09-30J,2021-09-30J,2020-09-30J
Basic EPS,-0.06475336803884789,-0.08031321403634162,-0.17015877640896648,-0.14405838957446093
Basic EPS,-0.06475336803884789,-0.08031321403634162,-0.17015877640896648,-0.14405838957446093
Net Income Common Stockholders,-0.28430401272754746,-0.2870416602242182,-0.30807449538713455,-0.30620871897425495
Net Income Common Stockholders,-0.28430401272754746,-0.2870416602242182,-0.30807449538713455,-0.30620871897425495
Total Liabilities Net Minority Interest,-0.23254536107217297,-0.23030200967971526,-0.22998369453627346,-0.23622717088375975
Net Income Including Noncontrolling Interests,-0.28223107823232074,-0.28276128307241993,-0.31831436601538554,-0.3066910865825043
Net Income Including Noncontrolling Interests,-0.28223107823232074,-0.28276128307241993,-0.31831436601538554,-0.3066910865825043
Net Income From Continuing Operation Net Minority Interest,-0.2816550770708291,-0.28448893423398053,-0.3067406451120541,-0.32096284266569
Net Income From Continuing Operation Net Minority Interest,-0.2816550770708291,-0.28448893423398053,-0.3067406451120541,-0.32096284266569
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.3090623597926553,-0.3239994111112441,-0.3271411332023811,-0.3505303216344407
Share Issued,-0.4369570223332323,-0.4360761747533304,-0.4351438449974873,-0.43461196885776626
Invested Capital,-0.38380005369765413,-0.38302464528919977,-0.39357777637226526,-0.41588498487894165
Net Tangible Assets,-0.25589968553909204,-0.27123326706133055,-0.2816078174076694,-0.20173357551806578
Normalized Income,-0.3138031266280805,-0.31671081065631285,-0.3395422169679371,-0.35413492728897655
Normalized Income,-0.3138031266280805,-0.31671081065631285,-0.3395422169679371,-0.35413492728897655
Basic Average Shares,-0.3954135037132206,-0.3939984283499434,-0.39294709198918015,-0.3920208983476183
Basic Average Shares,-0.3954135037132206,-0.3939984283499434,-0.39294709198918015,-0.3920208983476183
Operating Revenue,-0.2182560822819034,-0.24360839807546,-0.2583310317174369,-0.2676530272441887
Operating Revenue,-0.2182560822819034,-0.24360839807546,-0.2583310317174369,-0.2676530272441887
Common Stock,-0.23111971596572228,-0.23096936096044438,-0.2308100865904466,-0.23071930019954787
Stockholders Equity,-0.3199287011250222,-0.33474762322072843,-0.3384058392451897,-0.3421955516986767
Total Assets,-0.2500179328002612,-0.24985432851792339,-0.24995938127922132,-0.2585655331578117
Net Income Continuous Operations,-0.27700175866676413,-0.2776344391045274,-0.31451655398682393,-0.31889023604748346
Net Income Continuous Operations,-0.27700175866676413,-0.2776344391045274,-0.31451655398682393,-0.31889023604748346
Pretax Income,-0.27889872750240563,-0.28311873674491234,-0.3020304091275583,-0.3286486311667447
Pretax Income,-0.27889872750240563,-0.28311873674491234,-0.3020304091275583,-0.3286486311667447
Diluted EPS,-0.06250033514395772,-0.07940635433348868,-0.1734460860752548,-0.1465021179919398
Diluted EPS,-0.06250033514395772,-0.07940635433348868,-0.1734460860752548,-0.1465021179919398
Common Stock Equity,-0.32172175553792115,-0.3371778596719653,-0.34099337118175893,-0.3449460331865178
Net Income From Continuing And Discontinued Operation,-0.2869078510043625,-0.28963448939676684,-0.3105827436647335,-0.30872447023647553
Net Income From Continuing And Discontinued Operation,-0.2869078510043625,-0.28963448939676684,-0.3105827436647335,-0.30872447023647553
Total Revenue,-0.2181132565982001,-0.24346405973881832,-0.2581858149507843,-0.267507254278093
Total Revenue,-0.2181132565982001,-0.24346405973881832,-0.2581858149507843,-0.267507254278093
Total Capitalization,-0.37764597608322414,-0.37665494294153196,-0.3876166249751622,-0.40975747249596733
Diluted Average Shares,-0.396113290275865,-0.3945972591411511,-0.3940339288808742,-0.39237111929474916
Diluted Average Shares,-0.396113290275865,-0.3945972591411511,-0.3940339288808742,-0.39237111929474916
Ordinary Shares Number,-0.39336036259452406,-0.3924051699091909,-0.391394149860525,-0.3908173824267979
Net Income,-0.28691070882059083,-0.28963734908455546,-0.3105856177313706,-0.3087273430275968
Net Income,-0.28691070882059083,-0.28963734908455546,-0.3105856177313706,-0.3087273430275968
Capital Stock,-0.25448337900642,-0.25434226600071524,-0.2541927818845026,-0.2541075759382614
Diluted NI Availto Com Stockholders,-0.28408891957787663,-0.28682645828887304,-0.3078584576717418,-0.3059927553990667
Diluted NI Availto Com Stockholders,-0.28408891957787663,-0.28682645828887304,-0.3078584576717418,-0.3059927553990667
Tangible Book Value,-0.2540469548185666,-0.2700736184120455,-0.2809171012665398,-0.1974325218359438
Tax Rate For Calcs,0.3011697220672032,-0.10500240767997518,2.7517415715418467,-0.9038075961827594
Tax Rate For Calcs,0.3011697220672032,-0.10500240767997518,2.7517415715418467,-0.9038075961827594
