,2022-12-31AON,2021-12-31AON,2020-12-31AON
Basic EPS,0.2820806185504471,-0.05120124410554695,0.09435860554842636
Basic EPS,0.2820806185504471,-0.05120124410554695,0.09435860554842636
Net Income Common Stockholders,-0.0420965128890388,-0.2100982499650672,-0.12017827974596354
Net Income Common Stockholders,-0.0420965128890388,-0.2100982499650672,-0.12017827974596354
Total Liabilities Net Minority Interest,-0.12546741542770604,-0.1353397800567583,-0.14460499841965993
Net Income Including Noncontrolling Interests,-0.04157205078273958,-0.20872899612974904,-0.120028374906747
Net Income Including Noncontrolling Interests,-0.04157205078273958,-0.20872899612974904,-0.120028374906747
Net Income From Continuing Operation Net Minority Interest,-0.04004814221380131,-0.20770671306904545,-0.11797041652433457
Net Income From Continuing Operation Net Minority Interest,-0.04004814221380131,-0.20770671306904545,-0.11797041652433457
Tax Effect Of Unusual Items,0.155983205726852,0.2475420861773528,0.133919877460261
Tax Effect Of Unusual Items,0.155983205726852,0.2475420861773528,0.133919877460261
Total Equity Gross Minority Interest,-0.5397371363470994,-0.49195875525722,-0.41895146216146845
Share Issued,-0.387563809282887,-0.38171794358930305,-0.3750636071083086
Invested Capital,-0.3701592977753454,-0.3666321428469603,-0.3538046124234466
Net Tangible Assets,-0.5015191942601699,-0.4536491997658928,-0.38356725486835513
Normalized Income,-0.07065675424967481,-0.24866651675135412,-0.14543225672770743
Normalized Income,-0.07065675424967481,-0.24866651675135412,-0.14543225672770743
Basic Average Shares,-0.33690378170770763,-0.3279650160504659,-0.32301431507107053
Basic Average Shares,-0.33690378170770763,-0.3279650160504659,-0.32301431507107053
Operating Revenue,-0.28694716407337156,-0.2920190849659898,-0.31200529072116717
Operating Revenue,-0.28694716407337156,-0.2920190849659898,-0.31200529072116717
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.5355907698713359,-0.48712546571024434,-0.4129339246233908
Total Assets,-0.18169438577239877,-0.18466729203422827,-0.1839231210893993
Net Income Continuous Operations,-0.03595952513410779,-0.20345584997131605,-0.11457513948221451
Net Income Continuous Operations,-0.03595952513410779,-0.20345584997131605,-0.11457513948221451
Pretax Income,-0.04459456909371318,-0.17276850844883387,-0.11679050228149546
Pretax Income,-0.04459456909371318,-0.17276850844883387,-0.11679050228149546
Diluted EPS,0.2988658250322671,-0.04929250765213664,0.10391829125298786
Diluted EPS,0.2988658250322671,-0.04929250765213664,0.10391829125298786
Common Stock Equity,-0.5466568331892323,-0.4961076243355733,-0.41872600524764514
Net Income From Continuing And Discontinued Operation,-0.04567435809079733,-0.2130004973615402,-0.12344212896625503
Net Income From Continuing And Discontinued Operation,-0.04567435809079733,-0.2130004973615402,-0.12344212896625503
Total Revenue,-0.2868002399172621,-0.29187185819231654,-0.31185687146499613
Total Revenue,-0.2868002399172621,-0.29187185819231654,-0.31185687146499613
Total Capitalization,-0.37874140816228413,-0.37886180232399336,-0.35328664254376974
Diluted Average Shares,-0.3376832350766224,-0.32891729978401396,-0.3241605907105055
Diluted Average Shares,-0.3376832350766224,-0.32891729978401396,-0.3241605907105055
Ordinary Shares Number,-0.3397982743430666,-0.3334590071674982,-0.32624303282935124
Net Income,-0.04567705032473847,-0.21300330444787813,-0.12344487457987086
Net Income,-0.04567705032473847,-0.21300330444787813,-0.12344487457987086
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.04189104431894433,-0.20988610552371137,-0.11996970844709692
Diluted NI Availto Com Stockholders,-0.04189104431894433,-0.20988610552371137,-0.11996970844709692
Tangible Book Value,-0.5107685323938496,-0.46073480107877535,-0.3874851331378185
Tax Rate For Calcs,-0.4028619694945726,1.7769284601486184,-0.13208054966312044
Tax Rate For Calcs,-0.4028619694945726,1.7769284601486184,-0.13208054966312044
