,2023-06-30RMD,2022-06-30RMD,2021-06-30RMD,2020-06-30RMD
Basic EPS,-0.024598926754993197,-0.06374950700675154,-0.16764912382872557,-0.11544835015971448
Basic EPS,-0.024598926754993197,-0.06374950700675154,-0.16764912382872557,-0.11544835015971448
Net Income Common Stockholders,-0.25511415169475526,-0.2699898617260022,-0.30839248967957605,-0.28985827105608125
Net Income Common Stockholders,-0.25511415169475526,-0.2699898617260022,-0.30839248967957605,-0.28985827105608125
Total Liabilities Net Minority Interest,-0.25234932035951574,-0.25603670676797174,-0.25559031287212464,-0.2545593993048812
Net Income Including Noncontrolling Interests,-0.2600059507455995,-0.2747626108557964,-0.3128579035751942,-0.2944720138219999
Net Income Including Noncontrolling Interests,-0.2600059507455995,-0.2747626108557964,-0.3128579035751942,-0.2944720138219999
Net Income From Continuing Operation Net Minority Interest,-0.2526306637442942,-0.2674759881302392,-0.305800173533561,-0.28730381355290474
Net Income From Continuing Operation Net Minority Interest,-0.2526306637442942,-0.2674759881302392,-0.305800173533561,-0.28730381355290474
Tax Effect Of Unusual Items,0.13601691873657712,0.1349802652819209,0.1293878238124656,0.1362205394839886
Tax Effect Of Unusual Items,0.13601691873657712,0.1349802652819209,0.1293878238124656,0.1362205394839886
Total Equity Gross Minority Interest,-0.4024863456188104,-0.4256425128349685,-0.4399450780908798,-0.4516458741635602
Share Issued,-0.3978248067088907,-0.3982312983579934,-0.39870541236945706,-0.3991787925382059
Invested Capital,-0.4478558824758936,-0.471731510299074,-0.4816302044052148,-0.47943210474637776
Net Tangible Assets,-0.1577538454801311,-0.1485039158668827,-0.1660131084574983,-0.1798882758352868
Normalized Income,-0.28403319224733264,-0.2990594653633849,-0.3377607911033651,-0.31966463651252397
Normalized Income,-0.28403319224733264,-0.2990594653633849,-0.3377607911033651,-0.31966463651252397
Basic Average Shares,-0.38155291616563,-0.38203354671904627,-0.38255130752980804,-0.3832217149541012
Basic Average Shares,-0.38155291616563,-0.38203354671904627,-0.38255130752980804,-0.3832217149541012
Operating Revenue,-0.4333591025100927,-0.4447951491476421,-0.4515571546728068,-0.45580997807525636
Operating Revenue,-0.4333591025100927,-0.4447951491476421,-0.4515571546728068,-0.45580997807525636
Common Stock,-0.24443388528548962,-0.24443409765131627,-0.24443441620005626,-0.24443473474879626
Stockholders Equity,-0.39358124097069297,-0.41702601180472565,-0.4315068350615924,-0.44335346235267203
Total Assets,-0.2797296226156361,-0.28598464383314776,-0.28737374278340194,-0.2879054245921011
Net Income Continuous Operations,-0.2548369124163707,-0.26962353303927517,-0.30779617080105365,-0.28937295209405284
Net Income Continuous Operations,-0.2548369124163707,-0.26962353303927517,-0.30779617080105365,-0.28937295209405284
Pretax Income,-0.2595434163419101,-0.274315436694641,-0.2823533552213346,-0.29810818195150435
Pretax Income,-0.2595434163419101,-0.274315436694641,-0.2823533552213346,-0.29810818195150435
Diluted EPS,-0.020763600269803107,-0.06250033514395772,-0.1713328336765634,-0.1169165844102606
Diluted EPS,-0.020763600269803107,-0.06250033514395772,-0.1713328336765634,-0.1169165844102606
Common Stock Equity,-0.39854119748109507,-0.4229940434485224,-0.4380975112148906,-0.45045351820821905
Net Income From Continuing And Discontinued Operation,-0.2578353733176807,-0.27265126255645195,-0.3108994591832182,-0.2924397735832662
Net Income From Continuing And Discontinued Operation,-0.2578353733176807,-0.27265126255645195,-0.3108994591832182,-0.2924397735832662
Total Revenue,-0.43320344264515515,-0.4446388069478169,-0.4514004090160505,-0.4556529786726147
Total Revenue,-0.43320344264515515,-0.4446388069478169,-0.4514004090160505,-0.4556529786726147
Total Capitalization,-0.44297793673137986,-0.4676597890308873,-0.4779284822697194,-0.47565595647162867
Diluted Average Shares,-0.3823589262248815,-0.3826388925303508,-0.3830411742119961,-0.38358411857624375
Diluted Average Shares,-0.3823589262248815,-0.3826388925303508,-0.3830411742119961,-0.38358411857624375
Ordinary Shares Number,-0.37913926131644016,-0.37958006158510316,-0.38009419166401465,-0.3806075259625785
Net Income,-0.25783821117860645,-0.2726541105869806,-0.3109023334672484,-0.29244263519659747
Net Income,-0.25783821117860645,-0.2726541105869806,-0.3109023334672484,-0.29244263519659747
Capital Stock,-0.26697915490494534,-0.2669793542171003,-0.26697965318533273,-0.2669799521535651
Diluted NI Availto Com Stockholders,-0.25490021846020067,-0.2697753373765769,-0.30817643932807015,-0.28964295719730226
Diluted NI Availto Com Stockholders,-0.25490021846020067,-0.2697753373765769,-0.30817643932807015,-0.28964295719730226
Tangible Book Value,-0.15146489599277413,-0.1417968670355544,-0.16009747991169507,-0.1745998086432128
Tax Rate For Calcs,-0.09146333668840255,-0.05084612371368467,1.0593576975952699,-0.5385369999011218
Tax Rate For Calcs,-0.09146333668840255,-0.05084612371368467,1.0593576975952699,-0.5385369999011218
