,2022-12-31DPZ,2021-12-31DPZ,2020-12-31DPZ
Basic EPS,0.30948677762245197,0.3728855709114465,0.29410039881130456
Basic EPS,0.30948677762245197,0.3728855709114465,0.29410039881130456
Net Income Common Stockholders,-0.3111936100964014,-0.3038634953252071,-0.3062778591194234
Net Income Common Stockholders,-0.3111936100964014,-0.3038634953252071,-0.3062778591194234
Total Liabilities Net Minority Interest,-0.2391689192993417,-0.23879437658970384,-0.2430102131277308
Net Income Including Noncontrolling Interests,-0.31563660669807025,-0.30836515464502295,-0.31076019634849644
Net Income Including Noncontrolling Interests,-0.31563660669807025,-0.30836515464502295,-0.31076019634849644
Net Income From Continuing Operation Net Minority Interest,-0.3085955722839076,-0.3012804302613749,-0.30368986239170914
Net Income From Continuing Operation Net Minority Interest,-0.3085955722839076,-0.3012804302613749,-0.30368986239170914
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.6529380301673373,-0.6535543321454664,-0.6261839431230196
Share Issued,-0.4932746496158145,-0.49282777982608544,-0.49112994328617665
Invested Capital,-0.5279168089675638,-0.5274944987149827,-0.5279343781921128
Net Tangible Assets,-0.3323256159578731,-0.3326990906262511,-0.30119442445643085
Normalized Income,-0.34144546819078087,-0.33393975410619536,-0.3364119560977353
Normalized Income,-0.34144546819078087,-0.33393975410619536,-0.3364119560977353
Basic Average Shares,-0.4581136379223602,-0.45761956140260335,-0.455742367669586
Basic Average Shares,-0.4581136379223602,-0.45761956140260335,-0.455742367669586
Operating Revenue,-0.42778770381348635,-0.4309760090501275,-0.4352314925509473
Operating Revenue,-0.42778770381348635,-0.4309760090501275,-0.4352314925509473
Common Stock,-0.24445873208720928,-0.24445798880681593,-0.24445501568524267
Stockholders Equity,-0.6471543946979812,-0.6477783778687244,-0.6200668618704367
Total Assets,-0.29918189980433957,-0.29891900347487066,-0.2993143131247918
Net Income Continuous Operations,-0.31058051553724886,-0.303294300222731,-0.30569420459003604
Net Income Continuous Operations,-0.31058051553724886,-0.303294300222731,-0.30569420459003604
Pretax Income,-0.31487594901383487,-0.30934385715948065,-0.316728245543144
Pretax Income,-0.31487594901383487,-0.30934385715948065,-0.316728245543144
Diluted EPS,0.3194700359195079,0.3728296589864651,0.3120736525240882
Diluted EPS,0.3194700359195079,0.3728296589864651,0.3120736525240882
Common Stock Equity,-0.663017455895501,-0.663668269011503,-0.6347652169395936
Net Income From Continuing And Discontinued Operation,-0.313689315247431,-0.3063886776086646,-0.3087933323432669
Net Income From Continuing And Discontinued Operation,-0.313689315247431,-0.3063886776086646,-0.3087933323432669
Total Revenue,-0.42763237636759405,-0.43082049137312084,-0.4350757209693397
Total Revenue,-0.42763237636759405,-0.43082049137312084,-0.4350757209693397
Total Capitalization,-0.526513959007446,-0.5260907219315403,-0.5256384870618287
Diluted Average Shares,-0.4580322189799397,-0.4569466041019811,-0.4556219013968011
Diluted Average Shares,-0.4580322189799397,-0.4569466041019811,-0.4556219013968011
Ordinary Shares Number,-0.4544312979788595,-0.4539467115825467,-0.452105574613092
Net Income,-0.31369219144641397,-0.3063915487965015,-0.30879620518165496
Net Income,-0.31369219144641397,-0.3063915487965015,-0.30879620518165496
Capital Stock,-0.26700247442707453,-0.2670017768345322,-0.2669989864643629
Diluted NI Availto Com Stockholders,-0.31097744843700303,-0.30364762494197883,-0.3060618927968189
Diluted NI Availto Com Stockholders,-0.31097744843700303,-0.30364762494197883,-0.3060618927968189
Tangible Book Value,-0.33392735815838714,-0.3343177139837434,-0.30138902830151837
Tax Rate For Calcs,0.24701343810091272,-0.10500240767997518,-1.039347235879393
Tax Rate For Calcs,0.24701343810091272,-0.10500240767997518,-1.039347235879393
