,2023-08-31FDS,2022-08-31FDS,2021-08-31FDS,2020-08-31FDS
Basic EPS,0.28358641009859165,0.19424277824201494,0.20142224176441334,0.1604302792214806
Basic EPS,0.28358641009859165,0.19424277824201494,0.20142224176441334,0.1604302792214806
Net Income Common Stockholders,-0.3091899312081858,-0.318163793110052,-0.3178271599442317,-0.32118366841241036
Net Income Common Stockholders,-0.3091899312081858,-0.318163793110052,-0.3178271599442317,-0.32118366841241036
Total Liabilities Net Minority Interest,-0.2535087742766682,-0.2520952670739563,-0.2582262383866177,-0.2583159546437816
Net Income Including Noncontrolling Interests,-0.3136489631999605,-0.3225510075180819,-0.3222170684187452,-0.3255467148368233
Net Income Including Noncontrolling Interests,-0.3136489631999605,-0.3225510075180819,-0.3222170684187452,-0.3255467148368233
Net Income From Continuing Operation Net Minority Interest,-0.3065959861802292,-0.31555151775808626,-0.31521557221093777,-0.3185652245575899
Net Income From Continuing Operation Net Minority Interest,-0.3065959861802292,-0.31555151775808626,-0.31521557221093777,-0.3185652245575899
Tax Effect Of Unusual Items,0.12153647498667317,0.11701132455436647,0.1359644425032954,0.13007929683340722
Tax Effect Of Unusual Items,0.12153647498667317,0.11701132455436647,0.1359644425032954,0.13007929683340722
Total Equity Gross Minority Interest,-0.4780518443707373,-0.4867381166258187,-0.4962231940387185,-0.49983526373399356
Share Issued,-0.4891222752426074,-0.48939803219018096,-0.4897027796563899,-0.48994873139553474
Invested Capital,-0.48676121657462035,-0.48541021641190935,-0.51407573726536,-0.5160748854212083
Net Tangible Assets,-0.22774267760862035,-0.23751255793184617,-0.18095871442207864,-0.18305997857812287
Normalized Income,-0.3367103983723499,-0.34116467576970433,-0.3482379305297502,-0.3498173105251279
Normalized Income,-0.3367103983723499,-0.34116467576970433,-0.3482379305297502,-0.3498173105251279
Basic Average Shares,-0.45620604894812145,-0.45643295607634377,-0.45660387971525473,-0.4563186416403401
Basic Average Shares,-0.45620604894812145,-0.45643295607634377,-0.45660387971525473,-0.4563186416403401
Operating Revenue,-0.47126523827637956,-0.47555005379522863,-0.48002694615039926,-0.48175306624886816
Operating Revenue,-0.47126523827637956,-0.47555005379522863,-0.48002694615039926,-0.48175306624886816
Common Stock,-0.24445161783201605,-0.24445204256366937,-0.244452573478236,-0.24445299820988936
Stockholders Equity,-0.47008853963806885,-0.4788830720199346,-0.4884863653548231,-0.49214345357031963
Total Assets,-0.29026431049657947,-0.2900702103155737,-0.29682956789270015,-0.29736428304794094
Net Income Continuous Operations,-0.3085888365176973,-0.31750895469602325,-0.31717433759864666,-0.3205107442126685
Net Income Continuous Operations,-0.3085888365176973,-0.31750895469602325,-0.31717433759864666,-0.3205107442126685
Pretax Income,-0.3137123389080648,-0.32839845656348093,-0.3258848871388866,-0.33012069578126485
Pretax Income,-0.3137123389080648,-0.32839845656348093,-0.3258848871388866,-0.33012069578126485
Diluted EPS,0.2935826940355386,0.1990146491940997,0.20482609329050094,0.16731586321372913
Diluted EPS,0.2935826940355386,0.1990146491940997,0.20482609329050094,0.16731586321372913
Common Stock Equity,-0.4783381467855258,-0.4875108252992839,-0.497527039761793,-0.5013413749692422
Net Income From Continuing And Discontinued Operation,-0.31169369390125595,-0.32063146854883917,-0.32029618911085517,-0.3236391998033918
Net Income From Continuing And Discontinued Operation,-0.31169369390125595,-0.32063146854883917,-0.32029618911085517,-0.3236391998033918
Total Revenue,-0.4711073167313605,-0.47539187659550586,-0.47986850183565505,-0.4815945189446905
Total Revenue,-0.4711073167313605,-0.47539187659550586,-0.47986850183565505,-0.4815945189446905
Total Capitalization,-0.48302631505980564,-0.48162970838564717,-0.5112629081787726,-0.5133295427611747
Diluted Average Shares,-0.4561266500667183,-0.45623673390527664,-0.45634953586330557,-0.4562978915933646
Diluted Average Shares,-0.4561266500667183,-0.45623673390527664,-0.45634953586330557,-0.4562978915933646
Ordinary Shares Number,-0.4526740706519352,-0.45266099827375106,-0.45295053890687414,-0.4526707796281249
Net Income,-0.31169656873044754,-0.32063434951290515,-0.32029906984478584,-0.3236420828319597
Net Income,-0.31169656873044754,-0.32063434951290515,-0.32029906984478584,-0.3236420828319597
Capital Stock,-0.26699579746988367,-0.26699619609419356,-0.26699669437458096,-0.26699709299889085
Diluted NI Availto Com Stockholders,-0.30897384916881127,-0.3179473544770623,-0.31761073468800655,-0.3209671097788832
Diluted NI Availto Com Stockholders,-0.30897384916881127,-0.3179473544770623,-0.31761073468800655,-0.3209671097788832
Tangible Book Value,-0.22461724244209963,-0.2348287240233467,-0.17571863134638305,-0.17791487321597596
Tax Rate For Calcs,0.0845445862020416,-1.1745890160142116,-0.6265815785593186,-0.8767294541996141
Tax Rate For Calcs,0.0845445862020416,-1.1745890160142116,-0.6265815785593186,-0.8767294541996141
