,2022-12-31GEHC,2021-12-31GEHC,2020-12-31GEHC
Basic EPS,-0.0993865736461726,-0.08374586664254353,1.1966069029603719
Basic EPS,-0.0993865736461726,-0.08374586664254353,1.1966069029603719
Net Income Common Stockholders,-0.1268530114288942,-0.08516742299398761,1.3755913088987062
Net Income Common Stockholders,-0.1268530114288942,-0.08516742299398761,1.3755913088987062
Total Liabilities Net Minority Interest,-0.18861894417951214,-0.2241120495329077,-0.22384174468838855
Net Income Including Noncontrolling Interests,-0.12639982798051194,-0.08567250048938707,1.3640204694707756
Net Income Including Noncontrolling Interests,-0.12639982798051194,-0.08567250048938707,1.3640204694707756
Net Income From Continuing Operation Net Minority Interest,-0.1268937737437666,-0.08529333374894965,-0.11319453519562446
Net Income From Continuing Operation Net Minority Interest,-0.1268937737437666,-0.08529333374894965,-0.11319453519562446
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.23804390578523305,-0.018148949590854054,-0.08272653461781776
Share Issued,-0.23295931870576347,-0.23251776678811376,-0.23251776678811376
Invested Capital,-0.24762393906045735,-0.2628306353083063,-0.2949410551752084
Net Tangible Assets,-0.3550772724002714,-0.11992402788526198,-0.14244305594386705
Normalized Income,-0.15501002451841486,-0.11232582133654073,-0.14095389718661944
Normalized Income,-0.15501002451841486,-0.11232582133654073,-0.14095389718661944
Basic Average Shares,-0.19792461375159176,-0.1698107449291407,-0.1698107449291407
Basic Average Shares,-0.19792461375159176,-0.1698107449291407,-0.1698107449291407
Operating Revenue,-0.18299051976383318,-0.19639741554991488,-0.203863424975762
Operating Revenue,-0.18299051976383318,-0.19639741554991488,-0.203863424975762
Common Stock,0.9484687104448065,1.634091781828562,1.408346908085049
Stockholders Equity,-0.23425240701815853,-0.011799709051084965,-0.07056770051183008
Total Assets,-0.2012052635898694,-0.20585538761567895,-0.2137126239874774
Net Income Continuous Operations,-0.12321284233256381,-0.08240282596714536,-0.10956777551099753
Net Income Continuous Operations,-0.12321284233256381,-0.08240282596714536,-0.10956777551099753
Pretax Income,-0.11197744006897663,-0.07399610130496943,-0.09126034619769997
Pretax Income,-0.11197744006897663,-0.07399610130496943,-0.09126034619769997
Diluted EPS,-0.09789731282203822,-0.08143449549182279,1.2662164616751073
Diluted EPS,-0.09789731282203822,-0.08143449549182279,1.2662164616751073
Common Stock Equity,-0.2323615635494385,-0.0003438741066694363,-0.06163876383613761
Net Income From Continuing And Discontinued Operation,-0.1300900190572216,-0.08857206396080787,1.366312410852795
Net Income From Continuing And Discontinued Operation,-0.1300900190572216,-0.08857206396080787,1.366312410852795
Total Revenue,-0.18284979820967767,-0.1962558940696118,-0.2037214580339402
Total Revenue,-0.18284979820967767,-0.1962558940696118,-0.2037214580339402
Total Capitalization,-0.2360743265368941,-0.2516395717292965,-0.2847995636971991
Diluted Average Shares,-0.201353986470433,-0.17356997402378466,-0.17356997402378466
Diluted Average Shares,-0.201353986470433,-0.17356997402378466,-0.17356997402378466
Ordinary Shares Number,-0.17214488925303523,-0.17166606956668182,-0.17166606956668182
Net Income,-0.13009276923393862,-0.08857478563966634,1.3663106878043345
Net Income,-0.13009276923393862,-0.08857478563966634,1.3663106878043345
Capital Stock,0.8525982777542488,1.49607757001097,1.2842087492989072
Diluted NI Availto Com Stockholders,-0.12664417489676158,-0.08496024291866722,1.375740442923981
Diluted NI Availto Com Stockholders,-0.12664417489676158,-0.08496024291866722,1.375740442923981
Tangible Book Value,-0.3577073956837294,-0.11192516031417009,-0.13546205458925847
Tax Rate For Calcs,0.4365604319829295,0.2334743671093401,0.6667246388396638
Tax Rate For Calcs,0.4365604319829295,0.2334743671093401,0.6667246388396638
