,2022-12-31GPN,2021-12-31GPN,2020-12-31GPN
Basic EPS,-0.31120125141850613,-0.16614333228058104,-0.23390395194708583
Basic EPS,-0.31120125141850613,-0.16614333228058104,-0.23390395194708583
Net Income Common Stockholders,-0.35410961605097274,-0.24656243508725106,-0.2945373839041493
Net Income Common Stockholders,-0.35410961605097274,-0.24656243508725106,-0.2945373839041493
Total Liabilities Net Minority Interest,-0.17064656636009487,-0.18253377498312054,-0.19374433572666558
Net Income Including Noncontrolling Interests,-0.35423386997531886,-0.24872373144784338,-0.29654261114052105
Net Income Including Noncontrolling Interests,-0.35423386997531886,-0.24872373144784338,-0.29654261114052105
Net Income From Continuing Operation Net Minority Interest,-0.3514239165045534,-0.24409641517206446,-0.29197336868150725
Net Income From Continuing Operation Net Minority Interest,-0.3514239165045534,-0.24409641517206446,-0.29197336868150725
Tax Effect Of Unusual Items,-0.4727865159304865,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,-0.4727865159304865,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,0.15177620247676313,0.25200564215735183,0.30070608277945543
Share Issued,-0.3516914181481531,-0.3382157151214851,-0.3297690567415579
Invested Capital,0.06687840719649828,0.08512181746245435,0.07479182884117896
Net Tangible Assets,-0.5495462760350256,-0.5544314720946847,-0.47719059169835853
Normalized Income,-0.28023767356903495,-0.27526599683027253,-0.32439022752544816
Normalized Income,-0.28023767356903495,-0.27526599683027253,-0.32439022752544816
Basic Average Shares,-0.2932475378350974,-0.2812393375706305,-0.27672388571900697
Basic Average Shares,-0.2932475378350974,-0.2812393375706305,-0.27672388571900697
Operating Revenue,-0.3490779289981077,-0.3570893117918243,-0.3766003175741395
Operating Revenue,-0.3490779289981077,-0.3570893117918243,-0.3766003175741395
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,0.1603742289022177,0.2617153323096772,0.31366065867879883
Total Assets,-0.1359674837137789,-0.13418941001042836,-0.13826220848375007
Net Income Continuous Operations,-0.34925614300993607,-0.24353178677855408,-0.2914477533555266
Net Income Continuous Operations,-0.34925614300993607,-0.24353178677855408,-0.2914477533555266
Pretax Income,-0.35134127781268587,-0.2655198793966245,-0.31266581177220365
Pretax Income,-0.35134127781268587,-0.2655198793966245,-0.31266581177220365
Diluted EPS,-0.32137375398365087,-0.1686912681781992,-0.2394852235343602
Diluted EPS,-0.32137375398365087,-0.1686912681781992,-0.2394852235343602
Common Stock Equity,0.17923317589656673,0.2849317305693438,0.33911059516238223
Net Income From Continuing And Discontinued Operation,-0.3564327398945757,-0.24931804636037894,-0.29710006996892224
Net Income From Continuing And Discontinued Operation,-0.3564327398945757,-0.24931804636037894,-0.29710006996892224
Total Revenue,-0.34892729779271353,-0.35693820258505854,-0.3764480442378138
Total Revenue,-0.34892729779271353,-0.35693820258505854,-0.3764480442378138
Total Capitalization,0.056341662093943874,0.0984840216786457,0.07708425182065849
Diluted Average Shares,-0.2952968800524562,-0.28300214615717206,-0.27834940515341317
Diluted Average Shares,-0.2952968800524562,-0.28300214615717206,-0.27834940515341317
Ordinary Shares Number,-0.3008981894712649,-0.28628511309518223,-0.27712554169588016
Net Income,-0.3564356454325776,-0.24932087837502495,-0.2971029347810736
Net Income,-0.3564356454325776,-0.24932087837502495,-0.2971029347810736
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.353891749041762,-0.24634884167155863,-0.29432188411184645
Diluted NI Availto Com Stockholders,-0.353891749041762,-0.24634884167155863,-0.29432188411184645
Tangible Book Value,-0.5609664513774731,-0.5660724596328043,-0.4853402703539528
Tax Rate For Calcs,0.24701343810091272,-0.4028619694945726,-0.8361122412248962
Tax Rate For Calcs,0.24701343810091272,-0.4028619694945726,-0.8361122412248962
