,2022-12-31XRAY,2021-12-31XRAY,2020-12-31XRAY
Basic EPS,-0.5531317601537308,-0.23741746555942314,-0.34834410960607176
Basic EPS,-0.5531317601537308,-0.23741746555942314,-0.34834410960607176
Net Income Common Stockholders,-0.48779227564171085,-0.316390203557397,-0.3773443570392544
Net Income Common Stockholders,-0.48779227564171085,-0.316390203557397,-0.3773443570392544
Total Liabilities Net Minority Interest,-0.2473208393369265,-0.24561168101235176,-0.24489225427232392
Net Income Including Noncontrolling Interests,-0.4908219577093808,-0.3207916119565558,-0.3812579509311093
Net Income Including Noncontrolling Interests,-0.4908219577093808,-0.3207916119565558,-0.3812579509311093
Net Income From Continuing Operation Net Minority Interest,-0.48483351122182905,-0.3137815510014488,-0.37461119739870374
Net Income From Continuing Operation Net Minority Interest,-0.48483351122182905,-0.3137815510014488,-0.37461119739870374
Tax Effect Of Unusual Items,-0.22882190957040321,0.12836472683509334,-0.03161687084541731
Tax Effect Of Unusual Items,-0.22882190957040321,0.12836472683509334,-0.03161687084541731
Total Equity Gross Minority Interest,-0.41205716520520985,-0.37638143641409005,-0.3782480146293216
Share Issued,-0.3507472934254223,-0.35080948348599233,-0.35080948348599233
Invested Capital,-0.4447952270618339,-0.4225674960037089,-0.42060426826055114
Net Tangible Assets,-0.21191084553071546,-0.2296189903222549,-0.23845600284828328
Normalized Income,-0.3698351056974055,-0.3456969953651108,-0.3883765561563065
Normalized Income,-0.3698351056974055,-0.3456969953651108,-0.3883765561563065
Basic Average Shares,-0.33429091174636005,-0.3322968794074369,-0.3317468015208374
Basic Average Shares,-0.33429091174636005,-0.3322968794074369,-0.3317468015208374
Operating Revenue,-0.43869690910181236,-0.4332171064590885,-0.4490358247675341
Operating Revenue,-0.43869690910181236,-0.4332171064590885,-0.4490358247675341
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.40330182643791596,-0.3671814582423854,-0.36913226293817775
Total Assets,-0.27636275150011064,-0.2703338335917499,-0.26991452915075487
Net Income Continuous Operations,-0.48612154614651504,-0.315745987025857,-0.37633509107758256
Net Income Continuous Operations,-0.48612154614651504,-0.315745987025857,-0.37633509107758256
Pretax Income,-0.48519902511364243,-0.31778816554777045,-0.3800440789488291
Pretax Income,-0.48519902511364243,-0.31778816554777045,-0.3800440789488291
Diluted EPS,-0.5754923549262885,-0.24371172833174296,-0.3599406102597685
Diluted EPS,-0.5754923549262885,-0.24371172833174296,-0.3599406102597685
Common Stock Equity,-0.4086797473874211,-0.37100628041158096,-0.3730409655478289
Net Income From Continuing And Discontinued Operation,-0.48957781152345026,-0.31886501126296973,-0.37957404530123023
Net Income From Continuing And Discontinued Operation,-0.48957781152345026,-0.31886501126296973,-0.37957404530123023
Total Revenue,-0.43854093075516726,-0.43306145506638466,-0.4488792295466244
Total Revenue,-0.43854093075516726,-0.43306145506638466,-0.4488792295466244
Total Capitalization,-0.4416731564042735,-0.4197958173051179,-0.41977861813915945
Diluted Average Shares,-0.33612031638104106,-0.33292652600311395,-0.333606055870758
Diluted Average Shares,-0.33612031638104106,-0.33292652600311395,-0.333606055870758
Ordinary Shares Number,-0.333121812104968,-0.331705592842341,-0.33082888567976243
Net Income,-0.4895808084520183,-0.3188678910145422,-0.3795769667233875
Net Income,-0.4895808084520183,-0.3188678910145422,-0.3795769667233875
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.4875690964956089,-0.31617383540139005,-0.37712556675304465
Diluted NI Availto Com Stockholders,-0.4875690964956089,-0.31617383540139005,-0.37712556675304465
Tangible Book Value,-0.20806980723180385,-0.22657836500266879,-0.23581481290758985
Tax Rate For Calcs,-1.2558234419636474,0.7344199937975269,1.0593576975952699
Tax Rate For Calcs,-1.2558234419636474,0.7344199937975269,1.0593576975952699
