,2022-12-31ILMN,2021-12-31ILMN,2020-12-31ILMN
Basic EPS,-1.7371858475113962,-0.07730163094005249,-0.10691553138689532
Basic EPS,-1.7371858475113962,-0.07730163094005249,-0.10691553138689532
Net Income Common Stockholders,-0.9227832800349658,-0.2721858484496864,-0.28553531181554775
Net Income Common Stockholders,-0.9227832800349658,-0.2721858484496864,-0.28553531181554775
Total Liabilities Net Minority Interest,-0.23974398661825203,-0.24463442503601338,-0.25122986324227997
Net Income Including Noncontrolling Interests,-0.9223317403914216,-0.2769410231547619,-0.2901836511119988
Net Income Including Noncontrolling Interests,-0.9223317403914216,-0.2769410231547619,-0.2901836511119988
Net Income From Continuing Operation Net Minority Interest,-0.9189359877840577,-0.26966748925467915,-0.2829896845400284
Net Income From Continuing Operation Net Minority Interest,-0.9189359877840577,-0.26966748925467915,-0.2829896845400284
Tax Effect Of Unusual Items,-2.5375009440567866,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,-2.5375009440567866,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.3281514638205255,-0.20348210270320305,-0.38550358478852825
Share Issued,-0.39216587376507006,-0.39278777437077045,-0.3940315755821713
Invested Capital,-0.38524953136046464,-0.333656571771209,-0.4427488117024406
Net Tangible Assets,-0.18273846827297704,-0.1724343069491911,-0.06058980092478585
Normalized Income,-0.5058883597560485,-0.3015032414809798,-0.31517250292290927
Normalized Income,-0.5058883597560485,-0.3015032414809798,-0.31517250292290927
Basic Average Shares,-0.37451535720394774,-0.37932853871169325,-0.3813913307864414
Basic Average Shares,-0.37451535720394774,-0.37932853871169325,-0.3813913307864414
Operating Revenue,-0.42695700829442335,-0.42798557966425504,-0.450809223681037
Operating Revenue,-0.42695700829442335,-0.42798557966425504,-0.450809223681037
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.31831989687746093,-0.1920967367950203,-0.37638681790065565
Total Assets,-0.25895217340510146,-0.24775183405780227,-0.27658184751432424
Net Income Continuous Operations,-0.918507425061102,-0.27180636817842796,-0.28507588270215295
Net Income Continuous Operations,-0.918507425061102,-0.27180636817842796,-0.28507588270215295
Pretax Income,-0.8284959190109086,-0.2823179896772513,-0.2852476797196541
Pretax Income,-0.8284959190109086,-0.2823179896772513,-0.2852476797196541
Diluted EPS,-1.8217829570545259,-0.07623647573545164,-0.10740694861614938
Diluted EPS,-1.8217829570545259,-0.07623647573545164,-0.10740694861614938
Common Stock Equity,-0.3200437761396217,-0.1883932894333314,-0.38060745089825077
Net Income From Continuing And Discontinued Operation,-0.9228195544328549,-0.27483841839637996,-0.288134198578313
Net Income From Continuing And Discontinued Operation,-0.9228195544328549,-0.27483841839637996,-0.288134198578313
Total Revenue,-0.42680173041220903,-0.42783024041204526,-0.4506525226497903
Total Revenue,-0.42680173041220903,-0.42783024041204526,-0.4506525226497903
Total Capitalization,-0.39955239897201555,-0.3247532262186917,-0.4463169312130566
Diluted Average Shares,-0.3758728136382189,-0.37994999284408326,-0.38198858244701545
Diluted Average Shares,-0.3758728136382189,-0.37994999284408326,-0.38198858244701545
Ordinary Shares Number,-0.37176436627093257,-0.37243875639599305,-0.37985704777165813
Net Income,-0.9228228487378687,-0.2748412679281689,-0.28813705723630445
Net Income,-0.9228228487378687,-0.2748412679281689,-0.28813705723630445
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.9225428156869623,-0.2719712368385166,-0.2853201697378459
Diluted NI Availto Com Stockholders,-0.9225428156869623,-0.2719712368385166,-0.2853201697378459
Tangible Book Value,-0.17757883055725754,-0.16680891832835346,-0.04990901009541449
Tax Rate For Calcs,0.24701343810091272,-0.7277996732923152,0.5584120709070831
Tax Rate For Calcs,0.24701343810091272,-0.7277996732923152,0.5584120709070831
