,2022-12-31MGM,2021-12-31MGM,2020-12-31MGM
Basic EPS,-0.15510086092752098,-0.20930935666072487,-0.4331703668182148
Basic EPS,-0.15510086092752098,-0.20930935666072487,-0.4331703668182148
Net Income Common Stockholders,-0.18664790254959354,-0.220038310762621,-0.49373706874286294
Net Income Common Stockholders,-0.18664790254959354,-0.220038310762621,-0.49373706874286294
Total Liabilities Net Minority Interest,-0.0955644928808826,-0.13943259878077657,-0.15825545960445273
Net Income Including Noncontrolling Interests,-0.34631103054331835,-0.22117344342643136,-0.5370346065752075
Net Income Including Noncontrolling Interests,-0.34631103054331835,-0.22117344342643136,-0.5370346065752075
Net Income From Continuing Operation Net Minority Interest,-0.1802965476316146,-0.20778589215423196,-0.4952303535122557
Net Income From Continuing Operation Net Minority Interest,-0.1802965476316146,-0.20778589215423196,-0.4952303535122557
Tax Effect Of Unusual Items,2.090928781640227,0.9279560463757959,0.6347316080528037
Tax Effect Of Unusual Items,2.090928781640227,0.9279560463757959,0.6347316080528037
Total Equity Gross Minority Interest,-0.36519783303753,-0.1919119369994886,-0.1882348682337831
Share Issued,-0.27954743290468137,-0.23308136110252672,-0.20788561404171588
Invested Capital,-0.31370368926666,-0.2241972082520069,-0.2240944549084328
Net Tangible Assets,-0.24497406728036755,-0.22032944769146703,-0.15903548525432107
Normalized Income,-0.5474925313794424,-0.41184948347457745,-0.6903689693131903
Normalized Income,-0.5474925313794424,-0.41184948347457745,-0.6903689693131903
Basic Average Shares,-0.20110261585610034,-0.15109434758798249,-0.14269053267545878
Basic Average Shares,-0.20110261585610034,-0.15109434758798249,-0.14269053267545878
Operating Revenue,-0.2762572572946893,-0.34059147036945275,-0.42104923129190386
Operating Revenue,-0.2762572572946893,-0.34059147036945275,-0.42104923129190386
Common Stock,-0.2440937814140877,-0.24401446277782882,-0.2439714586979294
Stockholders Equity,-0.3721947519786614,-0.33442485648754494,-0.3211934931570098
Total Assets,-0.13263121048989363,-0.15073719177898176,-0.1673740662974529
Net Income Continuous Operations,-0.3413172178017701,-0.21592556328473844,-0.5324280207590391
Net Income Continuous Operations,-0.3413172178017701,-0.21592556328473844,-0.5324280207590391
Pretax Income,-0.2802463849219109,-0.2218613244893769,-0.5329612387159984
Pretax Income,-0.2802463849219109,-0.2218613244893769,-0.5329612387159984
Diluted EPS,-0.15812500618474234,-0.2151828209494094,-0.449225524104479
Diluted EPS,-0.15812500618474234,-0.2151828209494094,-0.449225524104479
Common Stock Equity,-0.3762351350841408,-0.33684121465778205,-0.32304093092922537
Net Income From Continuing And Discontinued Operation,-0.1856446805009899,-0.21307951945130074,-0.4999540390684525
Net Income From Continuing And Discontinued Operation,-0.1856446805009899,-0.21307951945130074,-0.4999540390684525
Total Revenue,-0.27530070013719676,-0.3364322312645309,-0.41655064217556564
Total Revenue,-0.27530070013719676,-0.3364322312645309,-0.41655064217556564
Total Capitalization,-0.327688332686166,-0.23176693301592657,-0.2138803507924433
Diluted Average Shares,-0.2019179242304116,-0.15138604468279598,-0.1467679597022869
Diluted Average Shares,-0.2019179242304116,-0.15138604468279598,-0.1467679597022869
Ordinary Shares Number,-0.22266512331126423,-0.17227723224556724,-0.14495491923351433
Net Income,-0.18564746881033847,-0.2130823265918793,-0.49995704311924666
Net Income,-0.18564746881033847,-0.2130823265918793,-0.49995704311924666
Capital Stock,-0.2666599564887926,-0.26658551339891867,-0.26654515268754125
Diluted NI Availto Com Stockholders,-0.1864366899527716,-0.21982577133388367,-0.49351365336900455
Diluted NI Availto Com Stockholders,-0.1864366899527716,-0.21982577133388367,-0.49351365336900455
Tangible Book Value,-0.24262749563159214,-0.21686893250870154,-0.15280446623467586
Tax Rate For Calcs,0.24701343810091272,-0.25393218858727407,-0.8767294541996141
Tax Rate For Calcs,0.24701343810091272,-0.25393218858727407,-0.8767294541996141
