,2022-12-31CTSH,2021-12-31CTSH,2020-12-31CTSH
Basic EPS,-0.10992711448318444,-0.12799661306091908,-0.20228232943605026
Basic EPS,-0.10992711448318444,-0.12799661306091908,-0.20228232943605026
Net Income Common Stockholders,-0.07975207464745895,-0.09902063969440975,-0.19284469825635964
Net Income Common Stockholders,-0.07975207464745895,-0.09902063969440975,-0.19284469825635964
Total Liabilities Net Minority Interest,-0.24020142558589977,-0.23887901111579082,-0.23793918196407818
Net Income Including Noncontrolling Interests,-0.08604729184666736,-0.10516165106796216,-0.1982348381259009
Net Income Including Noncontrolling Interests,-0.08604729184666736,-0.10516165106796216,-0.1982348381259009
Net Income From Continuing Operation Net Minority Interest,-0.07762678740549396,-0.096855993807932,-0.19048840406816955
Net Income From Continuing Operation Net Minority Interest,-0.07762678740549396,-0.096855993807932,-0.19048840406816955
Tax Effect Of Unusual Items,0.14072198808420236,0.12220294702133307,-0.1763821863787296
Tax Effect Of Unusual Items,0.14072198808420236,0.12220294702133307,-0.1763821863787296
Total Equity Gross Minority Interest,-0.1562456314177457,-0.16581937129586896,-0.20059191707961865
Share Issued,-0.1987547853922406,-0.18880437570103392,-0.18569487267253185
Invested Capital,-0.32500505968271726,-0.32999631665684714,-0.3485970676471044
Net Tangible Assets,6.85639655145851e-06,-0.009478431179648864,-0.022921608535846443
Normalized Income,-0.1051437850464764,-0.1222424836467707,-0.1919190936963704
Normalized Income,-0.1051437850464764,-0.1222424836467707,-0.1919190936963704
Basic Average Shares,-0.126292710875928,-0.12010433465168373,-0.11116556899444202
Basic Average Shares,-0.126292710875928,-0.12010433465168373,-0.11116556899444202
Operating Revenue,-0.16371367357405694,-0.1800466775674184,-0.2129432274128967
Operating Revenue,-0.16371367357405694,-0.1800466775674184,-0.2129432274128967
Common Stock,-0.2439654062718695,-0.2439654062718695,-0.2439654062718695
Stockholders Equity,-0.1442715404247355,-0.15396460125695383,-0.18917052975133175
Total Assets,-0.23779807548102877,-0.23779807548102877,-0.24130738922593298
Net Income Continuous Operations,-0.08052506447793899,-0.09967823166784397,-0.19294038563176039
Net Income Continuous Operations,-0.08052506447793899,-0.09967823166784397,-0.19294038563176039
Pretax Income,-0.05924301930572697,-0.07901842709194559,-0.15550426355610333
Pretax Income,-0.05924301930572697,-0.07901842709194559,-0.15550426355610333
Diluted EPS,-0.10952020101484075,-0.12853947260306314,-0.20672981135464394
Diluted EPS,-0.10952020101484075,-0.12853947260306314,-0.20672981135464394
Common Stock Equity,-0.1385117116400038,-0.1486215534107356,-0.18534126172895954
Net Income From Continuing And Discontinued Operation,-0.08317849275492936,-0.10236957169677617,-0.19581632863583423
Net Income From Continuing And Discontinued Operation,-0.08317849275492936,-0.10236957169677617,-0.19581632863583423
Total Revenue,-0.16357410217826446,-0.1799061316584223,-0.21280071872214956
Total Revenue,-0.16357410217826446,-0.1799061316584223,-0.21280071872214956
Total Capitalization,-0.3159472532479624,-0.32162297801425277,-0.3408516455558062
Diluted Average Shares,-0.12988300155106716,-0.12376723274227057,-0.11493334446289773
Diluted Average Shares,-0.12988300155106716,-0.12376723274227057,-0.11493334446289773
Ordinary Shares Number,-0.1350534323747097,-0.1242631903737423,-0.12089123974843997
Net Income,-0.0831812107316491,-0.10237230284622208,-0.195819123926986
Net Income,-0.0831812107316491,-0.10237230284622208,-0.195819123926986
Capital Stock,-0.2665394722911252,-0.2665394722911252,-0.2665394722911252
Diluted NI Availto Com Stockholders,-0.07954510976139212,-0.09881290913495235,-0.19263323941797442
Diluted NI Availto Com Stockholders,-0.07954510976139212,-0.09881290913495235,-0.19263323941797442
Tangible Book Value,0.013426632681186967,0.003512607516831558,-0.010538205126175749
Tax Rate For Calcs,0.6802637098312364,0.7208809228059543,1.9529363830390625
Tax Rate For Calcs,0.6802637098312364,0.7208809228059543,1.9529363830390625
