,2022-12-31ALGN,2021-12-31ALGN,2020-12-31ALGN
Basic EPS,-0.09988850416222077,0.15910764211864203,0.8000729111121728
Basic EPS,-0.09988850416222077,0.15910764211864203,0.8000729111121728
Net Income Common Stockholders,-0.32261495757423125,-0.2709239463466116,-0.14449848323189007
Net Income Common Stockholders,-0.32261495757423125,-0.2709239463466116,-0.14449848323189007
Total Liabilities Net Minority Interest,-0.2534938160224261,-0.2536068990937647,-0.25661592430587943
Net Income Including Noncontrolling Interests,-0.32696654942865344,-0.2756892200214457,-0.15027553660469556
Net Income Including Noncontrolling Interests,-0.32696654942865344,-0.2756892200214457,-0.15027553660469556
Net Income From Continuing Operation Net Minority Interest,-0.31999359011813705,-0.26840816475695084,-0.1422409427124889
Net Income From Continuing Operation Net Minority Interest,-0.31999359011813705,-0.26840816475695084,-0.1422409427124889
Tax Effect Of Unusual Items,0.12322694832555127,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.12322694832555127,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4183987743731584,-0.4177558284963119,-0.4294625554707407
Share Issued,-0.46724979959309837,-0.46635239701907266,-0.4662591119282176
Invested Capital,-0.4806264959027638,-0.4802711849562988,-0.48674066923341014
Net Tangible Assets,-0.07959152739933424,-0.07971534793391707,-0.09457388032333747
Normalized Income,-0.35224836133405213,-0.3002111094088276,-0.17075701369951762
Normalized Income,-0.35224836133405213,-0.3002111094088276,-0.17075701369951762
Basic Average Shares,-0.42870490500757996,-0.4282050217281327,-0.42831297451337785
Basic Average Shares,-0.42870490500757996,-0.4282050217281327,-0.42831297451337785
Operating Revenue,-0.44201963797609706,-0.4381545327781067,-0.464412239652963
Operating Revenue,-0.44201963797609706,-0.4381545327781067,-0.464412239652963
Common Stock,-0.2444954713752221,-0.2444954713752221,-0.2444954713752221
Stockholders Equity,-0.40969199203221757,-0.40904103289029037,-0.42089366500207426
Total Assets,-0.2827658438480558,-0.2827878932176242,-0.28699010566251393
Net Income Continuous Operations,-0.32193346150099056,-0.2705520235036381,-0.1448837121271967
Net Income Continuous Operations,-0.32193346150099056,-0.2705520235036381,-0.1448837121271967
Pretax Income,-0.31213208502555023,-0.26888086166598385,-0.3351623784488783
Pretax Income,-0.31213208502555023,-0.26888086166598385,-0.3351623784488783
Diluted EPS,-0.09895393902138389,0.16942911561242044,0.8414433783962771
Diluted EPS,-0.09895393902138389,0.16942911561242044,0.8414433783962771
Common Stock Equity,-0.4153446764707537,-0.41466572747435193,-0.4270279974828654
Net Income From Continuing And Discontinued Operation,-0.3250647332162943,-0.27358159087352174,-0.14766453181996694
Net Income From Continuing And Discontinued Operation,-0.3250647332162943,-0.27358159087352174,-0.14766453181996694
Total Revenue,-0.441863461377914,-0.437998586792495,-0.4642547269940035
Total Revenue,-0.441863461377914,-0.437998586792495,-0.4642547269940035
Total Capitalization,-0.47668450099427623,-0.47631719560606745,-0.483005074089847
Diluted Average Shares,-0.4292702706376895,-0.4284208583031345,-0.4287198514448978
Diluted Average Shares,-0.4292702706376895,-0.4284208583031345,-0.4287198514448978
Ordinary Shares Number,-0.426209904237439,-0.42523675928697674,-0.42513560076821766
Net Income,-0.32506761722334615,-0.2735844395426263,-0.1476672940598017
Net Income,-0.32506761722334615,-0.2735844395426263,-0.1476672940598017
Capital Stock,-0.2670369554298809,-0.2670369554298809,-0.2670369554298809
Diluted NI Availto Com Stockholders,-0.3223983420656839,-0.2707093848795422,-0.14428894552309016
Diluted NI Availto Com Stockholders,-0.3223983420656839,-0.2707093848795422,-0.14428894552309016
Tangible Book Value,-0.06976961979453919,-0.06989903705109114,-0.08542917916124879
Tax Rate For Calcs,2.7652806425334195,0.6125683548733732,1.0593576975952699
Tax Rate For Calcs,2.7652806425334195,0.6125683548733732,1.0593576975952699
