,2023-06-30TECH,2022-06-30TECH,2021-06-30TECH,2020-06-30TECH
Basic EPS,-0.24093097917176037,-0.24494642330014585,-0.28610472561609696,-0.2564908251692541
Basic EPS,-0.24093097917176037,-0.24494642330014585,-0.28610472561609696,-0.2564908251692541
Net Income Common Stockholders,-0.33223412749766984,-0.3339044476167398,-0.3504786879537921,-0.3393019127198916
Net Income Common Stockholders,-0.33223412749766984,-0.3339044476167398,-0.3504786879537921,-0.3393019127198916
Total Liabilities Net Minority Interest,-0.2604569228782076,-0.2607828772524091,-0.2603756359736566,-0.2605641257795439
Net Income Including Noncontrolling Interests,-0.3364776297023554,-0.33926895080092656,-0.3546996107019658,-0.34349197488430844
Net Income Including Noncontrolling Interests,-0.3364776297023554,-0.33926895080092656,-0.3546996107019658,-0.34349197488430844
Net Income From Continuing Operation Net Minority Interest,-0.32958431391271253,-0.33124481244205245,-0.34778959649449265,-0.3366183073422893
Net Income From Continuing Operation Net Minority Interest,-0.32958431391271253,-0.33124481244205245,-0.34778959649449265,-0.3366183073422893
Tax Effect Of Unusual Items,0.16071822739066402,0.14117618483835032,0.12261779151533951,0.20601727346791837
Tax Effect Of Unusual Items,0.16071822739066402,0.14117618483835032,0.12261779151533951,0.20601727346791837
Total Equity Gross Minority Interest,-0.46761749151099125,-0.47561081165671804,-0.47951789102830045,-0.48523931453118824
Share Issued,-0.4172645918933795,-0.41788768281683925,-0.41839643731394094,-0.4196463033000486
Invested Capital,-0.5020030845466137,-0.5079732268385099,-0.5088613711044866,-0.5116292393844437
Net Tangible Assets,-0.16621994231824264,-0.17341876379248644,-0.18175117949130465,-0.18064559757284557
Normalized Income,-0.36908394367368846,-0.3663297494609922,-0.3717073158328888,-0.38579210786383855
Normalized Income,-0.36908394367368846,-0.3663297494609922,-0.3717073158328888,-0.38579210786383855
Basic Average Shares,-0.3743922772768211,-0.37460199447108716,-0.37590017828346195,-0.37740051571916206
Basic Average Shares,-0.3743922772768211,-0.37460199447108716,-0.37590017828346195,-0.37740051571916206
Operating Revenue,-0.48809135357162964,-0.4886429338356964,-0.491738703117031,-0.49514967632125156
Operating Revenue,-0.48809135357162964,-0.4886429338356964,-0.491738703117031,-0.49514967632125156
Common Stock,-0.24432897656711774,-0.24433003839625106,-0.24445490950232932,-0.24445544041689599
Stockholders Equity,-0.4595241396959455,-0.4675939481333244,-0.4718247253360007,-0.4773655898171951
Total Assets,-0.29526661247765,-0.2965656516335099,-0.2966859580104181,-0.2975750647461669
Net Income Continuous Operations,-0.3314638521633086,-0.3342608404935311,-0.34972282933205345,-0.3384924386015073
Net Income Continuous Operations,-0.3314638521633086,-0.3342608404935311,-0.34972282933205345,-0.3384924386015073
Pretax Income,-0.33937799315632144,-0.34327793376169563,-0.3593086745147874,-0.34588420694977456
Pretax Income,-0.33937799315632144,-0.34327793376169563,-0.3593086745147874,-0.34588420694977456
Diluted EPS,-0.24952317242814423,-0.25480630342487265,-0.2965430382990273,-0.26563672196816596
Diluted EPS,-0.24952317242814423,-0.25480630342487265,-0.2965430382990273,-0.26563672196816596
Common Stock Equity,-0.46731950018190677,-0.4757362931675488,-0.48014898476483114,-0.48592809459892505
Net Income From Continuing And Discontinued Operation,-0.33463644062840103,-0.33629364673937934,-0.35280562597456666,-0.34165648713257324
Net Income From Continuing And Discontinued Operation,-0.33463644062840103,-0.33629364673937934,-0.35280562597456666,-0.34165648713257324
Total Revenue,-0.48793242809178466,-0.48848397544566236,-0.491579560017066,-0.49499032970462625
Total Revenue,-0.48793242809178466,-0.48848397544566236,-0.491579560017066,-0.49499032970462625
Total Capitalization,-0.49878271178267036,-0.5051693812730195,-0.5060875071502138,-0.5089488119965603
Diluted Average Shares,-0.37257369613080693,-0.371038638159799,-0.37252137233099836,-0.37546237759816187
Diluted Average Shares,-0.37257369613080693,-0.371038638159799,-0.37252137233099836,-0.37546237759816187
Ordinary Shares Number,-0.37200585593325497,-0.3726815368410148,-0.37323323112428225,-0.37458858802690276
Net Income,-0.3346393312054577,-0.33629653845393964,-0.3528085290229233,-0.3416593825281786
Net Income,-0.3346393312054577,-0.33629653845393964,-0.3528085290229233,-0.3416593825281786
Capital Stock,-0.26688069470039993,-0.26688169126117467,-0.26699888680828543,-0.26699938508867277
Diluted NI Availto Com Stockholders,-0.3320171297529554,-0.3336873834986516,-0.35026096522647365,-0.3390846341231748
Diluted NI Availto Com Stockholders,-0.3320171297529554,-0.3336873834986516,-0.35026096522647365,-0.3390846341231748
Tangible Book Value,-0.16031366271941566,-0.16783787288974608,-0.17654691605310002,-0.17539136153007626
Tax Rate For Calcs,-0.4705573244524357,-0.8767294541996141,-1.8109253526181246,-0.28101033057041896
Tax Rate For Calcs,-0.4705573244524357,-0.8767294541996141,-1.8109253526181246,-0.28101033057041896
