,2022-12-31KMI,2021-12-31KMI,2020-12-31KMI
Basic EPS,-0.27556418477908506,-0.29262982232472334,-0.3292707499962408
Basic EPS,-0.27556418477908506,-0.29262982232472334,-0.3292707499962408
Net Income Common Stockholders,-0.04889718290560966,-0.14524000814036359,-0.3548013953176584
Net Income Common Stockholders,-0.04889718290560966,-0.14524000814036359,-0.3548013953176584
Total Liabilities Net Minority Interest,-0.10537752767583095,-0.1031693450229132,-0.09937676012750643
Net Income Including Noncontrolling Interests,-0.04419559028370162,-0.14101669091444327,-0.34965054646713817
Net Income Including Noncontrolling Interests,-0.04419559028370162,-0.14101669091444327,-0.34965054646713817
Net Income From Continuing Operation Net Minority Interest,-0.04520106680530432,-0.1412214177298969,-0.350480428579958
Net Income From Continuing Operation Net Minority Interest,-0.04520106680530432,-0.1412214177298969,-0.350480428579958
Tax Effect Of Unusual Items,0.15501709257464896,-0.6211537203557521,-1.3290450479478944
Tax Effect Of Unusual Items,0.15501709257464896,-0.6211537203557521,-1.3290450479478944
Total Equity Gross Minority Interest,0.44000568394776307,0.43419520660034866,0.45361364125880627
Share Issued,0.8825323709373439,0.8947899703075392,0.8928408150262583
Invested Capital,0.499800155292242,0.5266364802898136,0.5596120513655648
Net Tangible Assets,0.12068837494698506,0.12966186643094435,0.1262840122221536
Normalized Income,-0.07444081847375007,0.0049481886962303755,-0.20254810506514015
Normalized Income,-0.07444081847375007,0.0049481886962303755,-0.20254810506514015
Basic Average Shares,1.0701266924779622,1.075627471343957,1.073564679269209
Basic Average Shares,1.0701266924779622,1.075627471343957,1.073564679269209
Operating Revenue,-0.17055899338017805,-0.21615307944633688,-0.3041491335343494
Operating Revenue,-0.17055899338017805,-0.21615307944633688,-0.3041491335343494
Common Stock,-0.24216029674522804,-0.2420541138318962,-0.2420541138318962
Stockholders Equity,0.41759069328683845,0.4200596804799507,0.438744731706837
Total Assets,-0.04051344723413201,-0.03923664632371477,-0.03335505159732526
Net Income Continuous Operations,-0.038588391218996716,-0.13560606816132587,-0.3446635139596351
Net Income Continuous Operations,-0.038588391218996716,-0.13560606816132587,-0.3446635139596351
Pretax Income,-0.025865479179781256,-0.14263455372697692,-0.30565087822924475
Pretax Income,-0.025865479179781256,-0.14263455372697692,-0.30565087822924475
Diluted EPS,-0.2833352108072062,-0.30129785619608285,-0.3398647124722004
Diluted EPS,-0.2833352108072062,-0.30129785619608285,-0.3398647124722004
Common Stock Equity,0.447509399554647,0.4500845479302108,0.46957301650083527
Net Income From Continuing And Discontinued Operation,-0.05081706551965825,-0.14664702834038354,-0.35549112270754013
Net Income From Continuing And Discontinued Operation,-0.05081706551965825,-0.14664702834038354,-0.35549112270754013
Total Revenue,-0.16761721045348268,-0.2135455018254792,-0.30061419319092436
Total Revenue,-0.16761721045348268,-0.2135455018254792,-0.30061419319092436
Total Capitalization,0.47861981570077394,0.5190722540350617,0.5546745275690651
Diluted Average Shares,1.0518194382819628,1.0572556772231152,1.0552170876201832
Diluted Average Shares,1.0518194382819628,1.0572556772231152,1.0552170876201832
Ordinary Shares Number,1.0374962868237612,1.0507884494240805,1.048674781963627
Net Income,-0.050819761283545616,-0.14664978988180552,-0.35549402759921744
Net Income,-0.050819761283545616,-0.14664978988180552,-0.35549402759921744
Capital Stock,-0.2648453189740485,-0.26474566289657336,-0.26474566289657336
Diluted NI Availto Com Stockholders,-0.048691444097847945,-0.14503044096564913,-0.3545835008192716
Diluted NI Availto Com Stockholders,-0.048691444097847945,-0.14503044096564913,-0.3545835008192716
Tangible Book Value,0.13956298881904697,0.14894208456805946,0.1454115504267962
Tax Rate For Calcs,0.274091580084058,-0.34870568552828207,1.0593576975952699
Tax Rate For Calcs,0.274091580084058,-0.34870568552828207,1.0593576975952699
