,2023-01-31LULU,2022-01-31LULU,2021-01-31LULU,2020-01-31LULU
Basic EPS,0.004513043175801464,0.0456713454917525,-0.10490780932270263,-0.08332479713263069
Basic EPS,0.004513043175801464,0.0456713454917525,-0.10490780932270263,-0.08332479713263069
Net Income Common Stockholders,-0.2604987710878757,-0.2453204312408914,-0.2939841368044679,-0.2868455742387404
Net Income Common Stockholders,-0.2604987710878757,-0.2453204312408914,-0.2939841368044679,-0.2868455742387404
Total Liabilities Net Minority Interest,-0.25302951547026364,-0.25409329810660064,-0.25648771248031993,-0.2577249310219725
Net Income Including Noncontrolling Interests,-0.2653474771695582,-0.2502906091821798,-0.2985648603739531,-0.2914834275390468
Net Income Including Noncontrolling Interests,-0.2653474771695582,-0.2502906091821798,-0.2985648603739531,-0.2914834275390468
Net Income From Continuing Operation Net Minority Interest,-0.25800428432561867,-0.2428569482861766,-0.2914212516636909,-0.28429727057539417
Net Income From Continuing Operation Net Minority Interest,-0.25800428432561867,-0.2428569482861766,-0.2914212516636909,-0.28429727057539417
Tax Effect Of Unusual Items,-0.2650459486859514,0.10469218545621094,0.11241374372032921,0.1359644425032954
Tax Effect Of Unusual Items,-0.2650459486859514,0.10469218545621094,0.11241374372032921,0.1359644425032954
Total Equity Gross Minority Interest,-0.43202356099423894,-0.4443295197879576,-0.4497931748605419,-0.46804794853230386
Share Issued,-0.43612118667536975,-0.43538796586124895,-0.43423558403888607,-0.4342380716413089
Invested Capital,-0.4881559567859479,-0.4949565943257696,-0.4979759720446532,-0.5080641009904855
Net Tangible Assets,-0.07943433775953727,-0.10744074115993217,-0.11393229455443836,-0.11952158555806311
Normalized Income,-0.2566594429030061,-0.27009217956912807,-0.3210568107388586,-0.3165141538289643
Normalized Income,-0.2566594429030061,-0.27009217956912807,-0.3210568107388586,-0.3165141538289643
Basic Average Shares,-0.3946853381108345,-0.39324000846379437,-0.3928817702401465,-0.3928102601148885
Basic Average Shares,-0.3946853381108345,-0.39324000846379437,-0.3928817702401465,-0.3928102601148885
Operating Revenue,-0.36441777639794015,-0.39729483658935905,-0.43018674012968394,-0.4376808224603318
Operating Revenue,-0.36441777639794015,-0.39729483658935905,-0.43018674012968394,-0.4376808224603318
Common Stock,-0.244431443078483,-0.24443091216391633,-0.244429850334783,-0.24443038124934965
Stockholders Equity,-0.423486589256016,-0.4359459216281913,-0.44147767219369755,-0.4599599616575149
Total Assets,-0.28405363355684116,-0.28656402057763075,-0.2894245948019659,-0.29283894553477846
Net Income Continuous Operations,-0.2601892837652045,-0.24510184575172916,-0.2934741083705788,-0.2863782980710665
Net Income Continuous Operations,-0.2601892837652045,-0.24510184575172916,-0.2934741083705788,-0.2863782980710665
Pretax Income,-0.23538320424829962,-0.2352473921884768,-0.28908243472158485,-0.2809166561508977
Pretax Income,-0.23538320424829962,-0.2352473921884768,-0.28908243472158485,-0.2809166561508977
Diluted EPS,0.010406872610894636,0.053200233684394964,-0.10476538311778517,-0.08204791983185293
Diluted EPS,0.010406872610894636,0.053200233684394964,-0.10476538311778517,-0.08204791983185293
Common Stock Equity,-0.42973241194849143,-0.442727469034378,-0.44849707307385095,-0.4677740615581267
Net Income From Continuing And Discontinued Operation,-0.2631983391427631,-0.24808103707590512,-0.29654904768270307,-0.28943919194635864
Net Income From Continuing And Discontinued Operation,-0.2631983391427631,-0.24808103707590512,-0.29654904768270307,-0.28943919194635864
Total Revenue,-0.3642662299363054,-0.39714132850882883,-0.4300312695446258,-0.4375249047387773
Total Revenue,-0.3642662299363054,-0.39714132850882883,-0.4300312695446258,-0.4375249047387773
Total Capitalization,-0.48446813834126895,-0.49149834902428563,-0.49461965366242616,-0.5050483335430038
Diluted Average Shares,-0.3955676277921468,-0.39401965875365363,-0.3936282495498907,-0.3935711690410086
Diluted Average Shares,-0.3955676277921468,-0.39401965875365363,-0.3936282495498907,-0.3935711690410086
Ordinary Shares Number,-0.39245398091766254,-0.39165887496021623,-0.3904092300584792,-0.39041192761897947
Net Income,-0.26320118068482007,-0.24808386824146994,-0.29655191211663356,-0.2894420515000954
Net Income,-0.26320118068482007,-0.24808386824146994,-0.29655191211663356,-0.2894420515000954
Capital Stock,-0.2669768628151634,-0.266976364534776,-0.2669753679740013,-0.2669758662543886
Diluted NI Availto Com Stockholders,-0.26028462388514145,-0.24510688717860404,-0.29376865899649973,-0.286630380095248
Diluted NI Availto Com Stockholders,-0.26028462388514145,-0.24510688717860404,-0.29376865899649973,-0.286630380095248
Tangible Book Value,-0.06960532514010687,-0.09887762562061894,-0.10566259900090647,-0.11150452748390545
Tax Rate For Calcs,2.2643350158452322,1.0458186266036973,1.2082874785025688,1.2082874785025688
Tax Rate For Calcs,2.2643350158452322,1.0458186266036973,1.2082874785025688,1.2082874785025688
