,2023-09-30SWKS,2022-09-30SWKS,2021-09-30SWKS,2020-09-30SWKS
Basic EPS,-0.022089274174752288,0.06223505252134257,0.12347057547922102,-0.08884603280916073
Basic EPS,-0.022089274174752288,0.06223505252134257,0.12347057547922102,-0.08884603280916073
Net Income Common Stockholders,-0.24437866438192998,-0.20755429562553515,-0.17945745339040625,-0.2655363044334838
Net Income Common Stockholders,-0.24437866438192998,-0.20755429562553515,-0.17945745339040625,-0.2655363044334838
Total Liabilities Net Minority Interest,-0.2535045824723101,-0.24909320740975804,-0.24955563662068922,-0.25933277077374933
Net Income Including Noncontrolling Interests,-0.2493563792589325,-0.21282671496934688,-0.18495473103293597,-0.27034469526662874
Net Income Including Noncontrolling Interests,-0.2493563792589325,-0.21282671496934688,-0.18495473103293597,-0.27034469526662874
Net Income From Continuing Operation Net Minority Interest,-0.24191710511312148,-0.20516795509957322,-0.17712850445654102,-0.26303152782952405
Net Income From Continuing Operation Net Minority Interest,-0.24191710511312148,-0.20516795509957322,-0.17712850445654102,-0.26303152782952405
Tax Effect Of Unusual Items,0.1288917254773102,0.12420451811341562,0.13439470766735587,0.13262205952115255
Tax Effect Of Unusual Items,0.1288917254773102,0.12420451811341562,0.13439470766735587,0.13262205952115255
Total Equity Gross Minority Interest,-0.34369524337736534,-0.3621713570981335,-0.36734659573036427,-0.40145379669868464
Share Issued,-0.41610904708453605,-0.41567371666054576,-0.41250202357147364,-0.37083468298954575
Invested Capital,-0.41784243940153265,-0.41313235657027875,-0.41521870198546507,-0.47126219904331984
Net Tangible Assets,-0.09372347993646979,-0.12225781806588104,-0.1367860031376296,-0.08563710167906159
Normalized Income,-0.26970523214422776,-0.23190443128143595,-0.2054778313100224,-0.2930682895568199
Normalized Income,-0.26970523214422776,-0.23190443128143595,-0.2054778313100224,-0.2930682895568199
Basic Average Shares,-0.37286512354414925,-0.37080233146940117,-0.36887705886630295,-0.3666079875840801
Basic Average Shares,-0.37286512354414925,-0.37080233146940117,-0.36887705886630295,-0.3666079875840801
Operating Revenue,-0.42361592474138393,-0.41096981708919494,-0.4176448905996198,-0.44873966714897917
Operating Revenue,-0.42361592474138393,-0.41096981708919494,-0.4176448905996198,-0.44873966714897917
Common Stock,-0.24025962259658792,-0.24024900430525475,-0.24011096651792332,-0.24010034822659015
Stockholders Equity,-0.3340574041342984,-0.3527637922875449,-0.3580035317751497,-0.3925358230230118
Total Assets,-0.2734023110459864,-0.27171338297779835,-0.27278279817820994,-0.28594366910097235
Net Income Continuous Operations,-0.24416571905731016,-0.20756188842771398,-0.17963331587825124,-0.2651966477364215
Net Income Continuous Operations,-0.24416571905731016,-0.20756188842771398,-0.17963331587825124,-0.2651966477364215
Pretax Income,-0.2619357175251064,-0.2203131925655415,-0.20753765134492091,-0.2815123249155906
Pretax Income,-0.2619357175251064,-0.2203131925655415,-0.20753765134492091,-0.2815123249155906
Diluted EPS,-0.018650347871111733,0.07010625287392591,0.1313905724359758,-0.08891599012759989
Diluted EPS,-0.018650347871111733,0.07010625287392591,0.1313905724359758,-0.08891599012759989
Common Stock Equity,-0.3364579626371966,-0.3559686855764988,-0.36143372268463964,-0.397450828791753
Net Income From Continuing And Discontinued Operation,-0.24714305741363632,-0.2104667732136624,-0.1824829188873485,-0.26821561468311517
Net Income From Continuing And Discontinued Operation,-0.24714305741363632,-0.2104667732136624,-0.1824829188873485,-0.26821561468311517
Total Revenue,-0.4234608462058445,-0.4108154930871686,-0.417490168327485,-0.44858308959839566
Total Revenue,-0.4234608462058445,-0.4108154930871686,-0.417490168327485,-0.44858308959839566
Total Capitalization,-0.41693043625643916,-0.4154977457320998,-0.40906869749682906,-0.46700408802788707
Diluted Average Shares,-0.3736303650749935,-0.3715917754720613,-0.3690775149617782,-0.36710687834561045
Diluted Average Shares,-0.3736303650749935,-0.3715917754720613,-0.3690775149617782,-0.36710687834561045
Ordinary Shares Number,-0.37075278108334186,-0.37028070799579954,-0.36684131835799116,-0.36663900132047306
Net Income,-0.24714588793537337,-0.21046957856085607,-0.18248570502646894,-0.26821845966902214
Net Income,-0.24714588793537337,-0.21046957856085607,-0.18248570502646894,-0.26821845966902214
Capital Stock,-0.2630614751872442,-0.2630515095794967,-0.26292195667877905,-0.2629119910710315
Diluted NI Availto Com Stockholders,-0.24416515774255512,-0.20734225227308445,-0.1792465265198734,-0.2653219570546997
Diluted NI Availto Com Stockholders,-0.24416515774255512,-0.20734225227308445,-0.1792465265198734,-0.2653219570546997
Tangible Book Value,-0.08454034044471499,-0.11436443844813379,-0.1295493014516681,-0.07608845568229688
Tax Rate For Calcs,-1.3913766207312723,-0.7495434213047811,-1.7459242727875846,-1.428581987816114
Tax Rate For Calcs,-1.3913766207312723,-0.7495434213047811,-1.7459242727875846,-1.428581987816114
