,2022-12-31CMI,2021-12-31CMI,2020-12-31CMI
Basic EPS,0.4311539818167576,0.4080651780785412,0.27404973029367613
Basic EPS,0.4311539818167576,0.4080651780785412,0.27404973029367613
Net Income Common Stockholders,-0.09725750302344692,-0.09977626969625095,-0.14284717980119976
Net Income Common Stockholders,-0.09725750302344692,-0.09977626969625095,-0.14284717980119976
Total Liabilities Net Minority Interest,-0.17977373795963253,-0.20374769840044393,-0.20655055171130376
Net Income Including Noncontrolling Interests,-0.09941485025633104,-0.10178852885243955,-0.14588897855908703
Net Income Including Noncontrolling Interests,-0.09941485025633104,-0.10178852885243955,-0.14588897855908703
Net Income From Continuing Operation Net Minority Interest,-0.09509645858156512,-0.09761008033351781,-0.14059301229190874
Net Income From Continuing Operation Net Minority Interest,-0.09509645858156512,-0.09761008033351781,-0.14059301229190874
Tax Effect Of Unusual Items,0.0350449366565945,0.13237521980412237,0.16124065869465476
Tax Effect Of Unusual Items,0.0350449366565945,0.13237521980412237,0.16124065869465476
Total Equity Gross Minority Interest,-0.21898674432972348,-0.24379417093215616,-0.2561978842333725
Share Issued,-0.3769293089254098,-0.3769293089254098,-0.3769556874615012
Invested Capital,-0.26053465710020657,-0.33581944979333195,-0.3371338141298528
Net Tangible Assets,-0.05069507647479271,0.018022078843435523,0.012801758702577073
Normalized Income,-0.10651432193897475,-0.12435451349484543,-0.17306376604549153
Normalized Income,-0.10651432193897475,-0.12435451349484543,-0.17306376604549153
Basic Average Shares,-0.38517311625681283,-0.3830415644462398,-0.3805662139565421
Basic Average Shares,-0.38517311625681283,-0.3830415644462398,-0.3805662139565421
Operating Revenue,-0.010385603512598578,-0.08226146147687001,-0.15692155573534095
Operating Revenue,-0.010385603512598578,-0.08226146147687001,-0.15692155573534095
Common Stock,-0.006328046235189103,-0.02161838575497551,0.010767402811238754
Stockholders Equity,-0.24589627254616922,-0.2711652896213547,-0.27372572078458224
Total Assets,-0.1907793153272907,-0.2156693780454541,-0.21977176203572965
Net Income Continuous Operations,-0.09391976310094444,-0.0962982609872725,-0.14048824803326243
Net Income Continuous Operations,-0.09391976310094444,-0.0962982609872725,-0.14048824803326243
Pretax Income,-0.07985548138977495,-0.08697044292132451,-0.1301833710467652
Pretax Income,-0.07985548138977495,-0.08697044292132451,-0.1301833710467652
Diluted EPS,0.45630312873477424,0.42935916065145935,0.29199775473652007
Diluted EPS,0.45630312873477424,0.42935916065145935,0.29199775473652007
Common Stock Equity,-0.24450609045641816,-0.27086162136187936,-0.2735321456032047
Net Income From Continuing And Discontinued Operation,-0.10061352525765294,-0.10312216302782899,-0.14601986889783952
Net Income From Continuing And Discontinued Operation,-0.10061352525765294,-0.10312216302782899,-0.14601986889783952
Total Revenue,-0.010255180478541686,-0.08212674994985518,-0.15678238959313912
Total Revenue,-0.010255180478541686,-0.08212674994985518,-0.15678238959313912
Total Capitalization,-0.3069004919538147,-0.33696463404919524,-0.3378761898449934
Diluted Average Shares,-0.38586190269258663,-0.383415595169068,-0.3813090525793714
Diluted Average Shares,-0.38586190269258663,-0.383415595169068,-0.3813090525793714
Ordinary Shares Number,-0.3830266813594423,-0.38221741320936975,-0.3787391894905999
Net Income,-0.10061625520175135,-0.10312489469385239,-0.14602263000878024
Net Income,-0.10061625520175135,-0.10312489469385239,-0.14602263000878024
Capital Stock,-0.04350917090185119,-0.05785964605826561,-0.027464542428360078
Diluted NI Availto Com Stockholders,-0.09704984252560697,-0.09956850911038609,-0.14263770771010897
Diluted NI Availto Com Stockholders,-0.09704984252560697,-0.09956850911038609,-0.14263770771010897
Tangible Book Value,-0.03956704139878475,0.032256148101257674,0.02679986806475991
Tax Rate For Calcs,0.4636385739660748,0.28763065107563063,0.45009950297450213
Tax Rate For Calcs,0.4636385739660748,0.28763065107563063,0.45009950297450213
