,2023-09-30ROK,2022-09-30ROK,2021-09-30ROK,2020-09-30ROK
Basic EPS,,0.06867477084918917,0.2558677490872951,0.11019491487415937
Basic EPS,,0.06867477084918917,0.2558677490872951,0.11019491487415937
Net Income Common Stockholders,-0.20720166829134257,-0.2524009362348108,-0.19885195677099723,-0.23939150636977802
Net Income Common Stockholders,-0.20720166829134257,-0.2524009362348108,-0.19885195677099723,-0.23939150636977802
Total Liabilities Net Minority Interest,-0.2318111632120262,-0.23105680476901438,-0.2299527134425555,-0.23864239041343485
Net Income Including Noncontrolling Interests,-0.21247690970255192,-0.2573144490785173,-0.20419402070665751,-0.24430918898089127
Net Income Including Noncontrolling Interests,-0.21247690970255192,-0.2573144490785173,-0.20419402070665751,-0.24430918898089127
Net Income From Continuing Operation Net Minority Interest,-0.20481604805429984,-0.2499229903930908,-0.19648339194657669,-0.23681445295665754
Net Income From Continuing Operation Net Minority Interest,-0.20481604805429984,-0.2499229903930908,-0.19648339194657669,-0.23681445295665754
Tax Effect Of Unusual Items,0.2060890916235234,0.0805994185577418,0.2921731436469758,0.1787545488936477
Tax Effect Of Unusual Items,0.2060890916235234,0.0805994185577418,0.2921731436469758,0.1787545488936477
Total Equity Gross Minority Interest,-0.41412244368206286,-0.4360005467305918,-0.44571277466984516,-0.48627472353083734
Share Issued,-0.40248942381969693,-0.40248942381969693,-0.40248942381969693,-0.40248942381969693
Invested Capital,-0.43193774909647537,-0.43137207330607397,-0.4345515039985947,-0.4901807267275967
Net Tangible Assets,-0.21327563511002487,-0.24331465375062472,-0.262343232460146,-0.22289057769625958
Normalized Income,-0.24744917875124267,-0.2661325574096058,-0.27951370692782246,-0.2856757712992553
Normalized Income,-0.24744917875124267,-0.2661325574096058,-0.27951370692782246,-0.2856757712992553
Basic Average Shares,,-0.40325692677877106,-0.40270684889217156,-0.4025693294205217
Basic Average Shares,,-0.40325692677877106,-0.40270684889217156,-0.4025693294205217
Operating Revenue,-0.34761514090430484,-0.37062676520591814,-0.38415779891594504,-0.3959970100624902
Operating Revenue,-0.34761514090430484,-0.37062676520591814,-0.38415779891594504,-0.3959970100624902
Common Stock,-0.22523474036013114,-0.22523474036013114,-0.22523474036013114,-0.22523474036013114
Stockholders Equity,-0.41090386848683186,-0.43638625482561966,-0.4466279794785296,-0.4881374456461866
Total Assets,-0.2625332599822481,-0.26459314026760467,-0.26480883651608045,-0.27779178636523144
Net Income Continuous Operations,-0.2072113729497288,-0.25213994618147323,-0.19891166716743663,-0.239108281446381
Net Income Continuous Operations,-0.2072113729497288,-0.25213994618147323,-0.19891166716743663,-0.239108281446381
Pretax Income,-0.20651225983007993,-0.2624798028186955,-0.21512345591899948,-0.2559403161169036
Pretax Income,-0.20651225983007993,-0.2624798028186955,-0.21512345591899948,-0.2559403161169036
Diluted EPS,,0.07855926246869141,0.26928029145058785,0.12082431044251887
Diluted EPS,,0.07855926246869141,0.26928029145058785,0.12082431044251887
Common Stock Equity,-0.41660866102773714,-0.44318673561997546,-0.45386883258527694,-0.4971631172500019
Net Income From Continuing And Discontinued Operation,-0.21011556392583774,-0.25513306871164704,-0.20179942971770412,-0.2420505227401789
Net Income From Continuing And Discontinued Operation,-0.21011556392583774,-0.25513306871164704,-0.20179942971770412,-0.2420505227401789
Total Revenue,-0.3474645969765672,-0.3704748482832477,-0.3840050746604035,-0.39584357941713894
Total Revenue,-0.3474645969765672,-0.3704748482832477,-0.3840050746604035,-0.39584357941713894
Total Capitalization,-0.4281288132119897,-0.4424230400400622,-0.43793749755809697,-0.4869843591218251
Diluted Average Shares,,-0.4032578673042747,-0.4029860553572171,-0.40332582029103914
Diluted Average Shares,,-0.4032578673042747,-0.4029860553572171,-0.40332582029103914
Ordinary Shares Number,-0.4008980196735446,-0.40062826362352044,-0.40008875152347206,-0.39995387349845996
Net Income,-0.21011836903196193,-0.2551359047177152,-0.201802229115647,-0.24205334976640824
Net Income,-0.21011836903196193,-0.2551359047177152,-0.201802229115647,-0.24205334976640824
Capital Stock,-0.24896014022451754,-0.24896014022451754,-0.24896014022451754,-0.24896014022451754
Diluted NI Availto Com Stockholders,-0.2069896389512154,-0.2521871108150766,-0.19864025922267262,-0.2391781979046925
Diluted NI Availto Com Stockholders,-0.2069896389512154,-0.2521871108150766,-0.19864025922267262,-0.2391781979046925
Tangible Book Value,-0.2094962856727183,-0.24089307615724528,-0.260781751819695,-0.21954582628896058
Tax Rate For Calcs,0.17931808314304962,-0.6465652473428799,-0.9850420221321952,-1.2558234419636474
Tax Rate For Calcs,0.17931808314304962,-0.6465652473428799,-0.9850420221321952,-1.2558234419636474
