,2022-12-31YUM,2021-12-31YUM,2020-12-31YUM
Basic EPS,-0.0993865736461726,-0.06575722907094428,-0.18170317827807472
Basic EPS,-0.0993865736461726,-0.06575722907094428,-0.18170317827807472
Net Income Common Stockholders,-0.20128256661025312,-0.1697979832002028,-0.25430260507277785
Net Income Common Stockholders,-0.20128256661025312,-0.1697979832002028,-0.25430260507277785
Total Liabilities Net Minority Interest,-0.20203022300373014,-0.2036229423183582,-0.20610142981579507
Net Income Including Noncontrolling Interests,-0.20660517843849405,-0.1753725653318032,-0.25920089891016146
Net Income Including Noncontrolling Interests,-0.20660517843849405,-0.1753725653318032,-0.25920089891016146
Net Income From Continuing Operation Net Minority Interest,-0.19890903693721104,-0.16748876503780247,-0.25182077481581505
Net Income From Continuing Operation Net Minority Interest,-0.19890903693721104,-0.16748876503780247,-0.25182077481581505
Tax Effect Of Unusual Items,0.15819908734629454,0.15203730753253425,0.11355286414695674
Tax Effect Of Unusual Items,0.15819908734629454,0.15203730753253425,0.11355286414695674
Total Equity Gross Minority Interest,-0.79404336512228,-0.7788999966987077,-0.7643888563802944
Share Issued,-0.3411700240976359,-0.33557291864633215,-0.32873201198362756
Invested Capital,-0.49186278032787845,-0.49369290788505943,-0.4944748714776731
Net Tangible Assets,-0.5219910379498109,-0.5056476827375809,-0.48660886810621473
Normalized Income,-0.2329097269677081,-0.2084332379370773,-0.2751937818641642
Normalized Income,-0.2329097269677081,-0.2084332379370773,-0.2751937818641642
Basic Average Shares,-0.28581529798978,-0.27825172704903706,-0.2748137402577902
Basic Average Shares,-0.28581529798978,-0.27825172704903706,-0.2748137402577902
Operating Revenue,-0.3869136608275285,-0.3914890300243659,-0.40801710789821266
Operating Revenue,-0.3869136608275285,-0.3914890300243659,-0.40801710789821266
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.7900183760553813,-0.7746862703993881,-0.7599942725342018
Total Assets,-0.2831509504232461,-0.2826976483248731,-0.28312828531832746
Net Income Continuous Operations,-0.20132772028354884,-0.17003169546344266,-0.2540302260806076
Net Income Continuous Operations,-0.20132772028354884,-0.17003169546344266,-0.2540302260806076
Pretax Income,-0.2009144592133461,-0.19965887776660204,-0.2680880666141522
Pretax Income,-0.2009144592133461,-0.19965887776660204,-0.2680880666141522
Diluted EPS,-0.10106719142007525,-0.0672551530410133,-0.18718222666674872
Diluted EPS,-0.10106719142007525,-0.0672551530410133,-0.18718222666674872
Common Stock Equity,-0.8120242836933147,-0.7960329302006163,-0.7807092077682493
Net Income From Continuing And Discontinued Operation,-0.204220265165924,-0.17286229303872333,-0.25702709022813
Net Income From Continuing And Discontinued Operation,-0.204220265165924,-0.17286229303872333,-0.25702709022813
Total Revenue,-0.38676077214272325,-0.3913358683488913,-0.40786296007039735
Total Revenue,-0.38676077214272325,-0.3913358683488913,-0.40786296007039735
Total Capitalization,-0.4951453633691123,-0.49136154685825206,-0.49879158655230493
Diluted Average Shares,-0.2854953412415582,-0.2773409828298294,-0.27394333349160904
Diluted Average Shares,-0.2854953412415582,-0.2773409828298294,-0.27394333349160904
Ordinary Shares Number,-0.28948877101355597,-0.2834192598880118,-0.2760009685123467
Net Income,-0.2042230662255245,-0.17286507257426142,-0.25702992753425147
Net Income,-0.2042230662255245,-0.17286507257426142,-0.25702992753425147
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.20107077247698446,-0.1695874401672455,-0.25408870408658485
Diluted NI Availto Com Stockholders,-0.20107077247698446,-0.1695874401672455,-0.25408870408658485
Tangible Book Value,-0.5321657090075663,-0.5150836296776158,-0.4951842554268593
Tax Rate For Calcs,0.15223994115990472,-1.797386281626552,-1.052737377090058
Tax Rate For Calcs,0.15223994115990472,-1.797386281626552,-1.052737377090058
