,2022-12-31AXON,2021-12-31AXON,2020-12-31AXON
Basic EPS,-0.22788078575450763,-0.3774560795368664,-0.33328619412462623
Basic EPS,-0.22788078575450763,-0.3774560795368664,-0.33328619412462623
Net Income Common Stockholders,-0.34962041821003415,-0.3757094255919373,-0.36836797637071544
Net Income Common Stockholders,-0.34962041821003415,-0.3757094255919373,-0.36836797637071544
Total Liabilities Net Minority Interest,-0.2566675525311826,-0.26058922670325957,-0.26156894869148717
Net Income Including Noncontrolling Interests,-0.35375588606433406,-0.37963610379770507,-0.37235340800393935
Net Income Including Noncontrolling Interests,-0.35375588606433406,-0.37963610379770507,-0.37235340800393935
Net Income From Continuing Operation Net Minority Interest,-0.3469438884560481,-0.37297960551951126,-0.3656531521990948
Net Income From Continuing Operation Net Minority Interest,-0.3469438884560481,-0.37297960551951126,-0.3656531521990948
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.48863230213497555,-0.49527497230538087,-0.4974303884463694
Share Issued,-0.45827713705896905,-0.45863642458639736,-0.46307076309712364
Invested Capital,-0.5082264832173772,-0.5231105612519417,-0.5243017080912945
Net Tangible Assets,-0.14396650231177116,-0.15156029389026712,-0.15317023379775996
Normalized Income,-0.3807928241172647,-0.4075068164995834,-0.39998949643830195
Normalized Income,-0.3807928241172647,-0.4075068164995834,-0.39998949643830195
Basic Average Shares,-0.4335847834590757,-0.43695538570921405,-0.4399870024617355
Basic Average Shares,-0.4335847834590757,-0.43695538570921405,-0.4399870024617355
Operating Revenue,-0.48714732012800466,-0.4929384252160048,-0.49617271468647306
Operating Revenue,-0.48714732012800466,-0.4929384252160048,-0.49617271468647306
Common Stock,-0.2444962146556154,-0.2444962146556154,-0.2444962146556154
Stockholders Equity,-0.4808008654425153,-0.4875263255939063,-0.4897086054593838
Total Assets,-0.2944612381945057,-0.29885707485319796,-0.3000174791173055
Net Income Continuous Operations,-0.34877718864608914,-0.3747099511007241,-0.367412469217271
Net Income Continuous Operations,-0.34877718864608914,-0.3747099511007241,-0.367412469217271
Pretax Income,-0.3542504600247918,-0.38960480850684875,-0.37547072816085114
Pretax Income,-0.3542504600247918,-0.38960480850684875,-0.37547072816085114
Diluted EPS,-0.23525871873697746,-0.3905827700407934,-0.3440912172695832
Diluted EPS,-0.23525871873697746,-0.3905827700407934,-0.3440912172695832
Common Stock Equity,-0.48951107974799185,-0.496525720339117,-0.49880183358356284
Net Income From Continuing And Discontinued Operation,-0.3519615947967909,-0.37794568852460897,-0.37063376201587683
Net Income From Continuing And Discontinued Operation,-0.3519615947967909,-0.37794568852460897,-0.37063376201587683
Total Revenue,-0.48698845097417637,-0.49277921053428875,-0.4960133070299806
Total Revenue,-0.48698845097417637,-0.49277921053428875,-0.4960133070299806
Total Capitalization,-0.5052161974027584,-0.5206027260616864,-0.5218340831493161
Diluted Average Shares,-0.43326998343864254,-0.43758024138910884,-0.44057628857555153
Diluted Average Shares,-0.43326998343864254,-0.43758024138910884,-0.44057628857555153
Ordinary Shares Number,-0.4301162544112516,-0.43050586644625216,-0.43531447102936094
Net Income,-0.3519644972658059,-0.3779486088290647,-0.3706366773014378
Net Income,-0.3519644972658059,-0.3779486088290647,-0.3706366773014378
Capital Stock,-0.2670376530224232,-0.2670376530224232,-0.2670376530224232
Diluted NI Availto Com Stockholders,-0.3494027295877102,-0.3754907002728645,-0.3681495427782088
Diluted NI Availto Com Stockholders,-0.3494027295877102,-0.3754907002728645,-0.3681495427782088
Tangible Book Value,-0.13705436114892922,-0.14499139418006027,-0.146674103810924
Tax Rate For Calcs,0.80211534875539,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.80211534875539,1.0593576975952699,1.0593576975952699
