,2023-03-31VFC,2022-03-31VFC,2021-03-31VFC,2020-03-31VFC
Basic EPS,-0.316220556578988,-0.15359506937937645,-0.2790776983914224,-0.24544835381619406
Basic EPS,-0.316220556578988,-0.15359506937937645,-0.2790776983914224,-0.24544835381619406
Net Income Common Stockholders,-0.3532165873271301,-0.19348182028624542,-0.3167845164800245,-0.28258218383001865
Net Income Common Stockholders,-0.3532165873271301,-0.19348182028624542,-0.3167845164800245,-0.28258218383001865
Total Liabilities Net Minority Interest,-0.2171765470395557,-0.2224492464098999,-0.21876473354986797,-0.2309157597011443
Net Income Including Noncontrolling Interests,-0.35732327513338025,-0.1988668612847279,-0.321182769203104,-0.2872541569330436
Net Income Including Noncontrolling Interests,-0.35732327513338025,-0.1988668612847279,-0.321182769203104,-0.2872541569330436
Net Income From Continuing Operation Net Minority Interest,-0.3505327119123986,-0.21257446727278942,-0.3208315059291505,-0.28636472446637523
Net Income From Continuing Operation Net Minority Interest,-0.3505327119123986,-0.21257446727278942,-0.3208315059291505,-0.28636472446637523
Tax Effect Of Unusual Items,-0.2975279731839182,0.13389659525668027,0.12324105185586151,-0.009245523799849904
Tax Effect Of Unusual Items,-0.2975279731839182,0.13389659525668027,0.12324105185586151,-0.009245523799849904
Total Equity Gross Minority Interest,-0.4391914019773297,-0.4205363978089018,-0.43481243959049665,-0.42574538537950796
Share Issued,-0.27359086454997855,-0.27381919908876506,-0.2715535517483367,-0.2734996771298665
Invested Capital,-0.38153066225170323,-0.3916195565236049,-0.39451002671237,-0.4208299895384446
Net Tangible Assets,-0.255558863461399,-0.2596950288801935,-0.27618370006288057,-0.1804232051108971
Normalized Income,-0.3095963327565958,-0.24254775427897401,-0.3519587249282957,-0.2759137811956761
Normalized Income,-0.3095963327565958,-0.24254775427897401,-0.3519587249282957,-0.2759137811956761
Basic Average Shares,-0.21584332802225017,-0.2141050819005958,-0.21454239382044238,-0.21058458342635905
Basic Average Shares,-0.21584332802225017,-0.2141050819005958,-0.21454239382044238,-0.21058458342635905
Operating Revenue,-0.30231410900860234,-0.2982465525906465,-0.3444083036490176,-0.3222456763432547
Operating Revenue,-0.30231410900860234,-0.2982465525906465,-0.3444083036490176,-0.3222456763432547
Common Stock,-0.23417895188172622,-0.2341886145268394,-0.2340919880757074,-0.23417502311393293
Stockholders Equity,-0.4307437656123039,-0.41185625743558235,-0.4263102266465586,-0.41713016648668694
Total Assets,-0.2523850045851327,-0.254833893621243,-0.25327823259245913,-0.2631782673155405
Net Income Continuous Operations,-0.3523518206010417,-0.2149391125824087,-0.32276806389089313,-0.28843757650422946
Net Income Continuous Operations,-0.3523518206010417,-0.2149391125824087,-0.32276806389089313,-0.28843757650422946
Pretax Income,-0.37028329341362815,-0.21543211969132406,-0.32705100840755014,-0.29872341686040893
Pretax Income,-0.37028329341362815,-0.21543211969132406,-0.32705100840755014,-0.29872341686040893
Diluted EPS,-0.32612857188070654,-0.15601175378605098,-0.28756171560458893,-0.2526930510261813
Diluted EPS,-0.32612857188070654,-0.15601175378605098,-0.28756171560458893,-0.2526930510261813
Common Stock Equity,-0.43730163140706513,-0.4176020006696444,-0.43267745972343397,-0.4231026765596249
Net Income From Continuing And Discontinued Operation,-0.3555433023731598,-0.19645088855980025,-0.3192577385058908,-0.2851929462246701
Net Income From Continuing And Discontinued Operation,-0.3555433023731598,-0.19645088855980025,-0.3192577385058908,-0.2851929462246701
Total Revenue,-0.3021662679794703,-0.2980989542533939,-0.3442579510581123,-0.32209664609164135
Total Revenue,-0.3021662679794703,-0.2980989542533939,-0.3442579510581123,-0.32209664609164135
Total Capitalization,-0.3903383413905899,-0.3990602276389484,-0.38786878194727914,-0.4360214588728271
Diluted Average Shares,-0.21864998816141143,-0.21590400796626177,-0.21610107162787856,-0.21079054571224018
Diluted Average Shares,-0.21864998816141143,-0.21590400796626177,-0.21610107162787856,-0.21079054571224018
Ordinary Shares Number,-0.21620580997270425,-0.21645341635346094,-0.21399654434007293,-0.216106926171837
Net Income,-0.35554620730065317,-0.19645368428651294,-0.31926061852703064,-0.28519580286379054
Net Income,-0.35554620730065317,-0.19645368428651294,-0.31926061852703064,-0.28519580286379054
Capital Stock,-0.2573545702545551,-0.25736363895760533,-0.25727295192710303,-0.25735088297968856
Diluted NI Availto Com Stockholders,-0.35299875580412854,-0.1932703361305943,-0.31656813265523726,-0.2823671591005216
Diluted NI Availto Com Stockholders,-0.35299875580412854,-0.1932703361305943,-0.31656813265523726,-0.2823671591005216
Tangible Book Value,-0.25369072748990923,-0.25801384871490557,-0.27524781233685247,-0.17515891686812923
Tax Rate For Calcs,0.24701343810091272,0.1387008701683321,0.41627890363755377,-0.7684168862670331
Tax Rate For Calcs,0.24701343810091272,0.1387008701683321,0.41627890363755377,-0.7684168862670331
