,2022-12-31XEL,2021-12-31XEL,2020-12-31XEL
Basic EPS,-0.17216649847315924,-0.1832089698262193,-0.1917417885990384
Basic EPS,-0.17216649847315924,-0.1832089698262193,-0.1917417885990384
Net Income Common Stockholders,-0.14952191148413044,-0.1670273398601184,-0.18264369323150334
Net Income Common Stockholders,-0.14952191148413044,-0.1670273398601184,-0.18264369323150334
Total Liabilities Net Minority Interest,-0.07814327495651197,-0.08759978597861173,-0.09948072352924456
Net Income Including Noncontrolling Interests,-0.1552587624910943,-0.17262409537841442,-0.18811547147933308
Net Income Including Noncontrolling Interests,-0.1552587624910943,-0.17262409537841442,-0.18811547147933308
Net Income From Continuing Operation Net Minority Interest,-0.14725410993458335,-0.16472378111065453,-0.18030823597276116
Net Income From Continuing Operation Net Minority Interest,-0.14725410993458335,-0.16472378111065453,-0.18030823597276116
Tax Effect Of Unusual Items,0.18019782083817432,0.19131935596237243,0.22316738836348524
Tax Effect Of Unusual Items,0.18019782083817432,0.19131935596237243,0.22316738836348524
Total Equity Gross Minority Interest,-0.024802397745147284,-0.05680518230629527,-0.08802520826105581
Share Issued,-0.17351929141991818,-0.17697254938632057,-0.1810689309384935
Invested Capital,0.14911444028987808,0.10826932071824873,0.0455125830301893
Net Tangible Assets,0.38364920714042344,0.3473799240702762,0.31199775422668
Normalized Income,-0.1835413838960271,-0.2006975965586148,-0.22064182273416963
Normalized Income,-0.1835413838960271,-0.2006975965586148,-0.22064182273416963
Basic Average Shares,-0.10635238748669648,-0.11185316635269138,-0.12010433465168373
Basic Average Shares,-0.10635238748669648,-0.11185316635269138,-0.12010433465168373
Operating Revenue,-0.23863977766955333,-0.27173140139551694,-0.3054082467629365
Operating Revenue,-0.23863977766955333,-0.27173140139551694,-0.3054082467629365
Common Stock,-0.09860099792056679,-0.10008755870721268,-0.10178648532052229
Stockholders Equity,-0.01119008258364985,-0.04359172932782623,-0.07520086166433695
Total Assets,-0.07409557768859745,-0.08670115354085293,-0.10141080663305635
Net Income Continuous Operations,-0.14987705547929428,-0.1672776452792733,-0.18280047359004598
Net Income Continuous Operations,-0.14987705547929428,-0.1672776452792733,-0.18280047359004598
Pretax Income,-0.20729699823429495,-0.21503975048921653,-0.22131765772293674
Pretax Income,-0.20729699823429495,-0.21503975048921653,-0.22131765772293674
Diluted EPS,-0.17503102537427334,-0.18612560046740304,-0.19510692316184136
Diluted EPS,-0.17503102537427334,-0.18612560046740304,-0.19510692316184136
Common Stock Equity,0.0002919649984080344,-0.03350288343645953,-0.06647114103472639
Net Income From Continuing And Discontinued Operation,-0.15266775898880608,-0.17010279149152965,-0.1856563456666212
Net Income From Continuing And Discontinued Operation,-0.15266775898880608,-0.17010279149152965,-0.1856563456666212
Total Revenue,-0.2365983121666358,-0.2699184895751228,-0.30369972319043304
Total Revenue,-0.2365983121666358,-0.2699184895751228,-0.30369972319043304
Total Capitalization,0.1405358104554103,0.1044691594405287,0.04993060418626568
Diluted Average Shares,-0.11085616525703333,-0.11561287433054179,-0.12376723274227057
Diluted Average Shares,-0.11085616525703333,-0.11561287433054179,-0.12376723274227057
Ordinary Shares Number,-0.10768801774098397,-0.11143273683352332,-0.11587486028853097
Net Income,-0.15267052466284803,-0.17010556913295027,-0.18565913398397677
Net Income,-0.15267052466284803,-0.17010556913295027,-0.18565913398397677
Capital Stock,-0.13011030222771316,-0.13150548731236458,-0.13309998455196617
Diluted NI Availto Com Stockholders,-0.14931217415977363,-0.16681690692398848,-0.182432639749619
Diluted NI Availto Com Stockholders,-0.14931217415977363,-0.16681690692398848,-0.182432639749619
Tangible Book Value,0.41440972242223806,0.37650105785493665,0.3395196042742296
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
