,2022-12-31DAL,2021-12-31DAL,2020-12-31DAL
Basic EPS,-0.22788078575450763,-0.30969545987036157,-1.3100429783543919
Basic EPS,-0.22788078575450763,-0.30969545987036157,-1.3100429783543919
Net Income Common Stockholders,-0.20216413494573454,-0.33288812526426337,-1.9278971208174116
Net Income Common Stockholders,-0.20216413494573454,-0.33288812526426337,-1.9278971208174116
Total Liabilities Net Minority Interest,0.009988579964930567,0.02190694434018911,0.02976657751159129
Net Income Including Noncontrolling Interests,-0.2074796916054814,-0.3371575012244618,-1.9194016812094203
Net Income Including Noncontrolling Interests,-0.2074796916054814,-0.3371575012244618,-1.9194016812094203
Net Income From Continuing Operation Net Minority Interest,-0.1997888045503945,-0.33024577347673884,-1.921996747900777
Net Income From Continuing Operation Net Minority Interest,-0.1997888045503945,-0.33024577347673884,-1.921996747900777
Tax Effect Of Unusual Items,-0.5466282011497618,-0.3502881707122136,-6.061258243294197
Tax Effect Of Unusual Items,-0.5466282011497618,-0.3502881707122136,-6.061258243294197
Total Equity Gross Minority Interest,-0.32866326752470193,-0.4097992076867846,-0.48063886156484775
Share Issued,-0.10994689008434506,-0.1112406914825436,-0.11271346654655363
Invested Capital,-0.04787383495578037,-0.027991994675496432,-0.029921947372159977
Net Tangible Assets,-0.49793662161448277,-0.5901963971757981,-0.6708213415735008
Normalized Income,-0.16069024742401966,-0.31106372926193987,-0.8933590499631342
Normalized Income,-0.16069024742401966,-0.31106372926193987,-0.8933590499631342
Basic Average Shares,-0.04378102788600453,-0.04515622260250325,-0.04515622260250325
Basic Average Shares,-0.04378102788600453,-0.04515622260250325,-0.04515622260250325
Operating Revenue,0.22359664913497043,-0.0905964363703335,-0.2690003670687225
Operating Revenue,0.22359664913497043,-0.0905964363703335,-0.2690003670687225
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.31883807937478076,-0.4009852458616625,-0.47270779975540383
Total Assets,-0.03216513358909617,-0.03151917809891467,-0.03326816869513711
Net Income Continuous Operations,-0.2022040089785118,-0.33214510403159264,-1.9176017214181715
Net Income Continuous Operations,-0.2022040089785118,-0.33214510403159264,-1.9176017214181715
Pretax Income,-0.17454724883172126,-0.3331690382703849,-2.005708157120674
Pretax Income,-0.17454724883172126,-0.3331690382703849,-2.005708157120674
Diluted EPS,-0.23367377943795895,-0.3192605015849595,-1.372188509232936
Diluted EPS,-0.23367377943795895,-0.3192605015849595,-1.372188509232936
Common Stock Equity,-0.32058423937893754,-0.4062635587881267,-0.48107002950049116
Net Income From Continuing And Discontinued Operation,-0.20509828838548563,-0.33529658865762285,-1.9238914566216097
Net Income From Continuing And Discontinued Operation,-0.20509828838548563,-0.33529658865762285,-1.9238914566216097
Total Revenue,0.38887763118203666,0.02210741865423579,-0.20494503027512467
Total Revenue,0.38887763118203666,0.02210741865423579,-0.20494503027512467
Total Capitalization,-0.06989598504629517,-0.03941906296791167,-0.04055420792116975
Diluted Average Shares,-0.046980357698491175,-0.046980357698491175,-0.050378007036711504
Diluted Average Shares,-0.046980357698491175,-0.046980357698491175,-0.050378007036711504
Ordinary Shares Number,-0.04585471466782329,-0.046730233555001534,-0.047934016556283834
Net Income,-0.20510109004775984,-0.33529947968780405,-1.9238954380607904
Net Income,-0.20510109004775984,-0.33529947968780405,-1.9238954380607904
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.20195230578165715,-0.33267110153169327,-1.9276167163430684
Diluted NI Availto Com Stockholders,-0.20195230578165715,-0.33267110153169327,-1.9276167163430684
Tangible Book Value,-0.5070240264864492,-0.6034539690922658,-0.6877231829892868
Tax Rate For Calcs,1.6279986792413195,1.4384516853593028,0.17931808314304962
Tax Rate For Calcs,1.6279986792413195,1.4384516853593028,0.17931808314304962
