,2022-12-31MAS,2021-12-31MAS,2020-12-31MAS
Basic EPS,-0.1485757642188946,-0.24646054689485683,-0.09383968932027252
Basic EPS,-0.1485757642188946,-0.24646054689485683,-0.09383968932027252
Net Income Common Stockholders,-0.2621107817584703,-0.31701989522559804,-0.21513578331067526
Net Income Common Stockholders,-0.2621107817584703,-0.31701989522559804,-0.21513578331067526
Total Liabilities Net Minority Interest,-0.24067549869782562,-0.24039271824509792,-0.24097907183090095
Net Income Including Noncontrolling Interests,-0.2590759684577347,-0.31242127164396266,-0.21272677060740547
Net Income Including Noncontrolling Interests,-0.2590759684577347,-0.31242127164396266,-0.21272677060740547
Net Income From Continuing Operation Net Minority Interest,-0.25911027789647784,-0.3141585942642417,-0.2636347970499927
Net Income From Continuing Operation Net Minority Interest,-0.25911027789647784,-0.3141585942642417,-0.2636347970499927
Tax Effect Of Unusual Items,0.13326831277621706,0.06979692545124794,0.13798653979860415
Tax Effect Of Unusual Items,0.13326831277621706,0.06979692545124794,0.13798653979860415
Total Equity Gross Minority Interest,-0.534107295601159,-0.5244733435225444,-0.5141469511382794
Share Issued,-0.3751879872294487,-0.36529976759881205,-0.35472745730190497
Invested Capital,-0.49610534875588885,-0.49429185872195497,-0.4907979788400641
Net Tangible Assets,-0.23193913260708088,-0.22402335304708637,-0.21003425985916505
Normalized Income,-0.290278972463003,-0.340391000730303,-0.2956074053194231
Normalized Income,-0.290278972463003,-0.340391000730303,-0.2956074053194231
Basic Average Shares,-0.32363315269349496,-0.31661965963935146,-0.3049305045491123
Basic Average Shares,-0.32363315269349496,-0.31661965963935146,-0.3049305045491123
Operating Revenue,-0.3543185887973457,-0.35972745548352947,-0.38077770058680854
Operating Revenue,-0.3543185887973457,-0.35972745548352947,-0.38077770058680854
Common Stock,-0.22060516533886249,-0.2189062387255529,-0.21710112919891145
Stockholders Equity,-0.5340971850261199,-0.5249223066912214,-0.5135222917501848
Total Assets,-0.2856403344468111,-0.28417465766207173,-0.28341159912981057
Net Income Continuous Operations,-0.2539050419813272,-0.30735865237406856,-0.2592879582503855
Net Income Continuous Operations,-0.2539050419813272,-0.30735865237406856,-0.2592879582503855
Pretax Income,-0.2499867674235923,-0.30282581997407065,-0.25647393823176984
Pretax Income,-0.2499867674235923,-0.30282581997407065,-0.25647393823176984
Diluted EPS,-0.15072862278932253,-0.256919555823564,-0.1000105652207296
Diluted EPS,-0.15072862278932253,-0.256919555823564,-0.1000105652207296
Common Stock Equity,-0.5450990273817924,-0.5355296488503765,-0.5236394575854278
Net Income From Continuing And Discontinued Operation,-0.2643021397616405,-0.3192413069284961,-0.21688888590531308
Net Income From Continuing And Discontinued Operation,-0.2643021397616405,-0.3192413069284961,-0.21688888590531308
Total Revenue,-0.35416764490653424,-0.3595761888711902,-0.3806251780057693
Total Revenue,-0.35416764490653424,-0.3595761888711902,-0.3806251780057693
Total Capitalization,-0.49621171165853656,-0.490983165207166,-0.48725094619418113
Diluted Average Shares,-0.32490807356491397,-0.31199700607967673,-0.30316311780030386
Diluted Average Shares,-0.32490807356491397,-0.31199700607967673,-0.30316311780030386
Ordinary Shares Number,-0.32637791085436335,-0.31565510786590195,-0.30419047573987407
Net Income,-0.2643049820613445,-0.3192441869383574,-0.21689169566063476
Net Income,-0.2643049820613445,-0.3192441869383574,-0.21689169566063476
Capital Stock,-0.24461513524660317,-0.24302063800700158,-0.24132648468992488
Diluted NI Availto Com Stockholders,-0.2618965704994001,-0.31680350204758484,-0.2149234386932696
Diluted NI Availto Com Stockholders,-0.2618965704994001,-0.31680350204758484,-0.2149234386932696
Tangible Book Value,-0.22900337835222337,-0.22072980339491957,-0.20610839937554648
Tax Rate For Calcs,0.6531855678480911,1.6009205372581743,0.6531855678480911
Tax Rate For Calcs,0.6531855678480911,1.6009205372581743,0.6531855678480911
