,2022-12-31ETSY,2021-12-31ETSY,2020-12-31ETSY
Basic EPS,-0.6068383253708864,-0.13703136234978638,-0.18722441395460476
Basic EPS,-0.6068383253708864,-0.13703136234978638,-0.18722441395460476
Net Income Common Stockholders,-0.4555883324699077,-0.30599940946374493,-0.32416739941301403
Net Income Common Stockholders,-0.4555883324699077,-0.30599940946374493,-0.32416739941301403
Total Liabilities Net Minority Interest,-0.25001875199007184,-0.24993160986673496,-0.25634043376688165
Net Income Including Noncontrolling Interests,-0.4588757418584283,-0.3104839751181809,-0.3285065671157182
Net Income Including Noncontrolling Interests,-0.4588757418584283,-0.3104839751181809,-0.3285065671157182
Net Income From Continuing Operation Net Minority Interest,-0.45269534895006275,-0.30341198150703075,-0.3215428608849531
Net Income From Continuing Operation Net Minority Interest,-0.45269534895006275,-0.30341198150703075,-0.3215428608849531
Tax Effect Of Unusual Items,-0.4804884317661556,0.14633021876337188,0.13301003197376834
Tax Effect Of Unusual Items,-0.4804884317661556,0.14633021876337188,0.13301003197376834
Total Equity Gross Minority Interest,-0.5432979052475558,-0.5078963527113733,-0.5044701279729148
Share Issued,-0.43753086246012424,-0.4363070615722027,-0.43704475198597664
Invested Capital,-0.5117218937514069,-0.4922281902509545,-0.5105180524818165
Net Tangible Assets,-0.22693731527786987,-0.23134596093617354,-0.17116624683131526
Normalized Income,-0.3828170199337043,-0.3374136937374244,-0.351851124472366
Normalized Income,-0.3828170199337043,-0.3374136937374244,-0.351851124472366
Basic Average Shares,-0.3952954941290137,-0.3949885864233538,-0.3990958708567575
Basic Average Shares,-0.3952954941290137,-0.3949885864233538,-0.3990958708567575
Operating Revenue,-0.46274222989611735,-0.46694513211915173,-0.47764739948826107
Operating Revenue,-0.46274222989611735,-0.46694513211915173,-0.47764739948826107
Common Stock,-0.24448304797436227,-0.2444828356085356,-0.24448294179144894
Stockholders Equity,-0.5361477855746314,-0.5003050107910475,-0.49683608378472477
Total Assets,-0.2952807063953919,-0.2907595921467793,-0.29615131840552705
Net Income Continuous Operations,-0.4541104697513191,-0.305417422546527,-0.32347660589282035
Net Income Continuous Operations,-0.4541104697513191,-0.305417422546527,-0.32347660589282035
Pretax Income,-0.44407643083345605,-0.32546248861384447,-0.3365477033117859
Pretax Income,-0.44407643083345605,-0.32546248861384447,-0.3365477033117859
Diluted EPS,-0.6320218565912827,-0.16287982408179794,-0.2003900541585698
Diluted EPS,-0.6320218565912827,-0.16287982408179794,-0.2003900541585698
Common Stock Equity,-0.5472377993795415,-0.5098538617401984,-0.5062357782725313
Net Income From Continuing And Discontinued Operation,-0.4575033724490873,-0.30851600243777394,-0.32661093210594233
Net Income From Continuing And Discontinued Operation,-0.4575033724490873,-0.30851600243777394,-0.32661093210594233
Total Revenue,-0.4625848168787522,-0.4667874683344623,-0.477489097149827
Total Revenue,-0.4625848168787522,-0.4667874683344623,-0.477489097149827
Total Capitalization,-0.5088296045773022,-0.4886778405995925,-0.5075851245260463
Diluted Average Shares,-0.3964091399124607,-0.3828833031150256,-0.38986121321185796
Diluted Average Shares,-0.3964091399124607,-0.3828833031150256,-0.38986121321185796
Ordinary Shares Number,-0.39398263585071985,-0.39265554398702085,-0.39345549678629593
Net Income,-0.45750634736181117,-0.30851887508580317,-0.3266138171743026
Net Income,-0.45750634736181117,-0.30851887508580317,-0.3266138171743026
Capital Stock,-0.26702529566881633,-0.26702509635666133,-0.26702519601273883
Diluted NI Availto Com Stockholders,-0.45536643300925705,-0.3051663808926007,-0.32169903428842
Diluted NI Availto Com Stockholders,-0.45536643300925705,-0.3051663808926007,-0.32169903428842
Tangible Book Value,-0.223775477514116,-0.2283833951598409,-0.1654835415469388
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,-1.9869332755085685
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,-1.9869332755085685
