,2023-10-31KEYS,2022-10-31KEYS,2021-10-31KEYS,2020-10-31KEYS
Basic EPS,-0.03313174552781232,-0.01907769107846316,-0.08884603280916073,-0.1636336797003401
Basic EPS,-0.03313174552781232,-0.01907769107846316,-0.08884603280916073,-0.1636336797003401
Net Income Common Stockholders,-0.23503404002582703,-0.22659617167193358,-0.2555619884091798,-0.28918752349111354
Net Income Common Stockholders,-0.23503404002582703,-0.22659617167193358,-0.2555619884091798,-0.28918752349111354
Total Liabilities Net Minority Interest,-0.24649744919516056,-0.24688003451355686,-0.24663052234938537,-0.24694657109066925
Net Income Including Noncontrolling Interests,-0.24008653968886665,-0.2317161993762735,-0.2604502034344291,-0.2938066342323749
Net Income Including Noncontrolling Interests,-0.24008653968886665,-0.2317161993762735,-0.2604502034344291,-0.2938066342323749
Net Income From Continuing Operation Net Minority Interest,-0.23259156841337703,-0.22417093554433554,-0.2530775856917914,-0.28663443608035977
Net Income From Continuing Operation Net Minority Interest,-0.23259156841337703,-0.22417093554433554,-0.2530775856917914,-0.28663443608035977
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.3867078287983551,-0.4015501362194708,-0.41290013601208864,-0.4275618068317303
Share Issued,-0.3909220725536692,-0.3915439731593696,-0.39278777437077045,-0.3934096749764709
Invested Capital,-0.4332654234515939,-0.4414843599356611,-0.4477899812463118,-0.45592573011414345
Net Tangible Assets,-0.08774911355304289,-0.1037512713704456,-0.12101585954870948,-0.13756393319783594
Normalized Income,-0.26346142897749686,-0.2548214241038244,-0.28448114232687893,-0.3189122065249466
Normalized Income,-0.26346142897749686,-0.2548214241038244,-0.28448114232687893,-0.3189122065249466
Basic Average Shares,-0.36007581268071115,-0.35870061796421243,-0.3552626311729656,-0.35388743645646686
Basic Average Shares,-0.36007581268071115,-0.35870061796421243,-0.3552626311729656,-0.35388743645646686
Operating Revenue,-0.4113510978555981,-0.41213139337753935,-0.4206259741732181,-0.4333944463504388
Operating Revenue,-0.4113510978555981,-0.41213139337753935,-0.4206259741732181,-0.4333944463504388
Common Stock,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503,-0.24428395501186503
Stockholders Equity,-0.3776060708355259,-0.39263336325780146,-0.4041248221689534,-0.41896922665099845
Total Assets,-0.2724341333142114,-0.2746439810437797,-0.2758414540869817,-0.2779681964318483
Net Income Continuous Operations,-0.23487705889070265,-0.2264897242389142,-0.2552820670734119,-0.2887062215812853
Net Income Continuous Operations,-0.23487705889070265,-0.2264897242389142,-0.2552820670734119,-0.2887062215812853
Pretax Income,-0.23282715431809042,-0.24036064299855467,-0.2691343844864389,-0.29518769950637774
Pretax Income,-0.23282715431809042,-0.24036064299855467,-0.2691343844864389,-0.29518769950637774
Diluted EPS,-0.03027323606391427,-0.016008782372747526,-0.08997261632694555,-0.16763464197885353
Diluted EPS,-0.03027323606391427,-0.016008782372747526,-0.08997261632694555,-0.16763464197885353
Common Stock Equity,-0.3818791291084057,-0.39755256304856534,-0.4095381301792757,-0.4250208123879121
Net Income From Continuing And Discontinued Operation,-0.23783601128628315,-0.22943207475619337,-0.258281409113218,-0.29177172334506835
Net Income From Continuing And Discontinued Operation,-0.23783601128628315,-0.22943207475619337,-0.258281409113218,-0.29177172334506835
Total Revenue,-0.4111967511043492,-0.41197700006974225,-0.4204710740339068,-0.4332387843767012
Total Revenue,-0.4111967511043492,-0.41197700006974225,-0.4204710740339068,-0.4332387843767012
Total Capitalization,-0.43802693322108094,-0.43622102079544306,-0.44273950469369777,-0.4511498968473826
Diluted Average Shares,-0.3609231565500494,-0.35888456694711723,-0.3554869176088969,-0.3541278578736088
Diluted Average Shares,-0.3609231565500494,-0.35888456694711723,-0.3554869176088969,-0.3541278578736088
Ordinary Shares Number,-0.36056949019492884,-0.35793936870719306,-0.3556464422819875,-0.3533535158567819
Net Income,-0.23783883541967848,-0.22943489312114,-0.25828424728030197,-0.29177458449985094
Net Income,-0.23783883541967848,-0.22943489312114,-0.25828424728030197,-0.29177458449985094
Capital Stock,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.2348209047130246,-0.22638337165401456,-0.25534803737897444,-0.2889722362857756
Diluted NI Availto Com Stockholders,-0.2348209047130246,-0.22638337165401456,-0.25534803737897444,-0.2889722362857756
Tangible Book Value,-0.078295931069612,-0.09502139078933389,-0.11306634306690165,-0.13036239416298934
Tax Rate For Calcs,0.382404148016639,-0.8361122412248962,-1.1068936610563487,-0.15915869164626567
Tax Rate For Calcs,0.382404148016639,-0.8361122412248962,-1.1068936610563487,-0.15915869164626567
