,2022-12-31PAYC,2021-12-31PAYC,2020-12-31PAYC
Basic EPS,-0.08784217177706434,-0.16162595763614737,-0.2067997040804839
Basic EPS,-0.08784217177706434,-0.16162595763614737,-0.2067997040804839
Net Income Common Stockholders,-0.33271319691883716,-0.34347198282338587,-0.35008462690783193
Net Income Common Stockholders,-0.33271319691883716,-0.34347198282338587,-0.35008462690783193
Total Liabilities Net Minority Interest,-0.25194136381255927,-0.25359843647286323,-0.2551336099653612
Net Income Including Noncontrolling Interests,-0.33698397282604103,-0.34765665644640703,-0.3542163797119791
Net Income Including Noncontrolling Interests,-0.33698397282604103,-0.34765665644640703,-0.3542163797119791
Net Income From Continuing Operation Net Minority Interest,-0.33007120244606575,-0.340808012078444,-0.347407148944933
Net Income From Continuing Operation Net Minority Interest,-0.33007120244606575,-0.340808012078444,-0.347407148944933
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4912179344484747,-0.4999153760667473,-0.5070827654583344
Share Issued,-0.47642221162657383,-0.47655902975982795,-0.476830800324519
Invested Capital,-0.5203860337200432,-0.5251899189073642,-0.5291218980513978
Net Tangible Assets,-0.14856069111338194,-0.15855449928683296,-0.164708403739418
Normalized Income,-0.3634805755457644,-0.37449709758088323,-0.3812681533406133
Normalized Income,-0.3634805755457644,-0.37449709758088323,-0.3812681533406133
Basic Average Shares,-0.44263700268042855,-0.4426665693668333,-0.44284878266676936
Basic Average Shares,-0.44263700268042855,-0.4426665693668333,-0.44284878266676936
Operating Revenue,-0.4838615134190991,-0.489530963341633,-0.4933276330755513
Operating Revenue,-0.4838615134190991,-0.489530963341633,-0.4933276330755513
Common Stock,-0.24442995651769633,-0.244430168883523,-0.24443069979808965
Stockholders Equity,-0.48341872341897524,-0.49222456437181183,-0.4994812835082491
Total Assets,-0.2904925065504179,-0.2930890511900383,-0.2953828844658827
Net Income Continuous Operations,-0.33197122331769213,-0.3426655757351195,-0.3492386172360368
Net Income Continuous Operations,-0.33197122331769213,-0.3426655757351195,-0.3492386172360368
Pretax Income,-0.33405024718242476,-0.34803072806477076,-0.35535767359724557
Pretax Income,-0.33405024718242476,-0.34803072806477076,-0.35535767359724557
Diluted EPS,-0.08680273772890851,-0.16446476338081645,-0.2125412554510452
Diluted EPS,-0.08680273772890851,-0.16446476338081645,-0.2125412554510452
Common Stock Equity,-0.49224150003301553,-0.5014259733621728,-0.5089947159414178
Net Income From Continuing And Discontinued Operation,-0.3351223637644842,-0.34583788456790265,-0.35242393673783434
Net Income From Continuing And Discontinued Operation,-0.3351223637644842,-0.34583788456790265,-0.35242393673783434
Total Revenue,-0.48370284031383753,-0.48937195196707267,-0.4931683951716406
Total Revenue,-0.48370284031383753,-0.48937195196707267,-0.4931683951716406
Total Capitalization,-0.5177862250426617,-0.5227828063427505,-0.5268475196320442
Diluted Average Shares,-0.44302735280814365,-0.44301648033026136,-0.4429526045227028
Diluted Average Shares,-0.44302735280814365,-0.44301648033026136,-0.4429526045227028
Ordinary Shares Number,-0.439293072663612,-0.43919528609547825,-0.4393793945996197
Net Income,-0.33512525467507764,-0.34584078283361264,-0.3524268395242001
Net Income,-0.33512525467507764,-0.34584078283361264,-0.3524268395242001
Capital Stock,-0.26697546763007873,-0.2669756669422337,-0.2669761652226211
Diluted NI Availto Com Stockholders,-0.33249618013738036,-0.3432545385209351,-0.349866919839285
Diluted NI Availto Com Stockholders,-0.33249618013738036,-0.3432545385209351,-0.349866919839285
Tangible Book Value,-0.14185620853869646,-0.1523017395701366,-0.15873380218414188
Tax Rate For Calcs,1.1947484075109962,0.5177948579323652,0.5177948579323652
Tax Rate For Calcs,1.1947484075109962,0.5177948579323652,0.5177948579323652
