,2022-12-31TYL,2021-12-31TYL,2020-12-31TYL
Basic EPS,-0.13351784873744907,-0.13351784873744907,-0.08734024126101617
Basic EPS,-0.13351784873744907,-0.13351784873744907,-0.08734024126101617
Net Income Common Stockholders,-0.34746674676645306,-0.34781710721064013,-0.3436155525237357
Net Income Common Stockholders,-0.34746674676645306,-0.34781710721064013,-0.3436155525237357
Total Liabilities Net Minority Interest,-0.2546730146688367,-0.25323789971270755,-0.2606690622787223
Net Income Including Noncontrolling Interests,-0.35161945039738396,-0.3519670069160352,-0.3477990771621735
Net Income Including Noncontrolling Interests,-0.35161945039738396,-0.3519670069160352,-0.3477990771621735
Net Income From Continuing Operation Net Minority Interest,-0.344794616177041,-0.34514426096273765,-0.34095128851830536
Net Income From Continuing Operation Net Minority Interest,-0.344794616177041,-0.34514426096273765,-0.34095128851830536
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.44781150102407113,-0.45685407897556,-0.4670275624766773
Share Issued,-0.4853589426094076,-0.4853589426094076,-0.4853589426094076
Invested Capital,-0.48045313291052905,-0.4795625262911118,-0.5075002054150716
Net Tangible Assets,-0.21652629093002398,-0.22339636871435165,-0.15743888616496596
Normalized Income,-0.37858755958973234,-0.37894631322493466,-0.3746441066190323
Normalized Income,-0.37858755958973234,-0.37894631322493466,-0.3746441066190323
Basic Average Shares,-0.4539025977979861,-0.45438116555932767,-0.4549401822115844
Basic Average Shares,-0.4539025977979861,-0.45438116555932767,-0.4549401822115844
Operating Revenue,-0.47543811685580833,-0.48001201413154754,-0.4884467249799065
Operating Revenue,-0.47543811685580833,-0.48001201413154754,-0.4884467249799065
Common Stock,-0.24444524685721614,-0.24444524685721614,-0.24444524685721614
Stockholders Equity,-0.43947130004539847,-0.4486265788893689,-0.458926858164476
Total Assets,-0.28752751796524,-0.28735849672282665,-0.295385294522039
Net Income Continuous Operations,-0.3466364153642946,-0.34698467752849277,-0.34280828560829923
Net Income Continuous Operations,-0.3466364153642946,-0.34698467752849277,-0.34280828560829923
Pretax Income,-0.3551842987258077,-0.3581780234219944,-0.35649753228731473
Pretax Income,-0.3551842987258077,-0.3581780234219944,-0.35649753228731473
Diluted EPS,-0.1380491083971743,-0.14069067389553852,-0.09472743422400114
Diluted EPS,-0.1380491083971743,-0.14069067389553852,-0.09472743422400114
Common Stock Equity,-0.44640443120317524,-0.4559533675073629,-0.4666965368187071
Net Income From Continuing And Discontinued Operation,-0.34981658407140187,-0.3501655355852334,-0.3459808769208027
Net Income From Continuing And Discontinued Operation,-0.34981658407140187,-0.3501655355852334,-0.3459808769208027
Total Revenue,-0.475279946334834,-0.4798535707077264,-0.4882877782967281
Total Revenue,-0.475279946334834,-0.4798535707077264,-0.4882877782967281
Total Capitalization,-0.4770212606637428,-0.47610058930998667,-0.5044654022111739
Diluted Average Shares,-0.45374761600009644,-0.45385294312958124,-0.4543408455745497
Diluted Average Shares,-0.45374761600009644,-0.45385294312958124,-0.4543408455745497
Ordinary Shares Number,-0.45013997827166724,-0.45045535613926163,-0.450978674109237
Net Income,-0.3498194850680849,-0.35016843682143617,-0.3459837752846624
Net Income,-0.3498194850680849,-0.35016843682143617,-0.3459837752846624
Capital Stock,-0.26698981810523514,-0.26698981810523514,-0.26698981810523514
Diluted NI Availto Com Stockholders,-0.3472491437243948,-0.3475994902463376,-0.3433981025162675
Diluted NI Availto Com Stockholders,-0.3472491437243948,-0.3475994902463376,-0.3433981025162675
Tangible Book Value,-0.21289387202328833,-0.22007447919916348,-0.1511357004305721
Tax Rate For Calcs,-0.917346667174332,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,-0.917346667174332,1.0593576975952699,1.0593576975952699
