,2022-12-31NDAQ,2021-12-31NDAQ,2020-12-31NDAQ
Basic EPS,-0.21734024491749582,-0.21232093975701394,-0.23691553504337495
Basic EPS,-0.21734024491749582,-0.21232093975701394,-0.23691553504337495
Net Income Common Stockholders,-0.22647023333829336,-0.21866205665260088,-0.250650393397212
Net Income Common Stockholders,-0.22647023333829336,-0.21866205665260088,-0.250650393397212
Total Liabilities Net Minority Interest,-0.20210507665298158,-0.20623866150608938,-0.21525020916874998
Net Income Including Noncontrolling Interests,-0.23184112982870025,-0.2238455808733874,-0.25557791578978534
Net Income Including Noncontrolling Interests,-0.23184112982870025,-0.2238455808733874,-0.25557791578978534
Net Income From Continuing Operation Net Minority Interest,-0.2240452544567379,-0.21625302702568458,-0.2481760232754837
Net Income From Continuing Operation Net Minority Interest,-0.2240452544567379,-0.21625302702568458,-0.2481760232754837
Tax Effect Of Unusual Items,0.07085571806281933,0.1143841708128059,0.08364267498718148
Tax Effect Of Unusual Items,0.07085571806281933,0.1143841708128059,0.08364267498718148
Total Equity Gross Minority Interest,-0.3412476174273923,-0.33399204726818565,-0.33305875816056985
Share Issued,-0.19616915277696237,-0.19175416408168183,-0.19574709806520196
Invested Capital,-0.3483807798448921,-0.3371504516530999,-0.3413264699881219
Net Tangible Assets,-0.3398257488514889,-0.35081230496492954,-0.27646539263205
Normalized Income,-0.24517337567645803,-0.24330365283073602,-0.2714089439083092
Normalized Income,-0.24517337567645803,-0.24330365283073602,-0.2714089439083092
Basic Average Shares,-0.14388091016082574,-0.14025205321890247,-0.14334512536051217
Basic Average Shares,-0.14388091016082574,-0.14025205321890247,-0.14334512536051217
Operating Revenue,-0.3980328720151915,-0.40455898001688206,-0.40904567926804436
Operating Revenue,-0.3980328720151915,-0.40455898001688206,-0.40904567926804436
Common Stock,-0.2439654062718695,-0.2439654062718695,-0.24428395501186503
Stockholders Equity,-0.3319755297480075,-0.32453808684529906,-0.32337979655717236
Total Assets,-0.22640508274192103,-0.22924955340921152,-0.2373183307602507
Net Income Continuous Operations,-0.22661490833819461,-0.21860312598424744,-0.2503998872014753
Net Income Continuous Operations,-0.22661490833819461,-0.21860312598424744,-0.2503998872014753
Pretax Income,-0.2204806034251074,-0.21430732797861585,-0.24799876346624758
Pretax Income,-0.2204806034251074,-0.21430732797861585,-0.24799876346624758
Diluted EPS,-0.22310751744450208,-0.21835269954744643,-0.24406395467529485
Diluted EPS,-0.22310751744450208,-0.21835269954744643,-0.24406395467529485
Common Stock Equity,-0.33428657209335705,-0.3265293350114119,-0.3253212407117647
Net Income From Continuing And Discontinued Operation,-0.22930664286768457,-0.22152986578013878,-0.2533895654613747
Net Income From Continuing And Discontinued Operation,-0.22930664286768457,-0.22152986578013878,-0.2533895654613747
Total Revenue,-0.3976842576582252,-0.4037134542089892,-0.40834174920825217
Total Revenue,-0.3976842576582252,-0.4037134542089892,-0.40834174920825217
Total Capitalization,-0.35139473428833956,-0.3458738020156753,-0.3326820417255398
Diluted Average Shares,-0.14424991760829042,-0.13933691598569395,-0.14231839812895355
Diluted Average Shares,-0.14424991760829042,-0.13933691598569395,-0.14231839812895355
Ordinary Shares Number,-0.14679288454621087,-0.14109670635243843,-0.144629074831179
Net Income,-0.22930946114653494,-0.2215326787210217,-0.253392400270705
Net Income,-0.22930946114653494,-0.2215326787210217,-0.253392400270705
Capital Stock,-0.2665394722911252,-0.2665394722911252,-0.2668384405235505
Diluted NI Availto Com Stockholders,-0.22625743832477563,-0.21844957191196035,-0.25043663753865514
Diluted NI Availto Com Stockholders,-0.22625743832477563,-0.21844957191196035,-0.25043663753865514
Tangible Book Value,-0.34176649910651047,-0.35324965055587176,-0.2755422374870572
Tax Rate For Calcs,0.6396464968565185,0.4636385739660748,0.5177948579323652
Tax Rate For Calcs,0.6396464968565185,0.4636385739660748,0.5177948579323652
