,2022-12-31GRMN,2021-12-31GRMN,2020-12-31GRMN
Basic EPS,-0.0778035614561007,-0.049193522041354215,-0.07127846474747428
Basic EPS,-0.0778035614561007,-0.049193522041354215,-0.07127846474747428
Net Income Common Stockholders,-0.24553918612642442,-0.23186039401809397,-0.2431792276923407
Net Income Common Stockholders,-0.24553918612642442,-0.23186039401809397,-0.2431792276923407
Total Liabilities Net Minority Interest,-0.25690281339224386,-0.25601522377063657,-0.25695094013017644
Net Income Including Noncontrolling Interests,-0.2505076133780451,-0.2369382922877122,-0.24816654163002
Net Income Including Noncontrolling Interests,-0.2505076133780451,-0.2369382922877122,-0.24816654163002
Net Income From Continuing Operation Net Minority Interest,-0.2430752563353337,-0.22942440500591665,-0.24072011843484162
Net Income From Continuing Operation Net Minority Interest,-0.2430752563353337,-0.22942440500591665,-0.24072011843484162
Tax Effect Of Unusual Items,0.1332473620235083,0.12283993168430798,0.13676319166865458
Tax Effect Of Unusual Items,0.1332473620235083,0.12283993168430798,0.13676319166865458
Total Equity Gross Minority Interest,-0.34003313734348195,-0.34274813556973677,-0.36075287807895845
Share Issued,-0.3921179874184311,-0.3921179874184311,-0.396164072759118
Invested Capital,-0.4373193223659822,-0.4388197108499289,-0.448769665165194
Net Tangible Assets,0.0009241655925447882,-0.0036751411699884034,-0.025359463921887856
Normalized Income,-0.27288915210299386,-0.2549774847011116,-0.2721293646163962
Normalized Income,-0.27288915210299386,-0.2549774847011116,-0.2721293646163962
Basic Average Shares,-0.3500753967023324,-0.3503256821407352,-0.3510786012480182
Basic Average Shares,-0.3500753967023324,-0.3503256821407352,-0.3510786012480182
Operating Revenue,-0.4220573553722628,-0.41988478209731955,-0.4340049743943904
Operating Revenue,-0.4220573553722628,-0.41988478209731955,-0.4340049743943904
Common Stock,-0.24258725823973543,-0.24258725823973543,-0.24258725823973543
Stockholders Equity,-0.33034965595935806,-0.33309849218234633,-0.3513276342555613
Total Assets,-0.27602968778333103,-0.2755640823105047,-0.2786731831877904
Net Income Continuous Operations,-0.24531929053217927,-0.23172241958883594,-0.2429734656957634
Net Income Continuous Operations,-0.24531929053217927,-0.23172241958883594,-0.2429734656957634
Pretax Income,-0.26338235661533,-0.2485432672869856,-0.25936072924140885
Pretax Income,-0.26338235661533,-0.2485432672869856,-0.25936072924140885
Diluted EPS,-0.07623647573545164,-0.046122629054099556,-0.06936840543970468
Diluted EPS,-0.07623647573545164,-0.046122629054099556,-0.06936840543970468
Common Stock Equity,-0.3325907892001154,-0.335457819516865,-0.35447077581275727
Net Income From Continuing And Discontinued Operation,-0.24829891226624493,-0.23467512769586132,-0.24594844410747846
Net Income From Continuing And Discontinued Operation,-0.24829891226624493,-0.23467512769586132,-0.24594844410747846
Total Revenue,-0.42190236982919616,-0.4197299261814387,-0.4338492759933282
Total Revenue,-0.42190236982919616,-0.4197299261814387,-0.4338492759933282
Total Capitalization,-0.4319153815894033,-0.4334664195747028,-0.4437522603819955
Diluted Average Shares,-0.3513811981485915,-0.3513805186187238,-0.3521606189067792
Diluted Average Shares,-0.3513811981485915,-0.3513805186187238,-0.3521606189067792
Ordinary Shares Number,-0.34908934709602457,-0.34842507282284,-0.34912441538252775
Net Income,-0.24830174358135892,-0.23467794965963118,-0.24595127380923484
Net Income,-0.24830174358135892,-0.23467794965963118,-0.24595127380923484
Capital Stock,-0.2652460360615759,-0.2652460360615759,-0.2652460360615759
Diluted NI Availto Com Stockholders,-0.2453256333714921,-0.23164738481620292,-0.24296576871488332
Diluted NI Availto Com Stockholders,-0.2453256333714921,-0.23164738481620292,-0.24296576871488332
Tangible Book Value,0.01438540450328659,0.009578207819365926,-0.01308625224125918
Tax Rate For Calcs,-1.4343631711295155,-1.1983500856044216,-1.2331454980527632
Tax Rate For Calcs,-1.4343631711295155,-1.1983500856044216,-1.2331454980527632
