,2022-12-31EG,2021-12-31EG,2020-12-31EG
Basic EPS,0.43065205130070944,1.4079107660465233,0.31119258848124176
Basic EPS,0.43065205130070944,1.4079107660465233,0.31119258848124176
Net Income Common Stockholders,-0.2939731801694412,-0.1967487865992059,-0.3041741851942975
Net Income Common Stockholders,-0.2939731801694412,-0.1967487865992059,-0.3041741851942975
Total Liabilities Net Minority Interest,-0.13215434142750218,-0.14662604694944906,-0.16766687961995064
Net Income Including Noncontrolling Interests,-0.2975545478051778,-0.19985893400744884,-0.3079237753565992
Net Income Including Noncontrolling Interests,-0.2975545478051778,-0.19985893400744884,-0.3079237753565992
Net Income From Continuing Operation Net Minority Interest,-0.2904048687082888,-0.1921222582069388,-0.3008363989788924
Net Income From Continuing Operation Net Minority Interest,-0.2904048687082888,-0.1921222582069388,-0.3008363989788924
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.27269602716800007,-0.22154576285060548,-0.23400438967866993
Share Issued,-0.47183134135529337,-0.4718997504219204,-0.4720054735248895
Invested Capital,-0.3487967179260696,-0.320446378313012,-0.3469405027324372
Net Tangible Assets,0.10270727223958373,0.16067670962075045,0.14655714254904711
Normalized Income,-0.3227808654236059,-0.2219378234652205,-0.3334841550432299
Normalized Income,-0.3227808654236059,-0.2219378234652205,-0.3334841550432299
Basic Average Shares,-0.4556518454773725,-0.4556518454773725,-0.4549642481191231
Basic Average Shares,-0.4556518454773725,-0.4556518454773725,-0.4549642481191231
Operating Revenue,-0.29570775470607574,-0.30785553726357046,-0.34004272754364756
Operating Revenue,-0.29570775470607574,-0.30785553726357046,-0.34004272754364756
Common Stock,-0.2443901379251969,-0.2443901379251969,-0.24442241753084978
Stockholders Equity,-0.2621732992266868,-0.21038553081807376,-0.22299943398106722
Total Assets,-0.15426205378586016,-0.1609898124292126,-0.181666043058698
Net Income Continuous Operations,-0.29246174455969803,-0.1945677789224059,-0.30285202479997325
Net Income Continuous Operations,-0.29246174455969803,-0.1945677789224059,-0.30285202479997325
Pretax Income,-0.3132889986969376,-0.2130517465318718,-0.3136028940586236
Pretax Income,-0.3132889986969376,-0.2130517465318718,-0.3136028940586236
Diluted EPS,0.4600013204324842,1.4865136730968187,0.332677863411329
Diluted EPS,0.4600013204324842,1.4865136730968187,0.332677863411329
Common Stock Equity,-0.26148299456198665,-0.20746846258565552,-0.22062473667663446
Net Income From Continuing And Discontinued Operation,-0.2955346800003324,-0.19744694318644865,-0.30594552674656306
Net Income From Continuing And Discontinued Operation,-0.2955346800003324,-0.19744694318644865,-0.30594552674656306
Total Revenue,-0.29556030784690157,-0.3077073656035879,-0.3398926354260488
Total Revenue,-0.29556030784690157,-0.3077073656035879,-0.3398926354260488
Total Capitalization,-0.3807709097453819,-0.3514463317862149,-0.36216399205322664
Diluted Average Shares,-0.4560573380202186,-0.4560573380202186,-0.45537780815257456
Diluted Average Shares,-0.4560573380202186,-0.4560573380202186,-0.45537780815257456
Ordinary Shares Number,-0.4519493521406217,-0.45183740337986167,-0.4513531912700683
Net Income,-0.2955375437380025,-0.19744973959685166,-0.30594839763022186
Net Income,-0.2955375437380025,-0.19744973959685166,-0.30594839763022186
Capital Stock,-0.2669380966010256,-0.2669380966010256,-0.26696839204857803
Diluted NI Availto Com Stockholders,-0.2937577027968559,-0.19653717262438206,-0.3039583024652113
Diluted NI Availto Com Stockholders,-0.2937577027968559,-0.19653717262438206,-0.3039583024652113
Tangible Book Value,0.12076913535999913,0.18135880713784028,0.16660103177951577
Tax Rate For Calcs,0.24701343810091272,-1.1336874825486707,-0.9529815020241511
Tax Rate For Calcs,0.24701343810091272,-1.1336874825486707,-0.9529815020241511
