,2022-12-31FRT,2021-12-31FRT,2020-12-31FRT
Basic EPS,-0.09537112951778712,-0.1681510543447738,-0.2504676589766759
Basic EPS,-0.09537112951778712,-0.1681510543447738,-0.2504676589766759
Net Income Common Stockholders,-0.32078179918976446,-0.3363835437144472,-0.35270175141920895
Net Income Common Stockholders,-0.32078179918976446,-0.3363835437144472,-0.35270175141920895
Total Liabilities Net Minority Interest,-0.24236966134133367,-0.24351800780864444,-0.2427873821309814
Net Income Including Noncontrolling Interests,-0.32270792016632993,-0.33852161683450965,-0.3551614785845876
Net Income Including Noncontrolling Interests,-0.32270792016632993,-0.33852161683450965,-0.3551614785845876
Net Income From Continuing Operation Net Minority Interest,-0.31698754986497685,-0.3325711249594703,-0.3488835246809424
Net Income From Continuing Operation Net Minority Interest,-0.31698754986497685,-0.3325711249594703,-0.3488835246809424
Tax Effect Of Unusual Items,0.23260375815420545,0.20417231189567867,0.15850071685951142
Tax Effect Of Unusual Items,0.23260375815420545,0.20417231189567867,0.15850071685951142
Total Equity Gross Minority Interest,-0.4301092345040177,-0.44021070421334735,-0.4459425745330204
Share Issued,-0.46471495822218833,-0.4664187507041979,-0.46758538089133794
Invested Capital,-0.4220253955837487,-0.43293014408311836,-0.43081080645933306
Net Tangible Assets,-0.08450732886530928,-0.09724798078555734,-0.10122105384962442
Normalized Income,-0.3667489514073073,-0.3745132814706093,-0.38558075374342343
Normalized Income,-0.3667489514073073,-0.3745132814706093,-0.38558075374342343
Basic Average Shares,-0.42756074300345304,-0.42929211315152493,-0.43054422794089703
Basic Average Shares,-0.42756074300345304,-0.42929211315152493,-0.43054422794089703
Operating Revenue,-0.48919660671048115,-0.49138061840841646,-0.49343297297101335
Operating Revenue,-0.48919660671048115,-0.49138061840841646,-0.49343297297101335
Common Stock,-0.24440946321542328,-0.24441243633699658,-0.24441445381234989
Stockholders Equity,-0.4294239547916302,-0.4408059857518775,-0.4443553834519016
Total Assets,-0.27413027266328105,-0.2764408705617302,-0.276496384958711
Net Income Continuous Operations,-0.31766618592471946,-0.3335119892116356,-0.3501856349470932
Net Income Continuous Operations,-0.31766618592471946,-0.3335119892116356,-0.3501856349470932
Pretax Income,-0.33341377202071276,-0.3466580636481178,-0.3605942852844661
Pretax Income,-0.33341377202071276,-0.3466580636481178,-0.3605942852844661
Diluted EPS,-0.09367080802465547,-0.17027620747721775,-0.256919555823564
Diluted EPS,-0.09367080802465547,-0.17027620747721775,-0.256919555823564
Common Stock Equity,-0.44100612540911227,-0.4528831230126306,-0.4565851372421679
Net Income From Continuing And Discontinued Operation,-0.3220646533069408,-0.33761732945881273,-0.35389738513214725
Net Income From Continuing And Discontinued Operation,-0.3220646533069408,-0.33761732945881273,-0.35389738513214725
Total Revenue,-0.4890376152854018,-0.4912214966736747,-0.4932737287819686
Total Revenue,-0.4890376152854018,-0.4912214966736747,-0.4932737287819686
Total Capitalization,-0.4133563635744423,-0.42462622026371616,-0.42243533890643015
Diluted Average Shares,-0.4278514122740487,-0.4299851360584511,-0.43124430490319554
Diluted Average Shares,-0.4278514122740487,-0.4299851360584511,-0.43124430490319554
Ordinary Shares Number,-0.4234611177376877,-0.4253087133413701,-0.4265738091952624
Net Income,-0.3220675352547425,-0.33762022208194675,-0.3539002889298857
Net Income,-0.3220675352547425,-0.33762022208194675,-0.3539002889298857
Capital Stock,-0.2510290003929006,-0.2510143509495118,-0.2510162444149838
Diluted NI Availto Com Stockholders,-0.3202113838701202,-0.33616638108472047,-0.3524839403541997
Diluted NI Availto Com Stockholders,-0.3202113838701202,-0.33616638108472047,-0.3524839403541997
Tangible Book Value,-0.08060718276350363,-0.09392995647222922,-0.0980826135235363
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,1.0593576975952699,1.0593576975952699
