,2023-07-31CPB,2022-07-31CPB,2021-07-31CPB,2020-07-31CPB
Basic EPS,-0.18772634447065292,-0.20579584304838755,-0.16564140176453285,-0.061239854426510636
Basic EPS,-0.18772634447065292,-0.20579584304838755,-0.16564140176453285,-0.061239854426510636
Net Income Common Stockholders,-0.2600957684202271,-0.2728155401178874,-0.24196064837603812,-0.16312325151727217
Net Income Common Stockholders,-0.2600957684202271,-0.2728155401178874,-0.24196064837603812,-0.16312325151727217
Total Liabilities Net Minority Interest,-0.22834128071561458,-0.22765928080021247,-0.22757195154275245,-0.22248606192972342
Net Income Including Noncontrolling Interests,-0.26494769972179255,-0.2775656754168957,-0.24695771457233864,-0.16875125135318475
Net Income Including Noncontrolling Interests,-0.26494769972179255,-0.2775656754168957,-0.24695771457233864,-0.16875125135318475
Net Income From Continuing Operation Net Minority Interest,-0.25760210484530627,-0.2702958946926673,-0.2387499417056611,-0.29103327414627694
Net Income From Continuing Operation Net Minority Interest,-0.25760210484530627,-0.2702958946926673,-0.2387499417056611,-0.29103327414627694
Tax Effect Of Unusual Items,0.11314282775096357,0.132818957821704,0.11385617874125305,0.05818671681401687
Tax Effect Of Unusual Items,0.11314282775096357,0.132818957821704,0.11385617874125305,0.05818671681401687
Total Equity Gross Minority Interest,-0.4165429741418148,-0.42647798722288616,-0.4318669791668612,-0.44947904781057857
Share Issued,-0.314428298052518,-0.314428298052518,-0.314428298052518,-0.314428298052518
Invested Capital,-0.40208670488652937,-0.4056138598149145,-0.4044492331876175,-0.3949824824600179
Net Tangible Assets,-0.30287407099168695,-0.3165219667847809,-0.3240965489499481,-0.3481509652852762
Normalized Income,-0.2857869436604731,-0.3016476714131964,-0.2666688051150786,-0.3112643837034837
Normalized Income,-0.2857869436604731,-0.3016476714131964,-0.2666688051150786,-0.3112643837034837
Basic Average Shares,-0.2768765323325383,-0.27550133761603957,-0.27412614289954085,-0.2748137402577902
Basic Average Shares,-0.2768765323325383,-0.27550133761603957,-0.27412614289954085,-0.2748137402577902
Operating Revenue,-0.34231267815293126,-0.3564111995152791,-0.3579363225808916,-0.3541235149168604
Operating Revenue,-0.34231267815293126,-0.3564111995152791,-0.3579363225808916,-0.3541235149168604
Common Stock,-0.24322212587854655,-0.24322212587854655,-0.24322212587854655,-0.24322212587854655
Stockholders Equity,-0.40787402494367936,-0.41793286165635873,-0.423389018539903,-0.44134251800586716
Total Assets,-0.25968501179747117,-0.26031207970022047,-0.2609089274630782,-0.2584988713067285
Net Income Continuous Operations,-0.25978869464750715,-0.27243228867483005,-0.24101107975544345,-0.2930876650561001
Net Income Continuous Operations,-0.25978869464750715,-0.27243228867483005,-0.24101107975544345,-0.2930876650561001
Pretax Income,-0.25678783359345586,-0.27279649703944236,-0.2350244218498925,-0.2946645405702344
Pretax Income,-0.25678783359345586,-0.27279649703944236,-0.2350244218498925,-0.2946645405702344
Diluted EPS,-0.1919370445638043,-0.209899689952681,-0.1686912681781992,-0.05933045654592064
Diluted EPS,-0.1919370445638043,-0.209899689952681,-0.1686912681781992,-0.05933045654592064
Common Stock Equity,-0.41344854067550213,-0.4239398859092804,-0.4296306458997238,-0.44835610754425526
Net Income From Continuing And Discontinued Operation,-0.2627969570995349,-0.27546557783892395,-0.2447347651542673,-0.16621440294775677
Net Income From Continuing And Discontinued Operation,-0.2627969570995349,-0.27546557783892395,-0.2447347651542673,-0.16621440294775677
Total Revenue,-0.3421624505981012,-0.35626013076827,-0.35778516283699263,-0.353972582665186
Total Revenue,-0.3421624505981012,-0.35626013076827,-0.35778516283699263,-0.353972582665186
Total Capitalization,-0.3985548473464251,-0.4128989517557772,-0.39857204651238354,-0.4087711519257478
Diluted Average Shares,-0.27802051269747347,-0.2773409828298294,-0.2753023932268972,-0.2759819230945412
Diluted Average Shares,-0.27802051269747347,-0.2773409828298294,-0.2753023932268972,-0.2759819230945412
Ordinary Shares Number,-0.2773497487624676,-0.27667535863740716,-0.27465218826222576,-0.27465218826222576
Net Income,-0.26279979836608386,-0.2754684278011941,-0.24473759402295636,-0.16621717792019366
Net Income,-0.26279979836608386,-0.2754684278011941,-0.24473759402295636,-0.16621717792019366
Capital Stock,-0.26584187974879947,-0.26584187974879947,-0.26584187974879947,-0.26584187974879947
Diluted NI Availto Com Stockholders,-0.2598816372315768,-0.27260090348471133,-0.2417472378211672,-0.16291297371758084
Diluted NI Availto Com Stockholders,-0.2598816372315768,-0.27260090348471133,-0.2417472378211672,-0.16291297371758084
Tangible Book Value,-0.30314459531875176,-0.3174093797278963,-0.32532633507497144,-0.3504680175960886
Tax Rate For Calcs,0.6396464968565185,0.4365604319829295,0.7344199937975269,0.47717764495764736
Tax Rate For Calcs,0.6396464968565185,0.4365604319829295,0.7344199937975269,0.47717764495764736
