,2023-01-31ADSK,2022-01-31ADSK,2021-01-31ADSK,2020-01-31ADSK
Basic EPS,-0.14054487596212364,-0.21834410594959217,-0.054714757717884255,-0.28259121200375964
Basic EPS,-0.14054487596212364,-0.21834410594959217,-0.054714757717884255,-0.28259121200375964
Net Income Common Stockholders,-0.2645036100976341,-0.30555950686433975,-0.21601735164615665,-0.34113708611769655
Net Income Common Stockholders,-0.2645036100976341,-0.30555950686433975,-0.21601735164615665,-0.34113708611769655
Total Liabilities Net Minority Interest,-0.2287654513947061,-0.23099026819190197,-0.23699394671547516,-0.23697689671759012
Net Income Including Noncontrolling Interests,-0.2693202655567293,-0.3100475930478542,-0.22122204137242538,-0.34534044585841484
Net Income Including Noncontrolling Interests,-0.2693202655567293,-0.3100475930478542,-0.22122204137242538,-0.34534044585841484
Net Income From Continuing Operation Net Minority Interest,-0.26200094291122344,-0.30297297746805224,-0.21361372418613425,-0.3384778847143839
Net Income From Continuing Operation Net Minority Interest,-0.26200094291122344,-0.30297297746805224,-0.21361372418613425,-0.3384778847143839
Tax Effect Of Unusual Items,0.1418070069224404,0.13731648395935367,0.1071495560451457,0.13604094183090562
Tax Effect Of Unusual Items,0.1418070069224404,0.13731648395935367,0.1071495560451457,0.13604094183090562
Total Equity Gross Minority Interest,-0.4923501345604137,-0.5012615402331322,-0.49775417955451157,-0.5310093778858794
Share Issued,-0.381593563468163,-0.3796034815299216,-0.37873282068194103,-0.3788572008030811
Invested Capital,-0.48354401870432867,-0.4826955050187266,-0.4972416915936657,-0.5081725443670101
Net Tangible Assets,-0.28380113662083806,-0.29615248231358815,-0.25149997925253287,-0.280532465578392
Normalized Income,-0.29543198249477515,-0.3361301351383424,-0.24041195925928482,-0.37211564932287045
Normalized Income,-0.29543198249477515,-0.3361301351383424,-0.24041195925928482,-0.37211564932287045
Basic Average Shares,-0.33394711306723535,-0.3311967236342379,-0.33188432099248727,-0.3314030028417127
Basic Average Shares,-0.33394711306723535,-0.3311967236342379,-0.33188432099248727,-0.3314030028417127
Operating Revenue,-0.4246161217285996,-0.43490183542691624,-0.44504567721215266,-0.4525914895891074
Operating Revenue,-0.4246161217285996,-0.43490183542691624,-0.44504567721215266,-0.4525914895891074
Common Stock,0.10856186598987264,0.06587633483046892,0.029338794352979324,0.0015294893513677999
Stockholders Equity,-0.4845650345470168,-0.49358750626505654,-0.490036432092247,-0.5237061018886884
Total Assets,-0.269582107611948,-0.27272122464318094,-0.2777347458511862,-0.2818919038450151
Net Income Continuous Operations,-0.26417013812232204,-0.30498015448774046,-0.2159742598993585,-0.34034466253446044
Net Income Continuous Operations,-0.26417013812232204,-0.30498015448774046,-0.2159742598993585,-0.34034466253446044
Pretax Income,-0.2758308188690738,-0.31569552980319704,-0.3175789019733131,-0.34396703871238365
Pretax Income,-0.2758308188690738,-0.31569552980319704,-0.3175789019733131,-0.34396703871238365
Diluted EPS,-0.1428039262942299,-0.22416414364384774,-0.05510395174853789,-0.29178822040197167
Diluted EPS,-0.1428039262942299,-0.22416414364384774,-0.05510395174853789,-0.29178822040197167
Common Stock Equity,-0.49343710009424796,-0.5028475188493945,-0.49914375606231826,-0.5342611498357469
Net Income From Continuing And Discontinued Operation,-0.267187073197343,-0.3080778688512127,-0.21889579612145393,-0.34351237735494944
Net Income From Continuing And Discontinued Operation,-0.267187073197343,-0.3080778688512127,-0.21889579612145393,-0.34351237735494944
Total Revenue,-0.4193361664478807,-0.4303128507564775,-0.4408816776513462,-0.4500265501843727
Total Revenue,-0.4193361664478807,-0.4303128507564775,-0.4408816776513462,-0.4500265501843727
Total Capitalization,-0.4797005123384191,-0.48484306295999735,-0.4938605856720157,-0.5128949026382386
Diluted Average Shares,-0.33442149171193086,-0.3317033722413546,-0.3317033722413546,-0.3313636073075326
Diluted Average Shares,-0.33442149171193086,-0.3317033722413546,-0.3317033722413546,-0.3313636073075326
Ordinary Shares Number,-0.3333241291424861,-0.33116608074229265,-0.330221934567208,-0.3303568125922201
Net Income,-0.26718991747726073,-0.30808074119850776,-0.2188986072543156,-0.343515274024435
Net Income,-0.26718991747726073,-0.30808074119850776,-0.2188986072543156,-0.343515274024435
Capital Stock,0.0643187049262071,0.024256961781216866,-0.010034694477965074,-0.03613462116869379
Diluted NI Availto Com Stockholders,-0.26428930375494025,-0.30534356908683985,-0.2158049719979423,-0.3409197345968449
Diluted NI Availto Com Stockholders,-0.26428930375494025,-0.30534356908683985,-0.2158049719979423,-0.3409197345968449
Tangible Book Value,-0.2832095591069724,-0.2961191889972481,-0.2494483806066297,-0.27979314324098226
Tax Rate For Calcs,-0.8358279207340733,-0.9667101200096057,1.0593576975952699,1.0916889991231453
Tax Rate For Calcs,-0.8358279207340733,-0.9667101200096057,1.0593576975952699,1.0916889991231453
