,2022-12-31AAL,2021-12-31AAL,2020-12-31AAL
Basic EPS,-0.32174179225551797,-0.48687693203537047,-1.253324830040947
Basic EPS,-0.32174179225551797,-0.48687693203537047,-1.253324830040947
Net Income Common Stockholders,-0.35215669031121416,-0.6191459576284407,-1.4871129530767075
Net Income Common Stockholders,-0.35215669031121416,-0.6191459576284407,-1.4871129530767075
Total Liabilities Net Minority Interest,0.029986979923276112,0.04367688066415229,0.023166980769255174
Net Income Including Noncontrolling Interests,-0.35627186044575665,-0.621124419590495,-1.4821450977157484
Net Income Including Noncontrolling Interests,-0.35627186044575665,-0.621124419590495,-1.4821450977157484
Net Income From Continuing Operation Net Minority Interest,-0.3494749798791769,-0.6159188855861615,-1.482112941309057
Net Income From Continuing Operation Net Minority Interest,-0.3494749798791769,-0.6159188855861615,-1.482112941309057
Tax Effect Of Unusual Items,-0.03597120491068898,2.5865736237668164,0.5496884093326858
Tax Effect Of Unusual Items,-0.03597120491068898,2.5865736237668164,0.5496884093326858
Total Equity Gross Minority Interest,-0.7014068946663512,-0.7478003951449298,-0.7335602097287276
Share Issued,-0.110667253103443,-0.11248001003437855,-0.1288037025315473
Invested Capital,-0.04368117909751129,-0.02943945919799409,-0.11252725029400915
Net Tangible Assets,-0.5929942158133824,-0.6431502328530028,-0.6284105053964613
Normalized Income,-0.36639618131173435,-1.060846383559689,-1.6112618238867904
Normalized Income,-0.36639618131173435,-1.060846383559689,-1.6112618238867904
Basic Average Shares,-0.03529263849841615,-0.039645129776134616,-0.14974803196053024
Basic Average Shares,-0.03529263849841615,-0.039645129776134616,-0.14974803196053024
Operating Revenue,0.3039848218840557,-0.0227461939397136,-0.2371501225822109
Operating Revenue,0.3039848218840557,-0.0227461939397136,-0.2371501225822109
Common Stock,-0.24385922335853766,-0.24385922335853766,-0.24385922335853766
Stockholders Equity,-0.6962273440404888,-0.7431990633563644,-0.7287813974015239
Total Assets,-0.060768495996431644,-0.05415406287767247,-0.07099801334971538
Net Income Continuous Operations,-0.3512982712214976,-0.616688561695998,-1.4794573739366852
Net Income Continuous Operations,-0.3512982712214976,-0.616688561695998,-1.4794573739366852
Pretax Income,-0.35535097716286296,-0.6414142834460467,-1.5731603487173527
Pretax Income,-0.35535097716286296,-0.6414142834460467,-1.5731603487173527
Diluted EPS,-0.3324683290767806,-0.5057550257694732,-1.3124891289699048
Diluted EPS,-0.3324683290767806,-0.5057550257694732,-1.3124891289699048
Common Stock Equity,-0.7142004373771458,-0.763191840423365,-0.7481542455882828
Net Income From Continuing And Discontinued Operation,-0.3544876675994697,-0.6204032712381315,-1.4848798468408
Net Income From Continuing And Discontinued Operation,-0.3544876675994697,-0.6204032712381315,-1.4848798468408
Total Revenue,0.36030987929003416,0.02180595882669759,-0.20065366096546322
Total Revenue,0.36030987929003416,0.02180595882669759,-0.20065366096546322
Total Capitalization,-0.0812990320767513,-0.0530752007389255,-0.1442651786506576
Diluted Average Shares,-0.03738403690762168,-0.04493157514754432,-0.15374265426378558
Diluted Average Shares,-0.03738403690762168,-0.04493157514754432,-0.15374265426378558
Ordinary Shares Number,-0.03953115538704784,-0.04149691223332233,-0.05919835346638851
Net Income,-0.35449057180237703,-0.6204063579650877,-1.4848835269431078
Net Income,-0.35449057180237703,-0.6204063579650877,-1.4848835269431078
Capital Stock,-0.2664398162136501,-0.2664398162136501,-0.2664398162136501
Diluted NI Availto Com Stockholders,-0.3519389009052535,-0.6189175588918399,-1.4868500640067233
Diluted NI Availto Com Stockholders,-0.3519389009052535,-0.6189175588918399,-1.4868500640067233
Tangible Book Value,-0.6063782498961404,-0.6588013325997464,-0.6433953654378703
Tax Rate For Calcs,1.6984560046814632,0.3528618951130277,0.43955256667206705
Tax Rate For Calcs,1.6984560046814632,0.3528618951130277,0.43955256667206705
