,2022-12-31RSG,2021-12-31RSG,2020-12-31RSG
Basic EPS,-0.09587306003383529,-0.12849854357696724,-0.179695456213882
Basic EPS,-0.09587306003383529,-0.12849854357696724,-0.179695456213882
Net Income Common Stockholders,-0.1808049935603564,-0.20564003295420408,-0.24634330238671712
Net Income Common Stockholders,-0.1808049935603564,-0.20564003295420408,-0.24634330238671712
Total Liabilities Net Minority Interest,-0.18271756564324926,-0.1968183297477945,-0.20110203775301216
Net Income Including Noncontrolling Interests,-0.18629148687390232,-0.2106904042328492,-0.2510054612309658
Net Income Including Noncontrolling Interests,-0.18629148687390232,-0.2106904042328492,-0.2510054612309658
Net Income From Continuing Operation Net Minority Interest,-0.1784732920938357,-0.2032576025680892,-0.24387773007964458
Net Income From Continuing Operation Net Minority Interest,-0.1784732920938357,-0.2032576025680892,-0.24387773007964458
Tax Effect Of Unusual Items,0.08437961711258288,0.12731997656585048,0.03603014739436437
Tax Effect Of Unusual Items,0.08437961711258288,0.12731997656585048,0.03603014739436437
Total Equity Gross Minority Interest,-0.23518984748194346,-0.2564778709656572,-0.271256955576257
Share Issued,-0.3161074296879091,-0.3165427601118994,-0.3170402805964598
Invested Capital,-0.1833115929487941,-0.23219596375342194,-0.25075012967858734
Net Tangible Assets,-0.3597414407875613,-0.32541357089398165,-0.31275514754588696
Normalized Income,-0.19770294507834063,-0.23155505157669423,-0.2494418217857048
Normalized Income,-0.19770294507834063,-0.23155505157669423,-0.2494418217857048
Basic Average Shares,-0.264822950642427,-0.2632545410682602,-0.26293068271252473
Basic Average Shares,-0.264822950642427,-0.2632545410682602,-0.26293068271252473
Operating Revenue,-0.2807934698435166,-0.32026046266352304,-0.33752450108647347
Operating Revenue,-0.2807934698435166,-0.32026046266352304,-0.33752450108647347
Common Stock,-0.24415653551586683,-0.24415653551586683,-0.24415653551586683
Stockholders Equity,-0.22422405162885087,-0.24577739538501936,-0.2608656504540385
Total Assets,-0.19548647986714554,-0.21096636877483438,-0.21671197287171198
Net Income Continuous Operations,-0.18097278574055178,-0.2054212403300187,-0.24581814916781178
Net Income Continuous Operations,-0.18097278574055178,-0.2054212403300187,-0.24581814916781178
Pretax Income,-0.18317937127808653,-0.21000696152351753,-0.2552497463211944
Pretax Income,-0.18317937127808653,-0.21000696152351753,-0.2552497463211944
Diluted EPS,-0.09472743422400114,-0.12906778570273597,-0.18295572186936598
Diluted EPS,-0.09472743422400114,-0.12906778570273597,-0.18295572186936598
Common Stock Equity,-0.22190201027091408,-0.24438210183092807,-0.26011911968159546
Net Income From Continuing And Discontinued Operation,-0.18382504009439268,-0.20856020850832857,-0.24909979487437364
Net Income From Continuing And Discontinued Operation,-0.18382504009439268,-0.20856020850832857,-0.24909979487437364
Total Revenue,-0.26849453521328065,-0.30779603025874624,-0.3280363977382817
Total Revenue,-0.26849453521328065,-0.30779603025874624,-0.3280363977382817
Total Capitalization,-0.17717578271216258,-0.22000858561510067,-0.24193924212872753
Diluted Average Shares,-0.26746741385296113,-0.265917406224865,-0.26522088811052985
Diluted Average Shares,-0.26746741385296113,-0.265917406224865,-0.26522088811052985
Ordinary Shares Number,-0.2651432874988732,-0.2644014583613067,-0.28658889347579597
Net Income,-0.183827827154743,-0.2085630125468593,-0.24910262673921219
Net Income,-0.183827827154743,-0.2085630125468593,-0.24910262673921219
Capital Stock,-0.26671885323058037,-0.26671885323058037,-0.26671885323058037
Diluted NI Availto Com Stockholders,-0.18059401314273024,-0.20542806566865232,-0.24612971767868283
Diluted NI Availto Com Stockholders,-0.18059401314273024,-0.20542806566865232,-0.24612971767868283
Tangible Book Value,-0.3625823857555545,-0.3267028867704539,-0.3134722992309724
Tax Rate For Calcs,-0.05084612371368467,-0.15915869164626567,-0.5382526794102989
Tax Rate For Calcs,-0.05084612371368467,-0.15915869164626567,-0.5382526794102989
