,2023-06-30WDC,2022-06-30WDC,2021-06-30WDC,2020-06-30WDC
Basic EPS,-0.6048306033066936,-0.0903518243573053,-0.19676109375952025,-0.3739425659245291
Basic EPS,-0.6048306033066936,-0.0903518243573053,-0.19676109375952025,-0.3739425659245291
Net Income Common Stockholders,-0.5860241758810678,-0.1792433582232179,-0.2647554867649145,-0.39963544209357005
Net Income Common Stockholders,-0.5860241758810678,-0.1792433582232179,-0.2647554867649145,-0.39963544209357005
Total Liabilities Net Minority Interest,-0.2067709541229886,-0.2048746616752852,-0.19916499165182744,-0.19625401640315995
Net Income Including Noncontrolling Interests,-0.5852693797440139,-0.18474234926381045,-0.2695701264615828,-0.40337064101064646
Net Income Including Noncontrolling Interests,-0.5852693797440139,-0.18474234926381045,-0.2695701264615828,-0.40337064101064646
Net Income From Continuing Operation Net Minority Interest,-0.5798484134456405,-0.17691484660762505,-0.2622523050864187,-0.396856749903485
Net Income From Continuing Operation Net Minority Interest,-0.5798484134456405,-0.17691484660762505,-0.2622523050864187,-0.396856749903485
Tax Effect Of Unusual Items,0.022137215588206978,0.10094284073593411,0.1504842244709985,0.11169927495959038
Tax Effect Of Unusual Items,0.022137215588206978,0.10094284073593411,0.1504842244709985,0.11169927495959038
Total Equity Gross Minority Interest,-0.20026074997691629,-0.1588949682393647,-0.2040541186078708,-0.23927825589530555
Share Issued,-0.3150501986582184,-0.31940350289812136,-0.3212692047152226,-0.3212692047152226
Invested Capital,-0.24244966933060938,-0.2203883135049554,-0.2170108962857942,-0.22233490372486606
Net Tangible Assets,-0.16039003891178566,-0.11818392117164249,-0.17802994422435964,-0.23500990916052703
Normalized Income,-0.6001030994680644,-0.20239722736809246,-0.29928907903798047,-0.42899360593333036
Normalized Income,-0.6001030994680644,-0.20239722736809246,-0.29928907903798047,-0.42899360593333036
Basic Average Shares,-0.2638121825258004,-0.2679377666752966,-0.27275094818304213,-0.27756412969078764
Basic Average Shares,-0.2638121825258004,-0.2679377666752966,-0.27275094818304213,-0.27756412969078764
Operating Revenue,-0.2898023363241112,-0.1749747566748002,-0.20815505034643894,-0.21145357232555428
Operating Revenue,-0.2898023363241112,-0.1749747566748002,-0.20815505034643894,-0.21145357232555428
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.18883523519424242,-0.14695389688145002,-0.19267588193908367,-0.2283390302840379
Total Assets,-0.21295334297270263,-0.2060404859725146,-0.20652023069329267,-0.2082956639119202
Net Income Continuous Operations,-0.5807607252025161,-0.1794205029094745,-0.2644205063208829,-0.39849267665021776
Net Income Continuous Operations,-0.5807607252025161,-0.1794205029094745,-0.2644205063208829,-0.39849267665021776
Pretax Income,-0.5380380776641207,-0.15267920530092924,-0.2778188228264185,-0.37962555179991436
Pretax Income,-0.5380380776641207,-0.15267920530092924,-0.2778188228264185,-0.37962555179991436
Diluted EPS,-0.6299086041925914,-0.0915575556259641,-0.20197499345758832,-0.3868845783430835
Diluted EPS,-0.6299086041925914,-0.0915575556259641,-0.20197499345758832,-0.3868845783430835
Common Stock Equity,-0.18499155022116692,-0.14130940370234468,-0.18899733658315498,-0.22619392423018703
Net Income From Continuing And Discontinued Operation,-0.5844043192361051,-0.18226968467688354,-0.2674379369743606,-0.4017754895672883
Net Income From Continuing And Discontinued Operation,-0.5844043192361051,-0.18226968467688354,-0.2674379369743606,-0.4017754895672883
Total Revenue,-0.28965524181335917,-0.17483451338336786,-0.20801282734360166,-0.2113111525154902
Total Revenue,-0.28965524181335917,-0.17483451338336786,-0.20801282734360166,-0.2113111525154902
Total Capitalization,-0.2513299867420443,-0.2076613043735253,-0.20848686433953117,-0.21459256825478296
Diluted Average Shares,-0.26646850494752433,-0.26782756468281244,-0.27258427375632094,-0.28005910230040565
Diluted Average Shares,-0.26646850494752433,-0.26782756468281244,-0.27258427375632094,-0.28005910230040565
Ordinary Shares Number,-0.26116438576101647,-0.2658851166364397,-0.27060584751186295,-0.27465218826222576
Net Income,-0.5844073812534377,-0.18227247066964034,-0.2674407814264708,-0.40177842622848176
Net Income,-0.5844073812534377,-0.18227247066964034,-0.2674407814264708,-0.40177842622848176
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.5857970933019945,-0.1790324398601672,-0.2645411704134182,-0.39941576602833984
Diluted NI Availto Com Stockholders,-0.5857970933019945,-0.1790324398601672,-0.2645411704134182,-0.39941576602833984
Tangible Book Value,-0.15422024608728346,-0.11010640030200418,-0.1726574799361027,-0.23221295484428087
Tax Rate For Calcs,0.24701343810091272,1.3301391174267216,-1.1068936610563487,1.0593576975952699
Tax Rate For Calcs,0.24701343810091272,1.3301391174267216,-1.1068936610563487,1.0593576975952699
