,2022-12-31MCO,2021-12-31MCO,2020-12-31MCO
Basic EPS,0.0431616929115116,0.26451305048876067,0.14404972663719656
Basic EPS,0.0431616929115116,0.26451305048876067,0.14404972663719656
Net Income Common Stockholders,-0.19511158826188327,-0.08932338800411425,-0.14423250147124198
Net Income Common Stockholders,-0.19511158826188327,-0.08932338800411425,-0.14423250147124198
Total Liabilities Net Minority Interest,-0.21476366044861556,-0.21433117269738497,-0.21898041602311388
Net Income Including Noncontrolling Interests,-0.20048358626958265,-0.09554200623110137,-0.150136613941597
Net Income Including Noncontrolling Interests,-0.20048358626958265,-0.09554200623110137,-0.150136613941597
Net Income From Continuing Operation Net Minority Interest,-0.19275066364492696,-0.08717855006291417,-0.14197550425548272
Net Income From Continuing Operation Net Minority Interest,-0.19275066364492696,-0.08717855006291417,-0.14197550425548272
Tax Effect Of Unusual Items,0.10275149442784916,0.1359644425032954,0.1023636183474131
Tax Effect Of Unusual Items,0.10275149442784916,0.1359644425032954,0.1023636183474131
Total Equity Gross Minority Interest,-0.4458663157810981,-0.43903223102533084,-0.47374456460858916
Share Issued,-0.30205106304090357,-0.30205106304090357,-0.30205106304090357
Invested Capital,-0.37569959301662953,-0.37183968762330244,-0.40759372508131936
Net Tangible Assets,-0.3739796080737066,-0.3811106336255982,-0.3494475153856202
Normalized Income,-0.21714403926859516,-0.11426015078587037,-0.16441913289737775
Normalized Income,-0.21714403926859516,-0.11426015078587037,-0.16441913289737775
Basic Average Shares,-0.35601898826703987,-0.3542999948714165,-0.3534748780415173
Basic Average Shares,-0.35601898826703987,-0.3542999948714165,-0.3534748780415173
Operating Revenue,-0.41128016189905797,-0.39797967004778645,-0.41300035884515574
Operating Revenue,-0.41128016189905797,-0.39797967004778645,-0.41300035884515574
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332
Stockholders Equity,-0.44268369623422443,-0.4363435809728992,-0.4716409534373924
Total Assets,-0.25103071923603354,-0.2497803609480214,-0.25835910315973015
Net Income Continuous Operations,-0.19519369941880801,-0.09003905602325127,-0.14474450740879685
Net Income Continuous Operations,-0.19519369941880801,-0.09003905602325127,-0.14474450740879685
Pretax Income,-0.19066054406493643,-0.08655191577240984,-0.14158823585469024
Pretax Income,-0.19066054406493643,-0.08655191577240984,-0.14158823585469024
Diluted EPS,0.05055866818603076,0.2798465534440447,0.1535797226222352
Diluted EPS,0.05055866818603076,0.2798465534440447,0.1535797226222352
Common Stock Equity,-0.4497549535754257,-0.44314222688262,-0.47995731106660555
Net Income From Continuing And Discontinued Operation,-0.19807410262899267,-0.09271131628159836,-0.14739961967143636
Net Income From Continuing And Discontinued Operation,-0.19807410262899267,-0.09271131628159836,-0.14739961967143636
Total Revenue,-0.4111258193802226,-0.3978261211064784,-0.4128459136902935
Total Revenue,-0.4111258193802226,-0.3978261211064784,-0.4128459136902935
Total Capitalization,-0.3682155185957093,-0.3642253120933475,-0.40118631973806884
Diluted Average Shares,-0.3570498363044783,-0.35487534072801724,-0.35392399891331555
Diluted Average Shares,-0.3570498363044783,-0.35487534072801724,-0.35392399891331555
Ordinary Shares Number,-0.3547697958145201,-0.35312436618496784,-0.3521438562199498
Net Income,-0.19807689946987692,-0.09271404080163306,-0.14740238172943582
Net Income,-0.19807689946987692,-0.09271404080163306,-0.14740238172943582
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754
Diluted NI Availto Com Stockholders,-0.19490003934427563,-0.08911604278355276,-0.14402297433173747
Diluted NI Availto Com Stockholders,-0.19490003934427563,-0.08911604278355276,-0.14402297433173747
Tangible Book Value,-0.3774641220903945,-0.3849174719441725,-0.3518231721149573
Tax Rate For Calcs,0.3688650770250664,0.057466444218896344,0.14928842368374157
Tax Rate For Calcs,0.3688650770250664,0.057466444218896344,0.14928842368374157
