,2022-12-31ABNB,2021-12-31ABNB,2020-12-31ABNB
Basic EPS,-0.18270703931017107,-0.36039044199122816,-1.140892394446154
Basic EPS,-0.18270703931017107,-0.36039044199122816,-1.140892394446154
Net Income Common Stockholders,-0.12974959310261883,-0.4124811521248705,-0.9455423519370885
Net Income Common Stockholders,-0.12974959310261883,-0.4124811521248705,-0.9455423519370885
Total Liabilities Net Minority Interest,-0.21967905008279406,-0.22610398831021014,-0.2316900832758259
Net Income Including Noncontrolling Interests,-0.13564468146009243,-0.41611354715817633,-0.9449086720321765
Net Income Including Noncontrolling Interests,-0.13564468146009243,-0.41611354715817633,-0.9449086720321765
Net Income From Continuing Operation Net Minority Interest,-0.12752217918175476,-0.40967622083844374,-0.9416485712103518
Net Income From Continuing Operation Net Minority Interest,-0.12752217918175476,-0.40967622083844374,-0.9416485712103518
Tax Effect Of Unusual Items,0.12396666521779681,0.05027806961458709,0.12703785186612793
Tax Effect Of Unusual Items,0.12396666521779681,0.05027806961458709,0.12703785186612793
Total Equity Gross Minority Interest,-0.35943170197577745,-0.3830649906686289,-0.43946024945252354
Share Issued,-0.11728580604548605,-0.11559174879555813,-0.1369397308874363
Invested Capital,-0.4149807854030315,-0.42810779124499304,-0.4616140993123268
Net Tangible Assets,-0.01892959901636645,-0.04643010903945084,-0.11125433856165695
Normalized Income,-0.14472867662933794,-0.43452191949951446,-0.9718824389015513
Normalized Income,-0.14472867662933794,-0.43452191949951446,-0.9718824389015513
Basic Average Shares,-0.04446862524425389,-0.0589081697674905,-0.2869408948652342
Basic Average Shares,-0.04446862524425389,-0.0589081697674905,-0.2869408948652342
Operating Revenue,-0.35930183974428875,-0.4019875515923029,-0.4483406701274301
Operating Revenue,-0.35930183974428875,-0.4019875515923029,-0.4483406701274301
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24448994986372882
Stockholders Equity,-0.34998999186071517,-0.3739178307075434,-0.4310159638300136
Total Assets,-0.24465049220143376,-0.2534521079448426,-0.2656024967174993
Net Income Continuous Operations,-0.1302231518922676,-0.4112614547768211,-0.9411301947466632
Net Income Continuous Operations,-0.1302231518922676,-0.4112614547768211,-0.9411301947466632
Pretax Income,-0.16669986478957102,-0.40620202575599657,-0.8646920302212202
Pretax Income,-0.16669986478957102,-0.40620202575599657,-0.8646920302212202
Diluted EPS,-0.19510692316184136,-0.37262012465191674,-1.194146994643188
Diluted EPS,-0.19510692316184136,-0.37262012465191674,-1.194146994643188
Common Stock Equity,-0.3530756176483963,-0.378032302522687,-0.43758553356748225
Net Income From Continuing And Discontinued Operation,-0.13297495249292404,-0.4145695421951862,-0.9454871035966117
Net Income From Continuing And Discontinued Operation,-0.13297495249292404,-0.4145695421951862,-0.9454871035966117
Total Revenue,-0.3591505985264304,-0.40183376351963335,-0.4481841163831144
Total Revenue,-0.3591505985264304,-0.40183376351963335,-0.4481841163831144
Total Capitalization,-0.4088227494236232,-0.4223928913648447,-0.4574904553737971
Diluted Average Shares,-0.02047869286037262,-0.06396860438959281,-0.28932585110546777
Diluted Average Shares,-0.02047869286037262,-0.06396860438959281,-0.28932585110546777
Ordinary Shares Number,-0.05277783711733312,-0.05107567644168051,-0.07422546626463106
Net Income,-0.1329777046498548,-0.4145724876381971,-0.9454904134605953
Net Income,-0.1329777046498548,-0.4145724876381971,-0.9454904134605953
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670317733138522
Diluted NI Availto Com Stockholders,-0.12954064146925756,-0.41226096561071335,-0.9453009832137094
Diluted NI Availto Com Stockholders,-0.12954064146925756,-0.41226096561071335,-0.9453009832137094
Tangible Book Value,-0.00636575568650099,-0.035109296270927105,-0.10286359866610516
Tax Rate For Calcs,-1.9463160625338505,1.0593576975952699,-2.3118709793063115
Tax Rate For Calcs,-1.9463160625338505,1.0593576975952699,-2.3118709793063115
