,2022-12-31BLDR,2021-12-31BLDR,2020-12-31BLDR
Basic EPS,0.5204976136733344,0.09737018864471549,-0.19676109375952025
Basic EPS,0.5204976136733344,0.09737018864471549,-0.19676109375952025
Net Income Common Stockholders,-0.02189990826149337,-0.15085484280737832,-0.32866453136897195
Net Income Common Stockholders,-0.02189990826149337,-0.15085484280737832,-0.32866453136897195
Total Liabilities Net Minority Interest,-0.23982884570528676,-0.23866749965422265,-0.2506897193092815
Net Income Including Noncontrolling Interests,-0.028658114845837475,-0.15658102639957916,-0.33296770864142544
Net Income Including Noncontrolling Interests,-0.028658114845837475,-0.15658102639957916,-0.33296770864142544
Net Income From Continuing Operation Net Minority Interest,-0.019892791876856303,-0.14858431856571672,-0.326030806841977
Net Income From Continuing Operation Net Minority Interest,-0.019892791876856303,-0.14858431856571672,-0.326030806841977
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.37741810986994945,-0.3822376449277777,-0.4921158187822016
Share Issued,-0.42894258798376983,-0.40347202677670363,-0.4426461678303785
Invested Capital,-0.4083297191972013,-0.4118984679337041,-0.4943413886286616
Net Tangible Assets,-0.18684075279046525,-0.1877240446061943,-0.17684953771721493
Normalized Income,-0.0452214825886596,-0.17726564543062198,-0.35933492066996114
Normalized Income,-0.0452214825886596,-0.17726564543062198,-0.35933492066996114
Basic Average Shares,-0.3711048743070309,-0.3436841792574046,-0.4022867269062812
Basic Average Shares,-0.3711048743070309,-0.3436841792574046,-0.4022867269062812
Operating Revenue,-0.10521956459927377,-0.155452188331569,-0.3564666359653152
Operating Revenue,-0.10521956459927377,-0.155452188331569,-0.3564666359653152
Common Stock,-0.2443488327719108,-0.24430540396035808,-0.24437229919575715
Stockholders Equity,-0.3682005708079967,-0.3730801734599642,-0.48432779840721446
Total Assets,-0.26521091547733733,-0.2647606996107507,-0.2894682024638294
Net Income Continuous Operations,-0.023019369975589576,-0.1512020039860783,-0.32794680489402506
Net Income Continuous Operations,-0.023019369975589576,-0.1512020039860783,-0.32794680489402506
Pretax Income,-0.001085219115053665,-0.1392291029480454,-0.33210535152141824
Pretax Income,-0.001085219115053665,-0.1392291029480454,-0.33210535152141824
Diluted EPS,0.5461163556791577,0.10550323055200646,-0.20197499345758832
Diluted EPS,0.5461163556791577,0.10550323055200646,-0.20197499345758832
Common Stock Equity,-0.372069212643539,-0.3771586278003553,-0.49318966330650704
Net Income From Continuing And Discontinued Operation,-0.025558971562529145,-0.15399533009678323,-0.3310899794127032
Net Income From Continuing And Discontinued Operation,-0.025558971562529145,-0.15399533009678323,-0.3310899794127032
Total Revenue,-0.1050834832706822,-0.15531310985957997,-0.3563155639106749
Total Revenue,-0.1050834832706822,-0.15531310985957997,-0.3563155639106749
Total Capitalization,-0.40205645994223904,-0.40569932928806973,-0.49133251466611416
Diluted Average Shares,-0.3714687805660177,-0.34429506068879917,-0.4024308794553519
Diluted Average Shares,-0.3714687805660177,-0.34429506068879917,-0.4024308794553519
Ordinary Shares Number,-0.3846694957040896,-0.35704917374211326,-0.39952968210979695
Net Income,-0.025561649989300852,-0.1539980966820679,-0.3310928675554744
Net Income,-0.025561649989300852,-0.1539980966820679,-0.3310928675554744
Capital Stock,-0.2668993303868878,-0.2668585710512005,-0.2669213543800098
Diluted NI Availto Com Stockholders,-0.02169524224222223,-0.15064505251643873,-0.3284476754690064
Diluted NI Availto Com Stockholders,-0.02169524224222223,-0.15064505251643873,-0.3284476754690064
Tangible Book Value,-0.18186653945495818,-0.18278975630191802,-0.1714237187325558
Tax Rate For Calcs,0.5177948579323652,0.5719511418986558,0.5448729999155105
Tax Rate For Calcs,0.5177948579323652,0.5719511418986558,0.5448729999155105
