,2023-09-30HOLX,2022-09-30HOLX,2021-09-30HOLX,2020-09-30HOLX
Basic EPS,-0.2389232571075677,-0.07178039526352249,0.03362501310659613,-0.11896186377205174
Basic EPS,-0.2389232571075677,-0.07178039526352249,0.03362501310659613,-0.11896186377205174
Net Income Common Stockholders,-0.310722978543588,-0.20417914828397776,-0.13245726727588317,-0.22770442900796733
Net Income Common Stockholders,-0.310722978543588,-0.20417914828397776,-0.13245726727588317,-0.22770442900796733
Total Liabilities Net Minority Interest,-0.24610904192626692,-0.2458071322076194,-0.24370166539561894,-0.24458660187121384
Net Income Including Noncontrolling Interests,-0.31516974159735145,-0.20947857884430962,-0.13855556100163602,-0.2334027604840348
Net Income Including Noncontrolling Interests,-0.31516974159735145,-0.20947857884430962,-0.13855556100163602,-0.2334027604840348
Net Income From Continuing Operation Net Minority Interest,-0.3081259020595552,-0.20179970195195662,-0.1302243225651039,-0.2252769291151947
Net Income From Continuing Operation Net Minority Interest,-0.3081259020595552,-0.20179970195195662,-0.1302243225651039,-0.2252769291151947
Tax Effect Of Unusual Items,0.05072573948802072,0.14036250412059192,0.12182773563431466,0.12079871278847976
Tax Effect Of Unusual Items,0.05072573948802072,0.14036250412059192,0.12182773563431466,0.12079871278847976
Total Equity Gross Minority Interest,-0.3757823250192012,-0.38001825332376704,-0.39981602484532014,-0.4453153741466023
Share Issued,-0.3287693260199696,-0.3296443401721901,-0.3304074122153845,-0.3317749716473197
Invested Capital,-0.4101875149555422,-0.4124418993555241,-0.42002528245155213,-0.44497823981755197
Net Tangible Assets,-0.15639802939230565,-0.17304505028593206,-0.20993872458861337,-0.22829514443032478
Normalized Income,-0.3328716947574535,-0.23278734839121384,-0.15595573108172178,-0.25407348338341695
Normalized Income,-0.3328716947574535,-0.23278734839121384,-0.15595573108172178,-0.25407348338341695
Basic Average Shares,-0.312788367159186,-0.30951884172071026,-0.30572399190053207,-0.3018177513083174
Basic Average Shares,-0.312788367159186,-0.30951884172071026,-0.30572399190053207,-0.3018177513083174
Operating Revenue,-0.43677454467957527,-0.42201277212357735,-0.40836646748417277,-0.4412789779198726
Operating Revenue,-0.43677454467957527,-0.42201277212357735,-0.40836646748417277,-0.4412789779198726
Common Stock,-0.2441777720985332,-0.2441777720985332,-0.2441777720985332,-0.24418839038986637
Stockholders Equity,-0.3665443985839157,-0.3708331207823217,-0.39087763903158834,-0.4370080738224035
Total Assets,-0.2707104520851481,-0.2709677010259748,-0.2715392394216734,-0.2780520573200473
Net Income Continuous Operations,-0.3101127025582379,-0.20420695456699858,-0.1331399414055015,-0.22817970957919992
Net Income Continuous Operations,-0.3101127025582379,-0.20420695456699858,-0.1331399414055015,-0.22817970957919992
Pretax Income,-0.3040709382420918,-0.20863628511082194,-0.12776637676178293,-0.26998190196299116
Pretax Income,-0.3040709382420918,-0.20863628511082194,-0.12776637676178293,-0.26998190196299116
Diluted EPS,-0.24582498073043432,-0.07148165783839605,0.03840746689355534,-0.12008646300829763
Diluted EPS,-0.24582498073043432,-0.07148165783839605,0.03840746689355534,-0.12008646300829763
Common Stock Equity,-0.370341828546775,-0.374814956650995,-0.39572134642594226,-0.44383529150715445
Net Income From Continuing And Discontinued Operation,-0.3132205762800736,-0.20710519860162646,-0.1356717380958633,-0.2305358753750708
Net Income From Continuing And Discontinued Operation,-0.3132205762800736,-0.20710519860162646,-0.1356717380958633,-0.2305358753750708
Total Revenue,-0.43661868103133544,-0.42185778924058254,-0.40821229881172105,-0.44112284551337677
Total Revenue,-0.43661868103133544,-0.42185778924058254,-0.40821229881172105,-0.44112284551337677
Total Capitalization,-0.4088038303410689,-0.4064561441877397,-0.41942087548722357,-0.445420854666621
Diluted Average Shares,-0.3134709063625967,-0.31006374360622935,-0.3060810190519675,-0.30274656599143807
Diluted Average Shares,-0.3134709063625967,-0.31006374360622935,-0.3060810190519675,-0.30274656599143807
Ordinary Shares Number,-0.3153118432922462,-0.3116546256440433,-0.307256927638524,-0.30466389760766655
Net Income,-0.3132234521573149,-0.2071080016414407,-0.13567449210386345,-0.23053869449766445
Net Income,-0.3132234521573149,-0.2071080016414407,-0.13567449210386345,-0.23053869449766445
Capital Stock,-0.2667387844460754,-0.2667387844460754,-0.2667387844460754,-0.2667487500538229
Diluted NI Availto Com Stockholders,-0.310506835585637,-0.20396723904948044,-0.1322482080478951,-0.22749158495131738
Diluted NI Availto Com Stockholders,-0.310506835585637,-0.20396723904948044,-0.1322482080478951,-0.22749158495131738
Tangible Book Value,-0.1500477966476087,-0.16744726743066268,-0.20600854588468248,-0.2251946809149818
Tax Rate For Calcs,1.8175456731233364,-0.15915869164626567,0.2199352961177675,1.0593576975952699
Tax Rate For Calcs,1.8175456731233364,-0.15915869164626567,0.2199352961177675,1.0593576975952699
