,2023-06-30SYY,2022-06-30SYY,2021-06-30SYY,2020-06-30SYY
Basic EPS,-0.15660665247566552,-0.1982668853076648,-0.28008155942351876,-0.31069932090245794
Basic EPS,-0.15660665247566552,-0.1982668853076648,-0.28008155942351876,-0.31069932090245794
Net Income Common Stockholders,-0.1452243917869922,-0.1970298809598908,-0.3021328507443235,-0.3410142962423974
Net Income Common Stockholders,-0.1452243917869922,-0.1970298809598908,-0.3021328507443235,-0.3410142962423974
Total Liabilities Net Minority Interest,-0.17684067672589981,-0.17728909582881275,-0.1808048261853909,-0.1741123568570141
Net Income Including Noncontrolling Interests,-0.15099563573248342,-0.2023865269209471,-0.3066483603677744,-0.34521863866729874
Net Income Including Noncontrolling Interests,-0.15099563573248342,-0.2023865269209471,-0.3066483603677744,-0.34521863866729874
Net Income From Continuing Operation Net Minority Interest,-0.14296536850140168,-0.19466503797121412,-0.2995533207556082,-0.33835534565397624
Net Income From Continuing Operation Net Minority Interest,-0.14296536850140168,-0.19466503797121412,-0.2995533207556082,-0.33835534565397624
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.4653499602526878,-0.48424533152547716,-0.47902866689930834,-0.49090871469285147
Share Issued,-0.03943945991699702,-0.03943945991699702,-0.03943945991699702,-0.03943945991699702
Invested Capital,-0.33391996040173383,-0.34039806291588726,-0.33031237968597227,-0.28090743741646595
Net Tangible Assets,-0.3046026452333612,-0.32562299785492665,-0.2923418533291983,-0.29973597619224135
Normalized Income,-0.17150031202924668,-0.22454684702647632,-0.33216765042001617,-0.3719805349673054
Normalized Income,-0.17150031202924668,-0.22454684702647632,-0.33216765042001617,-0.3719805349673054
Basic Average Shares,-0.13360674379659662,-0.13135985990592972,-0.13131464831683276,-0.13171024164216227
Basic Average Shares,-0.13360674379659662,-0.13135985990592972,-0.13131464831683276,-0.13171024164216227
Operating Revenue,0.7840659688517673,0.6533261063673342,0.3577882375306563,0.42975977036631124
Operating Revenue,0.7840659688517673,0.6533261063673342,0.3577882375306563,0.42975977036631124
Common Stock,-0.1632478101298304,-0.1632478101298304,-0.1632478101298304,-0.1632478101298304
Stockholders Equity,-0.4582406930940544,-0.47733303576383407,-0.47213182466897113,-0.4841500922919571
Total Assets,-0.21902704335086512,-0.22180524502889098,-0.2243442996298852,-0.2197556471461325
Net Income Continuous Operations,-0.14560527327544906,-0.19710050361904743,-0.3015740203304194,-0.340222608037662
Net Income Continuous Operations,-0.14560527327544906,-0.19710050361904743,-0.3015740203304194,-0.340222608037662
Pretax Income,-0.13569171148541853,-0.19204450871461007,-0.31363135390474983,-0.3441151973230995
Pretax Income,-0.13569171148541853,-0.19204450871461007,-0.31363135390474983,-0.3441151973230995
Diluted EPS,-0.15918163238408803,-0.203031619656934,-0.2886183418039346,-0.3203171277843052
Diluted EPS,-0.15918163238408803,-0.203031619656934,-0.2886183418039346,-0.3203171277843052
Common Stock Equity,-0.4659808681139872,-0.4858941407907139,-0.48046928871401395,-0.49300431620737695
Net Income From Continuing And Discontinued Operation,-0.1483875212253317,-0.19998468115475876,-0.30466499259677665,-0.3433900812636534
Net Income From Continuing And Discontinued Operation,-0.1483875212253317,-0.19998468115475876,-0.30466499259677665,-0.3433900812636534
Total Revenue,0.8453707115274461,0.7090305570355369,0.40157162573053246,0.42986393200482015
Total Revenue,0.8453707115274461,0.7090305570355369,0.40157162573053246,0.42986393200482015
Total Capitalization,-0.32610131404568143,-0.34170831881303093,-0.329808405077201,-0.2967856968519788
Diluted Average Shares,-0.1361892045280918,-0.13327669126874872,-0.13358298188176074,-0.13326300078050532
Diluted Average Shares,-0.1361892045280918,-0.13327669126874872,-0.13358298188176074,-0.13326300078050532
Ordinary Shares Number,-0.13767541667119657,-0.13529394889208166,-0.13314335385155035,-0.13555310487812014
Net Income,-0.14839028396142523,-0.1999874793070611,-0.3046678626014789,-0.34339297784919504
Net Income,-0.14839028396142523,-0.1999874793070611,-0.3046678626014789,-0.34339297784919504
Capital Stock,-0.19078341359649098,-0.19078341359649098,-0.19078341359649098,-0.19078341359649098
Diluted NI Availto Com Stockholders,-0.1450148252328235,-0.1968182558152434,-0.30191704913157713,-0.3407969496008369
Diluted NI Availto Com Stockholders,-0.1450148252328235,-0.1968182558152434,-0.30191704913157713,-0.3407969496008369
Tangible Book Value,-0.30495130158809197,-0.3269217798872122,-0.2921363185423709,-0.29986465777759613
Tax Rate For Calcs,0.4568690384702884,0.41083619709894137,-1.1948976225015706,0.9984318781331931
Tax Rate For Calcs,0.4568690384702884,0.41083619709894137,-1.1948976225015706,0.9984318781331931
