,2022-12-31HWM,2021-12-31HWM,2020-12-31HWM
Basic EPS,-0.27556418477908506,-0.30166457161359067,-0.30216650212963886
Basic EPS,-0.27556418477908506,-0.30166457161359067,-0.30216650212963886
Net Income Common Stockholders,-0.30933765687354575,-0.3359106452716282,-0.3355328302707076
Net Income Common Stockholders,-0.30933765687354575,-0.3359106452716282,-0.3355328302707076
Total Liabilities Net Minority Interest,-0.23558129201265754,-0.2353442554566946,-0.23054114629639327
Net Income Including Noncontrolling Interests,-0.31354564571580357,-0.3399059711778506,-0.33953117982057035
Net Income Including Noncontrolling Interests,-0.31354564571580357,-0.3399059711778506,-0.33953117982057035
Net Income From Continuing Operation Net Minority Interest,-0.306492047920786,-0.3330107574038868,-0.3389177685209756
Net Income From Continuing Operation Net Minority Interest,-0.306492047920786,-0.3330107574038868,-0.3389177685209756
Tax Effect Of Unusual Items,0.05091278348783678,-0.0032569562787120817,-0.04223288164578825
Tax Effect Of Unusual Items,0.05091278348783678,-0.0032569562787120817,-0.04223288164578825
Total Equity Gross Minority Interest,-0.41840955235704635,-0.4212094196798938,-0.4191320987629425
Share Issued,-0.25898271410296286,-0.25305173820198584,-0.2460774556258797
Invested Capital,-0.4123021441602485,-0.4126848071949318,-0.397511385993577
Net Tangible Assets,-0.2171311656715739,-0.22310212008105254,-0.2226926832072597
Normalized Income,-0.32591241584677394,-0.3415531458634602,-0.3504353287841887
Normalized Income,-0.32591241584677394,-0.3415531458634602,-0.3504353287841887
Basic Average Shares,-0.19642764141736294,-0.18680127840187186,-0.18336329161062506
Basic Average Shares,-0.19642764141736294,-0.18680127840187186,-0.18336329161062506
Operating Revenue,-0.4078220340177274,-0.42007622051003224,-0.41498656562827896
Operating Revenue,-0.4078220340177274,-0.42007622051003224,-0.41498656562827896
Common Stock,-0.20074896054580652,-0.19968713141248803,-0.1985191193658377
Stockholders Equity,-0.40970290434598466,-0.412537667419558,-0.4104344561069068
Total Assets,-0.26649587582552525,-0.26663186645503717,-0.2620081850516327
Net Income Continuous Operations,-0.3084853092675924,-0.334899154215762,-0.34078280688194196
Net Income Continuous Operations,-0.3084853092675924,-0.334899154215762,-0.34078280688194196
Pretax Income,-0.3114056265268216,-0.3409117905253065,-0.356920453971293
Pretax Income,-0.3114056265268216,-0.3409117905253065,-0.356920453971293
Diluted EPS,-0.283863523906879,-0.3113358050898669,-0.3113358050898669
Diluted EPS,-0.283863523906879,-0.3113358050898669,-0.3113358050898669
Common Stock Equity,-0.4171046155296976,-0.42006126736830784,-0.41786762245579057
Net Income From Continuing And Discontinued Operation,-0.31158996172945913,-0.33805609020481653,-0.33767979453929015
Net Income From Continuing And Discontinued Operation,-0.31158996172945913,-0.33805609020481653,-0.33767979453929015
Total Revenue,-0.4076678978290491,-0.4199213531719254,-0.4148320019658393
Total Revenue,-0.4076678978290491,-0.4199213531719254,-0.4148320019658393
Total Capitalization,-0.40510772957659674,-0.4055893062234335,-0.396284557439909
Diluted Average Shares,-0.1964769285801856,-0.18696351043316867,-0.1842453909625924
Diluted Average Shares,-0.1964769285801856,-0.18696351043316867,-0.1842453909625924
Ordinary Shares Number,-0.20036470559595324,-0.1939331447598197,-0.18637022030598352
Net Income,-0.3115928364874492,-0.3380589831291152,-0.33768268720530004
Net Income,-0.3115928364874492,-0.3380589831291152,-0.33768268720530004
Capital Stock,-0.22049836449762894,-0.21950180372287795,-0.21840558687065184
Diluted NI Availto Com Stockholders,-0.30912156896400855,-0.3356935014334282,-0.3353157014457113
Diluted NI Availto Com Stockholders,-0.30912156896400855,-0.3356935014334282,-0.3353157014457113
Tangible Book Value,-0.21548749512455898,-0.22172833830355967,-0.22130039477128535
Tax Rate For Calcs,0.4636385739660748,0.16577901215147697,1.0593576975952699
Tax Rate For Calcs,0.4636385739660748,0.16577901215147697,1.0593576975952699
