,2022-12-31CME,2021-12-31CME,2020-12-31CME
Basic EPS,0.04015010981522251,0.03462887413869247,-0.03664525914014962
Basic EPS,0.04015010981522251,0.03462887413869247,-0.03664525914014962
Net Income Common Stockholders,-0.03350751853477708,-0.038557645713749145,-0.10302547870416814
Net Income Common Stockholders,-0.03350751853477708,-0.038557645713749145,-0.10302547870416814
Total Liabilities Net Minority Interest,0.34928769641354185,0.4411248069729311,0.14556558875719036
Net Income Including Noncontrolling Interests,-0.03595018042353523,-0.04270891789982313,-0.10898452291222112
Net Income Including Noncontrolling Interests,-0.03595018042353523,-0.04270891789982313,-0.10898452291222112
Net Income From Continuing Operation Net Minority Interest,-0.027228671278842615,-0.03409085866167345,-0.10085265239353677
Net Income From Continuing Operation Net Minority Interest,-0.027228671278842615,-0.03409085866167345,-0.10085265239353677
Tax Effect Of Unusual Items,1.5498418326804444,0.32386277842662275,0.2519266671460139
Tax Effect Of Unusual Items,1.5498418326804444,0.32386277842662275,0.2519266671460139
Total Equity Gross Minority Interest,0.2823912173316031,0.2980644531194993,0.2665192812820855
Share Issued,-0.2920821032984301,-0.29228733049831124,-0.2925914398944987
Invested Capital,-0.03614271731425049,-0.02736975130605491,-0.045349922679195374
Net Tangible Assets,-0.32344144995187957,-0.31618076938995354,-0.4077410902918729
Normalized Income,-0.2713233691734709,-0.0907381630697761,-0.1465260297625957
Normalized Income,-0.2713233691734709,-0.0907381630697761,-0.1465260297625957
Basic Average Shares,-0.23581803127939413,-0.23607450509402114,-0.23647056117237278
Basic Average Shares,-0.23581803127939413,-0.23607450509402114,-0.23647056117237278
Operating Revenue,-0.42394932373712246,-0.4312486336651003,-0.4294610475602894
Operating Revenue,-0.42394932373712246,-0.4312486336651003,-0.4294610475602894
Common Stock,-0.2441140623505341,-0.2441140623505341,-0.2441140623505341
Stockholders Equity,0.29983219670473443,0.3157007736520705,0.2827992332045973
Total Assets,0.35271743481421525,0.43810670658823203,0.16566950120382645
Net Income Continuous Operations,-0.030326240666488685,-0.03709870043755966,-0.10350886510582497
Net Income Continuous Operations,-0.030326240666488685,-0.03709870043755966,-0.10350886510582497
Pretax Income,-0.009616162623168813,-0.021826692192754595,-0.08999430157223308
Pretax Income,-0.009616162623168813,-0.021826692192754595,-0.08999430157223308
Diluted EPS,0.04844541578733939,0.04263397169093809,-0.032386488462605646
Diluted EPS,0.04844541578733939,0.04263397169093809,-0.032386488462605646
Common Stock Equity,0.3246875388223574,0.34123843072752397,0.30692219422649286
Net Income From Continuing And Discontinued Operation,-0.03288030546289945,-0.039728886575480085,-0.1063583057513561
Net Income From Continuing And Discontinued Operation,-0.03288030546289945,-0.039728886575480085,-0.1063583057513561
Total Revenue,-0.4190808122410248,-0.4249273596021627,-0.42148894427512407
Total Revenue,-0.4190808122410248,-0.4249273596021627,-0.42148894427512407
Total Capitalization,-0.01747120728832636,-0.021015955392364078,-0.02671403907440045
Diluted Average Shares,-0.23848478546807408,-0.23865602699472038,-0.23893123659111623
Diluted Average Shares,-0.23848478546807408,-0.23865602699472038,-0.23893123659111623
Ordinary Shares Number,-0.23625774222327092,-0.23648029096454087,-0.23681006773569543
Net Income,-0.03288298891502314,-0.03973157472845899,-0.10636103963866274
Net Income,-0.03288298891502314,-0.03973157472845899,-0.10636103963866274
Capital Stock,-0.26667899079959034,-0.26667899079959034,-0.26667899079959034
Diluted NI Availto Com Stockholders,-0.03330239126484755,-0.03835231776732967,-0.10281758900475114
Diluted NI Availto Com Stockholders,-0.03330239126484755,-0.03835231776732967,-0.10281758900475114
Tangible Book Value,-0.3246416254233325,-0.31705276011766764,-0.4127516325225156
Tax Rate For Calcs,0.5042557869407926,0.35532600603349374,0.4636385739660748
Tax Rate For Calcs,0.5042557869407926,0.35532600603349374,0.4636385739660748
