,2022-12-31JNPR,2021-12-31JNPR,2020-12-31JNPR
Basic EPS,-0.25849854723344684,-0.29262982232472334,-0.29262982232472334
Basic EPS,-0.25849854723344684,-0.29262982232472334,-0.29262982232472334
Net Income Common Stockholders,-0.30883390353898493,-0.33632624177264087,-0.33568395627107583
Net Income Common Stockholders,-0.30883390353898493,-0.33632624177264087,-0.33568395627107583
Total Liabilities Net Minority Interest,-0.24307663742436933,-0.2442472653279406,-0.24314650083033734
Net Income Including Noncontrolling Interests,-0.31329578481095,-0.34056810257571246,-0.339930957268336
Net Income Including Noncontrolling Interests,-0.31329578481095,-0.34056810257571246,-0.339930957268336
Net Income From Continuing Operation Net Minority Interest,-0.3062406857455907,-0.33367686716815426,-0.33303589362140634
Net Income From Continuing Operation Net Minority Interest,-0.3062406857455907,-0.33367686716815426,-0.33303589362140634
Tax Effect Of Unusual Items,0.14688152112319008,0.09133366588051899,0.127337950764031
Tax Effect Of Unusual Items,0.14688152112319008,0.09133366588051899,0.127337950764031
Total Equity Gross Minority Interest,-0.3920938101323056,-0.3968565951911707,-0.3900345528755017
Share Issued,-0.31449048811308805,-0.3152989589004986,-0.311505365205726
Invested Capital,-0.4394479270902161,-0.44065747503028024,-0.42955858327214014
Net Tangible Assets,-0.16550117588629934,-0.17606805920410237,-0.1645799429202655
Normalized Income,-0.34296401997274195,-0.3581522071669927,-0.3527722050874535
Normalized Income,-0.34296401997274195,-0.3581522071669927,-0.3527722050874535
Basic Average Shares,-0.26099303335697804,-0.25941155943300453,-0.2552859752835083
Basic Average Shares,-0.26099303335697804,-0.25941155943300453,-0.2552859752835083
Operating Revenue,-0.41423819128678074,-0.42427208233938,-0.42942025938527884
Operating Revenue,-0.41423819128678074,-0.42427208233938,-0.42942025938527884
Common Stock,-0.24449632083852874,-0.24449632083852874,-0.24449632083852874
Stockholders Equity,-0.38305917958673297,-0.38788132494414473,-0.3809742570681049
Total Assets,-0.27000254530818896,-0.27166351974697733,-0.2698076254058886
Net Income Continuous Operations,-0.30823494106903154,-0.33556262994194824,-0.33492419103561805
Net Income Continuous Operations,-0.30823494106903154,-0.33556262994194824,-0.33492419103561805
Pretax Income,-0.31869846209665986,-0.342366172367785,-0.3470641396143523
Pretax Income,-0.31869846209665986,-0.342366172367785,-0.3470641396143523
Diluted EPS,-0.2669575047173481,-0.30235448239542856,-0.3018261692957557
Diluted EPS,-0.2669575047173481,-0.30235448239542856,-0.3018261692957557
Common Stock Equity,-0.3875667099033237,-0.39259619722448647,-0.38539214016395873
Net Income From Continuing And Discontinued Operation,-0.3113390979524416,-0.3387208792139132,-0.3380811765825183
Net Income From Continuing And Discontinued Operation,-0.3113390979524416,-0.3387208792139132,-0.3380811765825183
Total Revenue,-0.41408367227630327,-0.4241169646540159,-0.42926483453250647
Total Revenue,-0.41408367227630327,-0.4241169646540159,-0.42926483453250647
Total Capitalization,-0.4341158428821281,-0.4353662222473078,-0.4311421070879111
Diluted Average Shares,-0.2586539114696176,-0.25722689874756505,-0.2547805912240464
Diluted Average Shares,-0.2586539114696176,-0.25722689874756505,-0.2547805912240464
Ordinary Shares Number,-0.26055743464846204,-0.2614341418110407,-0.2573203620481718
Net Income,-0.3113419725382391,-0.33872377259452197,-0.33808406952403625
Net Income,-0.3113419725382391,-0.33872377259452197,-0.33808406952403625
Capital Stock,-0.2670377526785007,-0.2670377526785007,-0.2670377526785007
Diluted NI Availto Com Stockholders,-0.3086178356470527,-0.33610908141991674,-0.3354668214407981
Diluted NI Availto Com Stockholders,-0.3086178356470527,-0.33610908141991674,-0.3354668214407981
Tangible Book Value,-0.15956240784850806,-0.17060691717728818,-0.15859953490089082
Tax Rate For Calcs,-1.0662764480816307,-0.09146333668840255,-2.217097482365303
Tax Rate For Calcs,-1.0662764480816307,-0.09146333668840255,-2.217097482365303
