,2022-12-31EFX,2021-12-31EFX,2020-12-31EFX
Basic EPS,-0.04618193894506509,-0.02510085727104137,-0.116954141707859
Basic EPS,-0.04618193894506509,-0.02510085727104137,-0.116954141707859
Net Income Common Stockholders,-0.28047259080321163,-0.27442755078848197,-0.30265033135725106
Net Income Common Stockholders,-0.28047259080321163,-0.27442755078848197,-0.30265033135725106
Total Liabilities Net Minority Interest,-0.23175294370705285,-0.23231393022283178,-0.2366313223702126
Net Income Including Noncontrolling Interests,-0.28466172511473586,-0.27862758426252315,-0.30639962383699265
Net Income Including Noncontrolling Interests,-0.28466172511473586,-0.27862758426252315,-0.30639962383699265
Net Income From Continuing Operation Net Minority Interest,-0.27793730481860346,-0.271904612613917,-0.30006974434454686
Net Income From Continuing Operation Net Minority Interest,-0.27793730481860346,-0.271904612613917,-0.30006974434454686
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Tax Effect Of Unusual Items,0.1359644425032954,0.1359644425032954,0.1359644425032954
Total Equity Gross Minority Interest,-0.40720105123558314,-0.41840353113699724,-0.43017200572302994
Share Issued,-0.3979495493980839,-0.3979495493980839,-0.3979495493980839
Invested Capital,-0.37843147433380325,-0.3928146131809208,-0.41498411290768095
Net Tangible Assets,-0.3334010019068899,-0.34452062500431324,-0.2678706302563491
Normalized Income,-0.30998849999870587,-0.30379864576085097,-0.3326975277338359
Normalized Income,-0.30998849999870587,-0.30379864576085097,-0.3326975277338359
Basic Average Shares,-0.3983062257993757,-0.39865002447850034,-0.3989250634218001
Basic Average Shares,-0.3983062257993757,-0.39865002447850034,-0.3989250634218001
Operating Revenue,-0.4174125753419509,-0.4209292253874271,-0.43505257433456396
Operating Revenue,-0.4174125753419509,-0.4209292253874271,-0.43505257433456396
Common Stock,-0.21937344354421304,-0.21937344354421304,-0.21937344354421304
Stockholders Equity,-0.3988667938873255,-0.41020889431395585,-0.42288912483660623
Total Assets,-0.261611923467305,-0.26352712483293084,-0.26892557507280446
Net Income Continuous Operations,-0.2795427455139582,-0.27349635351871365,-0.3013247787887521
Net Income Continuous Operations,-0.2795427455139582,-0.27349635351871365,-0.3013247787887521
Pretax Income,-0.2775363170009011,-0.27549599714994205,-0.3031187889783109
Pretax Income,-0.2775363170009011,-0.27549599714994205,-0.3031187889783109
Diluted EPS,-0.04400937665540818,-0.024461791967513025,-0.11850152370927909
Diluted EPS,-0.04400937665540818,-0.024461791967513025,-0.11850152370927909
Common Stock Equity,-0.4040540178979825,-0.41588380444794887,-0.42910925783356024
Net Income From Continuing And Discontinued Operation,-0.28309183666025917,-0.27707110601183665,-0.3051803922266593
Net Income From Continuing And Discontinued Operation,-0.28309183666025917,-0.27707110601183665,-0.3051803922266593
Total Revenue,-0.4172578669309702,-0.4207743071545482,-0.43489681342816133
Total Revenue,-0.4172578669309702,-0.4207743071545482,-0.43489681342816133
Total Capitalization,-0.38767465496110604,-0.4000941726997069,-0.4277641908936704
Diluted Average Shares,-0.39877297017782387,-0.3985691112175307,-0.3991127351116459
Diluted Average Shares,-0.39877297017782387,-0.3985691112175307,-0.3991127351116459
Ordinary Shares Number,-0.39570521571057904,-0.3959749717606032,-0.39617728879812136
Net Income,-0.28309469185718134,-0.2770739570761388,-0.305183262585131
Net Income,-0.28309469185718134,-0.2770739570761388,-0.305183262585131
Capital Stock,-0.243459124747892,-0.243459124747892,-0.243459124747892
Diluted NI Availto Com Stockholders,-0.28025764990243984,-0.27421285009897,-0.30243450918142
Diluted NI Availto Com Stockholders,-0.28025764990243984,-0.27421285009897,-0.30243450918142
Tangible Book Value,-0.3350513518459057,-0.3466735849432562,-0.26655898950539847
Tax Rate For Calcs,0.7479590647890996,0.274091580084058,0.5448729999155105
Tax Rate For Calcs,0.7479590647890996,0.274091580084058,0.5448729999155105
