,2023-06-30TPR,2022-06-30TPR,2021-06-30TPR,2020-06-30TPR
Basic EPS,-0.1330159182214009,-0.1691549153768701,-0.18120124776202653,-0.44923214333175665
Basic EPS,-0.1330159182214009,-0.1691549153768701,-0.18120124776202653,-0.44923214333175665
Net Income Common Stockholders,-0.2502725783962914,-0.2603098635874154,-0.2630931007608639,-0.45027524605029495
Net Income Common Stockholders,-0.2502725783962914,-0.2603098635874154,-0.2630931007608639,-0.45027524605029495
Total Liabilities Net Minority Interest,-0.24312903497884533,-0.24254351310025624,-0.2419475948814933,-0.23976561100581356
Net Income Including Noncontrolling Interests,-0.25520312443250504,-0.2651600814909181,-0.26792104448954956,-0.453605175931448
Net Income Including Noncontrolling Interests,-0.25520312443250504,-0.2651600814909181,-0.26792104448954956,-0.453605175931448
Net Income From Continuing Operation Net Minority Interest,-0.24779898001269077,-0.25781576269422224,-0.2605933147301299,-0.4473931152264938
Net Income From Continuing Operation Net Minority Interest,-0.24779898001269077,-0.25781576269422224,-0.2605933147301299,-0.4473931152264938
Tax Effect Of Unusual Items,0.1359644425032954,0.10851615680055852,0.1359644425032954,-0.22626901173507594
Tax Effect Of Unusual Items,0.1359644425032954,0.10851615680055852,0.1359644425032954,-0.22626901173507594
Total Equity Gross Minority Interest,-0.4582459442021179,-0.4580141272302262,-0.4286968068109921,-0.45828809274246185
Share Issued,-0.3738819959574778,-0.36529976759881205,-0.34148097440048614,-0.3435332463992975
Invested Capital,-0.4750156242878655,-0.47439504467074867,-0.459852185600459,-0.46441419447481364
Net Tangible Assets,-0.19586774402593346,-0.19630447669131249,-0.16521457007464438,-0.19908523545915538
Normalized Income,-0.279065019868756,-0.28367818927693256,-0.2921926690648731,-0.4388895064408042
Normalized Income,-0.279065019868756,-0.28367818927693256,-0.2921926690648731,-0.4388895064408042
Basic Average Shares,-0.3199201269589484,-0.30073616066379116,-0.29138483659159986,-0.2909035184408253
Basic Average Shares,-0.3199201269589484,-0.30073616066379116,-0.29138483659159986,-0.2909035184408253
Operating Revenue,-0.3901252862598822,-0.3897067641162955,-0.40634479272277946,-0.42026420079486354
Operating Revenue,-0.3901252862598822,-0.3897067641162955,-0.40634479272277946,-0.42026420079486354
Common Stock,-0.2442521001378655,-0.2442414818465323,-0.24419900868119956,-0.24419900868119956
Stockholders Equity,-0.4500357914314919,-0.4498010852415294,-0.42011837254211365,-0.45007846528421236
Total Assets,-0.27835048120147615,-0.2777895198547396,-0.27356965507063574,-0.27530051358292323
Net Income Continuous Operations,-0.250024334903634,-0.2600015076162839,-0.2627680762103813,-0.44882920297087653
Net Income Continuous Operations,-0.250024334903634,-0.2600015076162839,-0.2627680762103813,-0.44882920297087653
Pretax Income,-0.2552078936063029,-0.2652630083589781,-0.28092638690711,-0.44012365117553137
Pretax Income,-0.2552078936063029,-0.2652630083589781,-0.28092638690711,-0.44012365117553137
Diluted EPS,-0.13752079529750147,-0.17503102537427334,-0.18665391356707586,-0.4661315432940099
Diluted EPS,-0.13752079529750147,-0.17503102537427334,-0.18665391356707586,-0.4661315432940099
Common Stock Equity,-0.45742317318266,-0.45717837512720516,-0.4262193691009831,-0.4574676819200154
Net Income From Continuing And Discontinued Operation,-0.25301326979584826,-0.26301019130999986,-0.2657822360460444,-0.4522116519366779
Net Income From Continuing And Discontinued Operation,-0.25301326979584826,-0.26301019130999986,-0.2657822360460444,-0.4522116519366779
Total Revenue,-0.3899722059525567,-0.38955370878020956,-0.4061907446741119,-0.420109322240861
Total Revenue,-0.3899722059525567,-0.38955370878020956,-0.4061907446741119,-0.420109322240861
Total Capitalization,-0.4713141990170761,-0.47077930495576814,-0.45520890001357817,-0.47216211789882795
Diluted Average Shares,-0.3185884457958242,-0.29901798560767506,-0.2902520503150666,-0.2932419817327005
Diluted Average Shares,-0.3185884457958242,-0.29901798560767506,-0.2902520503150666,-0.2932419817327005
Ordinary Shares Number,-0.3249616915917364,-0.31565510786590195,-0.2898259660760862,-0.29205145348878575
Net Income,-0.2530161043468898,-0.2630130327229125,-0.2657850793616841,-0.45221462321717326
Net Income,-0.2530161043468898,-0.2630130327229125,-0.2657850793616841,-0.45221462321717326
Capital Stock,-0.266808543700308,-0.26679857809256047,-0.2667587156615704,-0.2667587156615704
Diluted NI Availto Com Stockholders,-0.2500588375509383,-0.26009572389128305,-0.26287885046746395,-0.45005355771532396
Diluted NI Availto Com Stockholders,-0.2500588375509383,-0.26009572389128305,-0.26287885046746395,-0.45005355771532396
Tangible Book Value,-0.19130155315885453,-0.19175802625994715,-0.15926284737591603,-0.19466447608331033
Tax Rate For Calcs,-0.14561962065469305,-0.13208054966312044,-1.6440969198599669,1.0593576975952699
Tax Rate For Calcs,-0.14561962065469305,-0.13208054966312044,-1.6440969198599669,1.0593576975952699
